Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,21134.68,16328.43,14905.23,17532.44,19805.91,16173.45,15516.95,17245.16,18121.02,15008.02,13481.98,14715.48,15167.54,12470.62,11548.37,11476.96,13965.51,11830.62,10018.58,7373.63,10360.31,9981.75,9253.82,9794.83,10500.27,8812.72,8533.77,9002.48,7589.86,6571.31,6626.45,6595.25,5540.13,5396.59,6229.47,6402.27,5651.98,6277.42,5947.59,6135.45,5489.77,5381.8,5649.46,5831.87,4786.37,4502.1,4957.54,5389.21,4857.4,4699.57
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68.97,61.02,--,--,78.54,60.77,59.27,77.85,111.67,47.54,42.63,128.01,31.48,19.77,22.66,82.83,24.68,27.85
Total Income From Operations,21134.68,16328.43,14905.23,17532.44,19805.91,16173.45,15516.95,17245.16,18121.02,15008.02,13481.98,14715.48,15167.54,12470.62,11548.37,11476.96,13965.51,11830.62,10018.58,7373.63,10360.31,9981.75,9253.82,9794.83,10500.27,8812.72,8533.77,9002.48,7589.86,6571.31,6626.45,6595.25,5609.1,5457.61,6229.47,6402.27,5730.52,6338.19,6006.86,6213.3,5601.44,5429.34,5692.09,5959.88,4817.85,4521.87,4980.2,5472.04,4882.08,4727.42
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,3024.36,2467.2,2328.54,2581.95,2663.12,2262.78,2183.66,2384.37,2450.2,2171.45,1937.16,1945.32,1989.14,1646.84,1441.66,1382.13,1731.75,1515.45,1188.9,738.84,1356.09,1234.44,1128.57,1182.17,1265.84,1201.75,1172.59,1175.05,1003.31,896.0,904.0,936.37,852.72,792.73,886.0,957.73,865.69,866.77,860.69,857.14,838.51,787.42,797.55,822.96,719.81,677.5,690.68,761.32,703.66,660.75
Purchase of Traded Goods,709.34,634.72,488.72,429.98,484.84,859.21,837.34,867.64,798.58,778.99,740.09,703.04,736.26,624.1,575.21,522.62,634.15,519.18,455.16,328.21,502.3,565.0,565.74,629.74,637.75,371.28,297.19,294.26,223.21,178.13,118.77,130.26,119.66,118.69,114.95,123.79,109.2,104.89,101.8,109.37,97.9,94.48,87.77,91.5,78.13,70.3,69.44,62.5,60.34,56.13
Increase/Decrease in Stocks,213.23,-88.63,-156.68,15.87,469.2,-230.65,-224.55,-32.05,241.66,-347.72,-294.75,-89.56,151.9,-38.85,-181.41,-290.01,184.06,-125.49,144.29,223.58,-227.67,125.23,-71.91,-109.7,268.94,-63.05,-105.6,9.31,104.52,-158.8,-68.11,84.12,-48.82,-50.57,88.4,44.62,-57.54,-68.38,82.16,-0.05,-60.24,-46.25,-3.52,58.9,18.96,8.96,20.16,25.71,-100.08,-65.04
Power & Fuel,4541.92,3746.24,3645.73,4337.83,4662.6,4003.4,4002.88,4479.38,4623.39,--,3902.57,--,3594.84,--,--,2193.17,--,--,1680.96,1234.85,1932.42,1841.25,1793.88,1797.75,2048.63,2028.76,1867.55,1898.02,347.2,1334.78,1217.36,1154.29,968.85,879.73,923.68,1016.45,1068.16,1058.92,1097.28,1184.68,1205.75,1144.86,1207.6,1186.86,1002.34,956.62,989.6,1055.94,1082.72,1074.11
Employees Cost,830.76,785.68,856.56,705.49,719.74,720.77,759.81,660.98,873.24,648.51,644.49,595.36,586.4,599.36,629.47,543.85,575.37,566.78,522.29,517.55,612.27,576.73,592.92,487.58,461.06,493.05,468.44,419.18,462.84,443.97,380.25,344.87,364.73,357.22,346.62,337.89,349.86,341.58,313.69,326.75,305.63,310.07,275.84,235.21,244.27,284.44,250.71,260.91,244.37,239.45
Depreciation,990.99,856.51,850.09,814.24,785.71,712.41,727.85,682.01,694.81,653.53,642.74,628.16,637.39,608.92,612.73,597.72,630.85,602.19,612.66,588.65,608.96,613.67,606.29,536.9,499.3,511.27,485.98,480.58,1509.34,498.76,309.79,335.68,315.62,313.88,302.69,351.45,325.88,335.22,285.15,287.94,278.31,302.36,264.5,278.45,264.48,257.25,252.08,245.99,238.82,232.48
