Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,573.86,576.32,604.68,565.62,545.56,524.5,509.21,457.23,429.46,398.64,377.96,327.68,290.79,295.02,278.54,252.12,234.43,215.84,165.66,130.61,193.09,197.68,200.6,169.05,167.96,154.68,138.33,133.81,134.09,134.69,139.59,121.7
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,573.86,576.32,604.68,565.62,545.56,524.5,509.21,457.23,429.46,398.64,377.96,327.68,290.79,295.02,278.54,252.12,234.43,215.84,165.66,130.61,193.09,197.68,200.6,169.05,167.96,154.68,138.33,133.81,134.09,134.69,139.59,121.7
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,112.8,111.89,117.68,113.12,107.86,101.02,107.6,101.62,87.37,90.11,83.74,75.41,64.68,68.1,64.18,80.68,50.45,55.36,44.63,35.66,50.78,48.39,51.53,43.87,38.22,38.11,33.01,36.21,33.56,34.98,35.24,40.31
Increase/Decrease in Stocks,3.3,2.6,-3.29,-0.79,-1.1,0.93,-3.31,-5.79,1.23,-4.25,-4.23,-3.4,1.39,-1.85,5.37,-9.01,2.53,1.31,0.34,0.04,-4.42,0.01,-1.45,-2.45,2.07,0.98,0.83,-2.39,2.93,0.5,2.4,-2.08
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,86.06,96.06,96.75,96.22,77.85,84.75,83.43,72.33,61.77,62.71,55.19,50.92,39.87,44.08,44.76,43.38,37.45,39.52,33.81,33.0,30.94,33.68,34.67,31.13,22.65,29.07,28.62,31.94,24.8,28.06,27.28,25.94
Depreciation,37.76,35.55,36.57,34.64,35.65,30.55,29.13,26.05,29.06,25.71,25.28,23.97,24.47,24.75,24.85,24.65,22.01,25.41,22.88,24.7,22.27,22.38,22.69,21.98,15.44,16.4,16.3,16.24,12.84,17.64,14.61,13.99
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,256.8,254.5,264.54,255.72,261.45,246.3,235.43,206.05,193.63,179.43,166.72,149.0,140.85,135.63,127.12,116.74,132.98,97.6,78.96,61.07,100.0,93.65,91.82,85.65,82.51,73.72,71.03,67.07,73.9,67.02,67.28,58.23
"P/L Before Other Inc. , Int., Excpt. Items & Tax",77.14,75.72,92.43,66.71,63.85,60.95,56.93,56.97,56.4,44.93,51.26,31.78,19.53,24.31,12.26,-4.32,-10.99,-3.36,-14.96,-23.86,-6.48,-0.43,1.34,-11.13,7.07,-3.6,-11.46,-15.26,-13.93,-13.51,-7.22,-14.69
Other Income,35.13,37.29,46.74,5619.51,3.72,13.33,20.48,11.49,12.23,10.69,17.77,9.08,54.54,6.88,13.38,7.4,6.39,5.88,4.57,4.79,16.64,93.8,1.94,2.13,70.29,3.8,5.12,4.94,5.87,2.67,5.63,1.94
"P/L Before Int., Excpt. Items & Tax",112.27,113.01,139.17,5686.22,67.57,74.28,77.41,68.46,68.63,55.62,69.03,40.86,74.07,31.19,25.64,3.08,-4.6,2.52,-10.39,-19.07,10.16,93.37,3.28,-9.0,77.36,0.2,-6.34,-10.32,-8.06,-10.84,-1.59,-12.75
Interest,23.25,21.55,19.34,21.43,20.92,21.09,20.72,15.64,14.58,14.18,12.07,10.98,11.42,11.85,10.25,10.5,8.9,10.04,9.12,8.44,9.83,7.89,7.62,7.86,2.79,3.01,2.75,2.31,15.46,11.67,16.91,9.92
P/L Before Exceptional Items & Tax,89.02,91.46,119.83,5664.79,46.65,53.19,56.69,52.82,54.05,41.44,56.96,29.88,62.65,19.34,15.39,-7.42,-13.5,-7.52,-19.51,-27.51,0.33,85.48,-4.34,-16.86,74.57,-2.81,-9.09,-12.63,-23.52,-22.5,-18.5,-22.67
Exceptional Items,-26.42,-23.13,--,372.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1.52,--,--,--,--,--
P/L Before Tax,62.6,68.33,119.83,6037.49,46.65,53.19,56.69,52.82,54.05,41.44,56.96,29.88,62.65,19.34,15.39,-7.42,-13.5,-7.52,-19.51,-27.51,0.33,85.48,-4.34,-16.86,74.57,-2.81,-10.61,-12.63,-23.52,-22.5,-18.5,-22.67
Tax,1.53,18.51,29.99,29.25,54.76,--,-2.37,--,2.18,6.86,--,--,-0.22,--,--,--,0.74,--,-0.01,0.01,0.13,3.87,--,--,0.45,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,61.07,49.82,89.84,6008.24,-8.11,53.19,59.06,52.82,51.87,34.58,56.96,29.88,62.87,19.34,15.39,-7.42,-14.24,-7.52,-19.5,-27.52,0.2,81.61,-4.34,-16.86,74.12,-2.81,-10.61,-12.63,-23.52,-22.5,-18.5,-22.67
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,61.07,49.82,89.84,6008.24,-8.11,53.19,59.06,52.82,51.87,34.58,56.96,29.88,62.87,19.34,15.39,-7.42,-14.24,-7.52,-19.5,-27.52,0.2,81.61,-4.34,-16.86,74.12,-2.81,-10.61,-12.63,-23.52,-22.5,-18.5,-22.67
Equity Share Capital,499.52,499.52,499.52,499.52,499.52,499.52,499.52,499.52,499.52,499.52,497.28,497.27,497.22,497.17,497.16,497.11,497.04,499.52,499.52,499.52,499.52,505.23,505.23,505.23,505.23,505.23,505.23,505.23,505.23,505.23,403.22,403.22
