Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,576.25,521.51,595.47,508.33,521.52,425.76,471.73,532.14,698.61,749.86,828.09,752.58,600.73,468.24,429.55,359.9,321.69,298.19,265.81,235.6,242.43,265.91,274.38,243.51,278.68,259.61,260.91,240.12,270.58,222.04,186.33,173.1
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,576.25,521.51,595.47,508.33,521.52,425.76,471.73,532.14,698.61,749.86,828.09,752.58,600.73,468.24,429.55,359.9,321.69,298.19,265.81,235.6,242.43,265.91,274.38,243.51,278.68,259.61,260.91,240.12,270.58,222.04,186.33,173.1
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,359.12,341.68,357.64,304.7,271.92,222.82,247.83,324.18,459.4,469.49,524.18,469.85,356.81,302.33,292.04,268.79,225.33,192.69,168.8,128.53,151.37,172.35,165.27,147.02,171.51,159.18,164.01,153.14,170.14,145.23,104.36,128.49
Purchase of Traded Goods,1.99,1.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.04,--,--,--,--,0.0,--,--,0.02,--,0.05,0.05,0.6,0.0,0.0,--
Increase/Decrease in Stocks,0.67,-20.55,-3.62,-11.08,22.25,25.05,26.02,-20.16,-33.88,16.85,-12.37,-27.79,-10.34,12.21,-6.84,-20.82,-7.73,4.28,-1.24,15.51,-8.36,-18.58,-2.35,-0.36,5.83,1.68,0.67,-1.69,2.63,-3.12,18.97,-10.42
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,34.76,30.99,30.24,32.59,31.24,26.88,26.98,28.55,29.54,23.06,23.13,24.87,23.91,20.43,20.77,20.26,19.17,21.34,17.38,18.29,16.1,21.38,15.99,15.97,13.48,18.6,13.74,14.07,12.95,14.25,9.86,11.98
Depreciation,13.99,12.97,12.41,11.7,15.29,14.74,14.4,11.71,13.03,12.27,11.52,11.07,10.57,10.06,9.76,9.51,12.38,11.89,11.37,11.12,12.73,12.06,6.51,3.35,4.58,4.45,4.28,4.13,5.42,5.08,4.85,4.69
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,71.53,63.87,68.28,60.33,63.86,58.65,66.52,47.7,56.29,65.79,79.35,80.1,84.28,53.57,50.75,41.78,38.96,34.07,32.13,21.68,27.89,33.18,30.36,22.92,29.45,27.78,24.2,21.3,28.39,19.56,12.84,21.35
"P/L Before Other Inc. , Int., Excpt. Items & Tax",94.21,91.25,130.52,110.09,116.95,77.63,89.97,140.15,174.22,162.4,202.28,194.49,135.51,69.64,63.07,40.38,33.55,33.92,37.38,40.46,42.71,45.52,58.59,54.6,53.82,47.91,53.95,49.12,50.45,41.03,35.45,17.01
Other Income,25.58,28.85,21.72,24.11,22.62,17.45,17.15,14.45,12.98,15.16,19.3,16.56,14.4,6.61,6.23,5.98,6.06,5.38,3.98,1.6,4.64,5.5,5.91,4.46,0.7,7.71,3.33,8.48,7.19,1.02,4.42,3.75
"P/L Before Int., Excpt. Items & Tax",119.79,120.1,152.24,134.2,139.57,95.08,107.12,154.6,187.21,177.55,221.59,211.05,149.9,76.25,69.3,46.37,39.6,39.3,41.37,42.06,47.35,51.02,64.51,59.06,54.52,55.63,57.28,57.6,57.64,42.05,39.87,20.76
Interest,0.5,0.4,0.41,0.39,0.5,0.48,0.7,0.65,0.87,1.1,1.27,1.14,1.34,1.22,1.21,1.29,1.24,1.54,1.56,1.75,1.56,2.15,0.64,0.43,0.13,0.21,0.53,0.92,0.68,0.75,0.73,0.97
P/L Before Exceptional Items & Tax,119.29,119.7,151.84,133.81,139.07,94.61,106.42,153.96,186.34,176.45,220.32,209.92,148.56,75.03,68.09,45.08,38.36,37.76,39.8,40.31,45.79,48.87,63.86,58.64,54.4,55.41,56.75,56.68,56.96,41.3,39.14,19.8
Exceptional Items,--,--,--,--,-0.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,119.29,119.7,151.84,133.81,138.51,94.61,106.42,153.96,186.34,176.45,220.32,209.92,148.56,75.03,68.09,45.08,38.36,37.76,39.8,40.31,45.79,48.87,63.86,58.64,54.4,55.41,56.75,56.68,56.96,41.3,39.14,19.8
Tax,30.76,30.69,38.72,34.81,34.2,24.95,27.05,39.74,48.26,45.2,56.32,52.64,38.51,19.32,18.13,10.14,9.49,9.74,10.33,11.74,12.26,12.03,5.16,21.21,27.83,21.76,25.02,19.61,21.15,12.38,15.71,6.62
