Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Current Investments,Short Term Loans And Advances,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Non-Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,8.84,8.84,95.88,95.88,104.72,0.0,0.0,18.51,65.03,13.92,10.41,118.27,241.5,15.23,21.86,1.54,38.63,3.54,1.23,43.55,26.24,127.53,15.09,0.0,197.96,241.5,24.43,14.89,2.16,18.62,84.8,0.15,0.0,0.0,0.0,29.1,89.74,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.57,4.95,0.0,28.9,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
2015-03-31,8.84,8.84,873.03,873.03,881.87,0.0,10.24,10.24,424.1,90.37,69.96,584.43,1476.54,84.34,0.56,6.8,91.7,73.41,18.95,340.76,123.57,345.64,218.68,322.73,1135.78,1476.54,151.09,202.9,0.0,299.33,581.51,0.0,75.96,156.7,75.96,49.2,601.53,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,8.84,8.84,1013.17,1013.17,1022.01,0.36,13.11,13.47,535.45,126.33,64.68,726.46,1761.94,83.69,0.35,1.6,85.64,71.73,145.88,303.25,100.64,505.33,371.58,402.21,1458.69,1761.94,202.08,169.37,0.0,367.86,492.24,0.0,78.93,0.0,78.93,0.0,543.72,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,8.84,8.84,1171.44,1171.44,1180.28,0.76,12.68,13.44,572.44,114.4,70.92,757.76,1951.48,78.57,0.24,2.69,81.5,68.44,155.22,305.16,96.91,500.32,578.47,387.87,1646.32,1951.48,211.01,0.0,0.0,0.0,0.0,0.0,82.75,0.0,82.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,8.84,8.84,1409.84,1409.84,1418.68,1.79,12.24,14.03,770.78,140.12,88.29,999.19,2431.9,83.82,0.1,1.1,85.02,76.66,195.85,357.53,79.77,591.12,841.43,484.28,2074.37,2431.9,174.23,850.19,0.0,0.0,1200.83,0.0,77.77,0.0,77.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,8.84,8.84,1738.62,1738.62,1747.46,3.68,33.75,37.43,831.0,177.86,96.85,1105.71,2890.6,85.15,0.03,8.01,93.19,74.52,208.46,376.17,105.06,622.39,1224.52,562.46,2514.43,2890.6,168.91,1081.37,0.0,0.0,1461.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,8.84,8.84,2169.41,2169.41,2178.25,67.27,42.64,109.91,926.22,154.34,88.75,1169.31,3457.47,196.4,0.04,13.88,210.32,56.89,234.35,501.56,120.89,743.06,1513.9,578.06,2955.91,3457.47,161.72,1034.97,0.0,0.0,1442.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,8.84,8.84,2570.03,2570.03,2578.87,54.77,44.06,98.83,1096.69,114.13,64.02,1274.84,3952.54,216.54,0.04,2.12,218.7,54.87,169.95,443.52,95.41,955.81,1796.86,660.94,3509.02,3952.54,144.52,947.74,0.0,0.0,1379.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,8.84,8.84,2827.93,2827.93,2836.77,38.45,25.86,64.31,716.26,290.54,102.73,1109.53,4010.61,180.72,0.03,2.14,182.89,57.92,188.72,429.53,98.61,675.13,2006.22,801.12,3581.08,4010.61,150.81,903.19,0.0,0.0,1108.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,8.84,8.84,3179.67,3179.67,3188.51,17.51,17.3,34.81,724.75,361.21,141.22,1227.18,4450.5,150.84,0.02,2.4,153.26,72.13,128.17,353.56,164.65,937.76,2379.51,615.02,4096.94,4450.5,114.17,1239.52,0.0,0.0,1449.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
