Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,2018.31,1487.29,995.97,885.47,1139.63,540.65,642.01,383.87,158.05,292.56,213.98,793.32,618.72,1035.49,958.98,846.39,1300.81,790.9,460.59,623.16,1474.86,873.09,964.3,1222.86,2337.56,1986.16,2136.82,1749.71
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.13,--,--,--
Total Income From Operations,2018.31,1487.29,995.97,885.47,1139.63,540.65,642.01,383.87,158.05,292.56,213.98,793.32,618.72,1035.49,958.98,846.39,1300.81,790.9,460.59,623.16,1474.86,873.09,964.3,1222.86,2337.69,1986.16,2136.82,1749.71
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,899.09,--,--,--,598.49,--,--,294.07,129.27,812.08,--,1001.42,928.7,763.03,1013.2,713.77,185.55,390.34,1094.31,683.48,505.53,657.34,1144.77,1417.38,2025.24,1426.56
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01,0.01,0.15,0.62,-3.45,29.18,322.75,60.52,3.03,178.54,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.34,--,--,0.92
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,40.43,32.49,33.34,30.25,27.81,34.07,38.23,34.94,35.46,37.4,36.36,34.84,30.01,31.69,32.84,30.29,38.56,26.51,30.99,26.28,45.64,31.86,33.02,27.86,66.75,35.27,23.64,15.67
Depreciation,2.36,2.4,2.44,2.52,2.66,2.74,2.48,1.58,1.43,2.15,1.42,1.69,1.46,3.19,1.63,1.62,2.34,2.18,1.81,1.86,1.39,1.78,2.14,1.01,0.79,0.81,1.56,0.03
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1871.09,1379.52,21.7,802.79,1056.74,497.73,-2.58,366.33,238.92,5.09,188.96,58.9,657.4,24.77,66.09,117.83,411.82,32.8,283.54,232.88,248.77,125.89,23.93,436.8,1014.28,304.66,54.83,290.52
