Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-06-30,261.24,6.22,267.46,191.09,0.51,-20.1,19.79,6.44,44.6,25.14,1.99,27.12,2.08,25.04,0.0,25.04,8.72,16.32,16.32,137.62,1.19,0.0
2021-09-30,185.42,0.0,185.42,125.64,0.25,3.99,9.22,2.81,28.11,15.41,1.22,16.63,0.79,15.84,0.0,15.84,5.78,10.06,10.06,137.62,0.73,0.73
2021-12-31,149.19,0.0,149.19,96.49,0.33,-9.97,12.76,4.04,27.54,18.01,1.25,19.26,1.0,18.26,0.0,18.26,6.29,11.96,11.96,137.62,0.87,0.86
2022-03-31,178.46,0.0,178.46,138.63,1.3,-11.22,12.95,3.44,32.27,1.08,4.91,5.99,0.81,5.19,0.0,5.19,2.16,3.03,3.03,137.62,0.22,0.22
2022-06-30,186.12,0.0,186.12,121.05,0.88,0.02,14.47,3.64,39.63,6.44,0.95,7.39,3.56,3.83,0.0,3.83,1.38,2.45,2.45,141.41,0.18,0.17
2022-09-30,243.09,0.0,243.09,194.45,8.75,-39.58,17.7,3.58,41.8,16.39,5.73,22.11,3.81,18.3,0.0,18.3,6.51,11.79,11.79,176.23,0.79,0.78
2022-12-31,276.47,0.0,276.47,198.97,5.52,5.04,15.5,4.36,35.48,11.6,12.97,24.57,3.77,20.8,0.0,20.8,5.15,15.65,15.65,176.78,0.89,0.88
2023-03-31,429.91,0.0,429.91,317.9,1.23,26.01,15.42,5.56,37.18,26.62,19.59,46.21,2.77,43.44,0.0,43.44,18.31,25.12,25.12,176.78,1.42,1.41
2023-06-30,308.29,0.0,308.29,255.88,8.2,-16.88,18.03,6.19,36.8,0.07,20.33,20.39,4.88,15.52,0.0,15.52,5.51,10.01,10.01,176.78,0.57,0.56
2023-09-30,393.49,0.0,393.49,347.97,0.19,-30.46,16.47,7.09,48.18,4.04,8.79,12.84,5.96,6.88,-1.35,5.53,-2.4,7.93,7.93,176.78,0.45,0.44
2023-12-31,404.23,0.0,404.23,353.05,7.93,-25.85,17.12,8.69,46.68,-3.39,12.08,8.7,7.93,0.77,0.0,0.77,0.09,0.68,0.68,177.59,0.04,0.04
2024-03-31,727.29,0.0,727.29,675.97,1.46,-25.45,18.54,10.06,48.35,-1.64,13.09,11.44,9.37,2.07,0.0,2.07,0.67,1.4,1.4,177.43,0.08,0.08
2024-06-30,815.99,0.0,815.99,755.33,1.08,-25.59,21.21,10.87,50.45,2.65,11.95,14.59,10.74,3.85,0.0,3.85,1.13,2.73,2.73,177.43,0.15,0.15
2024-09-30,481.81,0.0,481.81,383.95,0.04,-2.43,20.99,10.78,49.46,19.02,10.52,29.54,11.1,18.45,0.0,18.45,2.28,16.17,16.17,177.43,0.91,0.91
2024-12-31,514.45,0.0,514.45,385.02,0.05,2.07,21.4,12.0,70.27,23.65,21.93,45.58,11.93,33.65,-2.0,31.65,3.0,28.65,28.65,178.0,1.62,1.6
2025-03-31,472.46,0.0,472.46,238.03,15.75,86.37,23.72,12.12,54.11,42.37,11.33,53.7,12.42,41.28,0.0,41.28,9.1,32.19,32.19,178.05,1.81,1.8
