Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,94.49,94.49,2020.05,2020.05,2114.53,24721.85,529.89,858.56,28224.84,1679.84,94.62,7731.76,17814.46,210.57,693.59,28224.84,369.0,4574.0,14.41,13.07,1.34,228.15,1.0,13.87,0.07,0.0,2147.82,7070.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,107.18,107.18,2601.04,2601.04,2708.22,32111.59,1972.56,842.52,37634.89,1920.87,114.58,10506.1,23949.19,244.85,899.31,37634.89,451.0,5673.0,14.33,13.12,1.21,320.99,1.0,78.78,0.33,0.0,2648.23,9135.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,107.18,107.18,2978.01,2978.01,3085.19,38652.98,3999.34,995.82,46733.34,1628.64,167.38,13837.26,29480.13,322.11,1297.83,46733.34,551.0,6730.0,14.41,13.1,1.31,285.86,1.0,108.74,0.37,0.0,3067.83,11389.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,107.18,107.18,3219.16,3219.16,3326.34,43757.68,3293.31,1165.82,51543.15,2546.2,132.03,13247.0,33992.13,384.7,1241.09,51543.15,572.0,7340.0,12.6,11.62,0.97,279.18,1.0,139.91,0.41,0.0,3760.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,121.63,121.63,4124.4,4124.4,4246.03,44690.27,2900.75,1315.42,53152.48,2692.92,56.17,12773.01,36108.94,411.17,1110.28,53152.48,629.0,7197.0,14.62,13.56,1.06,677.78,2.0,280.97,0.78,1.0,4360.48,15105.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,121.86,121.86,4451.09,4451.09,4572.95,50078.9,1573.24,1438.63,57663.72,2529.06,262.54,13221.67,39084.38,420.12,2145.95,57663.72,667.0,7211.0,12.17,11.26,0.91,511.18,1.0,216.17,0.55,1.0,2720.22,13078.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,121.86,121.86,4913.83,4913.83,5035.7,53699.81,1695.65,1376.46,61807.62,2790.47,1554.62,14857.48,40907.72,418.61,1278.71,61807.62,711.0,7400.0,12.54,11.85,0.69,1483.81,4.0,1033.46,2.53,3.0,2921.43,14879.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,145.33,145.33,6118.86,6118.86,6264.19,56890.09,2381.67,1393.17,66929.12,2960.07,1336.83,15803.21,44800.15,528.19,1500.67,66929.12,790.0,7956.0,14.43,13.92,0.51,3015.76,7.0,1862.83,4.16,4.0,2316.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,159.86,159.86,6262.94,6262.94,6422.8,59867.95,1565.34,1484.02,69340.11,2934.68,762.36,14881.59,48580.81,582.99,1597.68,69340.11,789.0,7368.0,16.0,14.28,1.72,4449.57,9.0,2420.34,4.98,5.0,2341.84,10137.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,159.86,159.86,6440.41,6440.41,6600.28,59075.08,1184.18,1418.64,68278.17,2732.67,1659.88,15762.45,46098.11,586.64,1438.43,68278.17,795.0,7935.0,17.17,15.27,1.9,4212.77,9.0,1808.65,3.92,4.0,2232.37,8437.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,159.86,159.86,6799.88,6799.88,6959.74,63278.43,2528.29,1856.73,74623.19,3124.05,3196.28,16018.93,50363.51,539.06,1381.36,74623.19,811.0,7746.0,18.98,16.95,2.03,4142.87,8.0,1719.39,3.41,3.0,2162.37,10124.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,160.0,160.0,7436.2,7436.2,7596.2,68676.16,1339.09,2432.27,80043.72,3594.26,1331.91,17216.06,55334.62,478.49,2088.38,80043.72,0.0,0.0,19.46,0.0,0.0,3431.04,6.0,1260.79,2.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,160.41,160.41,8423.64,8423.64,8584.05,76637.58,1432.01,3525.78,90179.42,4279.48,415.65,18808.32,63134.14,435.04,3106.79,90179.42,0.0,0.0,18.56,0.0,0.0,1458.15,2.0,468.15,0.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,160.88,160.88,9879.2,9879.2,10040.08,89112.72,2478.35,3954.05,105585.2,5587.93,70.64,22343.52,73667.48,432.88,3482.75,105585.2,0.0,0.0,16.67,0.0,0.0,1041.64,1.4,297.97,0.4,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
