Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,5.31,5.31,11.41,11.41,16.71,9.97,1.7,0.0,0.0,11.67,1.2,0.2,7.46,1.1,9.96,39.02,22.1,0.0,1.14,0.0,0.0,23.24,0.33,0.0,23.68,0.0,5.8,6.22,0.87,2.44,0.0,15.34,39.02,4.02,1.94,0.0,33.43,1.49,0.0,0.33,0.0,0.0,10.52,0.0,0.0,2.25,0.0,0.68,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,5.4,5.4,16.51,16.51,21.91,14.07,2.15,0.0,0.0,16.22,2.21,0.27,7.78,1.45,11.71,50.25,29.82,0.0,0.79,0.0,0.0,30.61,0.87,0.0,31.67,0.0,8.08,5.99,1.02,3.5,0.0,18.59,50.25,7.37,2.52,0.0,49.08,0.84,0.0,0.87,0.0,0.0,17.99,0.0,0.0,3.2,0.0,0.41,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,5.4,5.4,22.46,22.46,27.86,14.37,2.29,0.0,0.0,16.65,0.46,0.29,9.65,1.7,12.1,57.49,32.19,0.01,3.16,0.0,0.0,35.36,2.2,0.23,38.02,0.0,7.5,8.61,0.72,2.65,0.0,19.47,57.49,8.69,2.6,0.0,52.52,0.94,0.0,2.2,0.0,0.0,17.3,0.0,0.0,2.78,0.0,0.89,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,5.4,5.4,29.15,29.15,34.55,21.25,2.7,0.0,0.0,23.95,5.22,2.57,9.28,2.16,19.22,80.04,45.27,0.01,7.22,0.0,0.0,52.5,2.19,0.17,55.06,0.0,11.0,9.65,0.59,3.74,0.0,24.98,80.04,10.26,1.81,0.0,58.72,1.09,0.0,2.19,0.0,0.0,23.67,0.0,0.0,11.44,0.45,1.87,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,5.51,5.51,36.47,36.47,41.98,23.11,2.83,0.0,0.0,25.94,12.31,9.08,4.28,2.47,28.13,96.92,51.38,0.01,6.76,0.0,0.0,58.15,4.42,0.11,62.69,0.0,13.47,13.49,0.7,6.57,0.0,34.23,96.92,9.16,2.0,0.0,58.48,1.33,0.0,4.42,0.0,0.0,22.67,0.0,0.0,2.21,0.34,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,5.51,5.51,40.88,40.88,46.39,26.84,3.69,0.0,0.0,30.53,9.5,10.74,5.02,2.67,27.93,104.85,54.24,0.63,3.05,0.0,0.0,57.92,5.82,0.06,63.79,0.0,14.19,18.58,0.74,7.54,0.0,41.06,104.85,14.94,2.89,0.0,73.8,1.85,0.0,5.82,0.0,0.0,22.59,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.91,10.91,48.49,48.49,59.4,27.84,0.0,0.0,0.0,27.84,9.36,16.74,7.17,4.35,37.62,125.3,56.97,1.17,4.12,0.0,0.0,62.26,6.91,0.0,69.17,0.0,21.2,22.31,1.07,11.55,0.0,56.13,125.3,11.48,3.72,0.0,77.4,2.41,5.51,6.91,0.0,0.0,30.43,0.0,0.0,7.15,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.01,11.01,66.77,66.77,77.78,12.44,3.17,1.34,1.16,18.1,16.34,15.28,20.07,4.4,56.08,151.96,63.61,1.11,5.51,2.28,0.0,72.51,6.91,0.72,89.12,0.0,24.12,26.23,0.51,7.9,4.07,62.83,151.96,18.76,4.84,0.01,98.41,2.55,5.51,6.91,0.0,8.99,32.06,2.54,1.44,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,11.01,11.01,81.88,81.88,92.9,18.33,5.37,2.38,1.26,27.34,15.85,18.98,20.27,4.43,59.53,179.76,80.38,1.15,1.27,3.94,0.0,86.73,6.91,0.91,102.96,0.0,27.92,32.3,0.53,9.28,6.77,76.8,179.76,28.53,5.96,0.01,118.85,4.34,5.51,6.91,0.0,8.41,34.34,6.25,6.38,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,11.01,11.01,100.03,100.03,111.04,24.17,6.29,2.56,1.43,34.44,13.45,22.84,24.56,5.6,66.45,211.93,86.58,2.58,3.46,4.54,0.0,97.16,6.91,0.99,120.11,0.0,32.87,42.33,0.73,9.89,6.0,91.82,211.93,44.11,5.52,0.01,151.01,3.52,5.51,6.91,0.0,15.05,39.15,5.53,4.32,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
