Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Equity Share Application Money,Preference Share Capital
2011-03-31,404.14,2021.14,1928.43,4898.15,6826.58,8847.72,179356.02,12887.98,6639.93,209757.33,14081.99,1200.81,54504.49,129725.41,2425.39,7819.24,209757.33,3728.0,34015.0,11.64,6.31,5.33,2394.0,2.0,847.0,0.65,1.0,9755.78,46927.2,2025.68,1617.0
2012-03-31,736.12,2353.12,1896.96,8201.45,10098.41,12451.53,196173.33,12919.6,8255.29,229799.74,13114.18,1012.42,59243.27,147512.85,2473.91,6443.11,229799.74,4011.0,35901.0,12.4,7.79,4.61,7273.0,5.0,4557.0,3.09,3.0,5677.19,65068.5,0.0,1617.0
2013-03-31,1044.58,2661.58,1867.58,10783.69,12651.27,15312.85,226038.31,18305.51,8472.87,268129.55,13560.17,532.04,72603.79,171935.84,2684.75,6812.95,268129.55,4294.0,37113.0,11.49,8.09,3.4,8456.0,5.0,4988.0,2.9,3.0,18732.82,65614.6,0.0,1617.0
2014-03-31,1350.44,2967.44,1840.12,10981.0,12821.12,15788.56,240068.99,22079.78,11558.9,289496.22,11926.63,451.4,86135.14,177315.17,2804.39,10863.49,289496.22,4573.0,40661.0,11.96,8.12,3.84,11500.0,6.0,6649.0,3.75,4.0,18905.0,96224.25,0.0,1617.0
2015-03-31,1658.27,1658.27,1814.16,13984.48,15798.64,17456.91,255572.39,25974.13,12937.06,311940.5,14114.85,695.43,95473.92,188477.53,2833.16,10345.6,311940.5,4689.0,39039.0,10.9,8.05,2.85,11873.0,6.0,6807.0,3.61,4.0,20257.99,101238.27,0.0,0.0
2016-03-31,1689.71,1689.71,3292.35,12697.08,15989.43,17679.14,266184.19,9207.89,11859.88,305466.1,14069.51,1471.54,88867.54,180009.59,4359.29,16688.64,305466.1,4728.0,37685.0,10.41,8.2,2.2,22721.0,12.0,13242.0,7.36,7.0,23947.97,88641.03,535.0,0.0
2017-03-31,1902.17,1902.17,0.0,15365.97,15365.97,17268.14,296671.19,9282.45,9497.17,333401.94,75086.76,3679.78,92094.88,139398.77,4290.37,18851.39,333401.94,4714.0,37044.0,10.95,8.62,2.33,27251.33,18.0,14217.83,10.2,10.0,9168.94,0.0,683.0,0.0
2018-03-31,2618.16,2618.16,0.0,15367.38,15367.38,17985.53,294838.86,5706.12,7694.77,326225.28,35999.91,3228.53,102631.61,156542.18,4343.38,23479.67,326225.28,4685.0,36843.0,9.04,7.01,2.03,0.0,21.0,0.0,11.1,11.0,1448606.7,0.0,0.0,0.0
2019-03-31,4047.2,4047.2,0.0,14887.66,14887.66,18934.86,299855.44,5239.06,6475.77,330717.66,20779.09,10420.85,125298.07,146525.36,4310.24,23384.06,330717.66,4659.0,35675.0,9.61,7.49,2.12,32356.04,19.0,11333.24,7.73,8.0,16247.39,86668.2,212.54,0.0
2020-03-31,5709.76,5709.76,2962.6,12757.11,15719.71,21429.47,313763.16,5787.2,15456.02,356435.86,30021.75,6017.29,142517.54,151100.88,4336.18,22442.21,356435.86,4651.0,33481.0,11.72,9.33,2.39,32589.08,19.0,11534.46,7.63,8.0,14276.74,56184.69,0.0,0.0
2021-03-31,5875.56,5875.56,3792.28,12037.25,15829.53,21705.09,329972.95,5468.64,7268.32,369214.99,32187.84,6763.47,148582.43,156578.65,5132.42,19970.18,369214.99,4608.0,32335.0,14.81,12.82,1.99,29276.96,17.0,9036.45,5.77,6.0,11898.77,92139.0,4800.0,0.0
2022-03-31,8680.94,8680.94,0.0,18845.77,18845.77,27526.71,342691.94,7474.36,8872.59,386565.6,38033.7,15060.63,140786.95,168173.5,4955.04,19555.78,386565.6,0.0,0.0,13.84,0.0,0.0,28156.22,15.0,6675.17,3.97,0.0,0.0,0.0,0.0,0.0
2023-03-31,8680.94,8680.94,0.0,20427.97,20427.97,29108.91,359296.47,8118.75,9641.36,406165.49,27432.92,16666.73,136583.48,202984.31,4776.28,17721.77,406165.49,0.0,0.0,14.12,0.0,0.0,18386.12,8.0,3591.72,1.77,0.0,0.0,0.0,0.0,0.0
2024-03-31,8680.94,8680.94,0.0,23467.03,23467.03,32147.97,385011.32,19805.65,9707.75,446672.69,22954.69,14652.81,143923.49,243406.28,5335.74,16399.68,446672.69,0.0,0.0,15.08,0.0,0.0,11340.34,4.5,3001.95,1.23,0.63,0.0,0.0,0.0,0.0
2025-03-31,9051.4,9051.4,0.0,27454.68,27454.68,36506.08,412697.14,21591.95,8332.96,479128.13,22931.1,13265.75,141435.25,282419.87,5204.28,13871.88,479128.13,0.0,0.0,17.02,0.0,0.0,9224.78,3.18,1543.26,0.55,0.86,0.0,0.0,0.0,0.0
