Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2007-03-31,2.47,2.47,28.49,28.49,0.0,30.95,0.0,40.7,3.09,0.0,0.0,43.78,0.0,0.0,43.09,3.02,46.11,120.85,48.22,0.0,16.41,0.0,64.63,0.4,0.0,0.0,0.0,65.03,0.0,18.68,26.1,1.33,7.95,1.75,55.81,120.85,2.25,0.0,1.73,0.14,24.66,1.2,0.94,0.4,0.0,0.0,37.59,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,8.64,8.64,28.21,28.21,0.0,36.84,0.0,35.82,3.34,0.0,0.0,39.16,17.46,29.48,9.45,3.92,60.31,136.31,49.45,2.7,7.93,0.0,60.08,36.1,0.0,0.0,0.0,96.18,0.0,7.78,22.86,1.48,8.03,0.0,40.14,136.31,20.38,0.0,0.51,0.0,32.85,4.04,7.1,36.1,0.0,0.0,10.2,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,8.64,8.64,35.38,35.38,0.0,44.02,0.0,41.68,3.59,0.0,0.0,45.27,19.7,33.29,3.77,4.37,61.13,150.42,52.42,2.82,9.8,0.0,65.05,42.12,0.0,0.0,0.0,107.17,0.0,8.54,23.91,0.85,9.95,0.0,43.25,150.42,13.44,0.0,0.69,0.0,39.25,5.51,7.1,42.12,0.0,0.0,3.91,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,8.64,8.64,50.9,50.9,0.0,59.53,0.0,71.09,3.33,0.0,0.0,74.42,25.33,59.39,10.43,6.55,101.69,235.64,73.12,3.15,20.1,0.0,96.37,42.12,0.0,0.0,0.0,138.49,0.0,23.0,48.55,4.36,21.24,0.0,97.15,235.64,16.45,0.0,3.72,0.03,56.96,4.62,7.1,42.12,0.0,0.0,14.71,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,9.64,23.64,160.6,160.6,0.0,184.24,0.0,15.89,4.6,3.92,4.2,28.6,30.0,74.24,25.29,5.74,135.28,348.12,87.93,4.41,8.14,0.68,101.16,59.9,0.0,5.07,0.0,166.13,0.0,32.14,86.04,45.88,17.78,0.15,181.98,348.12,50.51,0.0,1.41,0.03,67.43,3.72,7.1,59.9,0.0,14.0,19.96,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,20.4,39.6,227.96,227.96,0.0,267.55,0.0,10.53,5.13,3.85,6.59,26.1,83.79,90.24,23.14,8.76,205.92,499.57,94.91,8.56,9.74,0.0,113.21,74.26,0.0,18.26,0.42,206.15,14.46,49.76,106.03,75.82,46.48,0.89,293.43,499.57,79.11,0.0,0.94,0.1,60.16,3.95,17.57,74.26,14.46,19.2,29.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,20.4,39.6,250.07,250.07,0.0,289.67,0.0,17.86,6.19,0.02,4.65,28.72,71.03,87.02,28.84,8.36,195.24,513.64,104.36,6.94,36.2,0.0,147.5,103.54,0.0,14.96,0.55,266.56,0.0,38.24,118.04,15.99,73.43,1.39,247.08,513.64,147.38,0.0,0.87,0.0,66.18,6.72,17.57,103.54,0.0,19.2,20.51,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,20.4,39.6,267.25,267.25,0.0,306.85,0.0,13.71,5.23,0.04,6.13,25.1,69.52,78.28,41.9,7.33,197.02,528.98,133.9,4.79,3.57,0.0,142.26,176.34,0.0,8.82,0.32,327.75,0.0,40.11,121.04,23.92,15.63,0.52,201.22,528.98,205.67,0.0,0.34,0.0,82.3,8.67,17.57,176.34,0.0,19.2,17.17,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,41.6,60.8,270.68,270.68,0.0,331.48,0.0,7.05,3.53,0.04,8.3,18.92,45.91,61.75,23.47,10.16,141.27,491.67,121.32,2.57,4.17,0.0,128.05,185.48,0.0,7.07,0.94,321.54,0.0,34.76,104.86,9.34,20.97,0.19,170.12,491.67,3.8,0.0,0.69,0.0,87.22,7.13,38.5,185.48,0.0,19.2,22.96,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,41.6,60.8,304.56,304.56,0.0,384.56,0.0,35.04,4.0,2.2,3.98,45.22,21.85,80.19,34.55,13.59,150.18,560.76,126.67,2.29,6.9,0.0,135.86,200.48,0.0,9.87,0.24,346.44,0.0,38.81,112.66,47.74,14.74,0.37,214.32,560.76,205.85,0.0,0.96,0.0,80.52,5.68,38.5,200.48,0.0,19.2,24.07,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
