Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Hybrid/Debt/Other Securities,Raw Materials,Capital Goods,Equity Share Application Money
2005-03-31,0.92,0.92,1.7,1.7,2.61,4.0,0.0,0.0,0.0,4.01,0.0,0.0,5.8,0.69,6.49,13.11,1.77,0.0,0.0,0.0,1.77,0.48,0.0,0.0,0.0,2.24,0.0,5.03,4.87,0.15,0.81,0.0,10.86,13.11,0.0,0.0,0.0,0.0,0.11,0.41,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1.92,1.92,4.26,4.26,6.17,9.65,0.0,0.0,0.0,9.65,0.0,0.0,13.95,1.15,15.1,31.76,2.36,0.0,0.83,0.0,3.19,0.48,0.06,0.0,0.0,3.72,0.0,10.64,13.07,0.55,3.77,0.0,28.04,31.76,0.5,0.0,0.0,0.0,0.11,0.41,0.0,0.0,0.0,0.0,0.0,0.84
2007-03-31,4.57,4.57,12.77,12.77,17.34,34.25,0.0,0.0,0.0,34.25,0.0,0.0,34.11,2.05,36.16,87.75,3.98,0.0,1.08,0.0,5.06,0.2,0.06,0.0,0.0,5.32,0.0,26.68,35.39,3.49,16.87,0.0,82.43,87.75,0.5,0.0,0.0,0.0,0.11,0.13,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,6.13,6.13,44.04,44.04,50.17,30.4,0.0,0.0,0.0,30.4,0.0,0.0,22.12,1.19,23.31,103.88,7.05,0.0,7.72,0.0,14.76,0.67,0.13,0.0,0.0,15.56,0.0,25.79,24.57,21.14,16.82,0.0,88.31,103.88,0.5,0.0,0.0,0.0,0.06,0.59,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,6.13,6.13,45.78,45.78,51.91,7.18,0.02,0.0,0.0,7.2,0.0,0.0,48.61,0.47,49.08,108.19,25.16,0.0,7.35,0.0,32.51,0.67,0.0,0.0,0.0,33.18,0.0,28.94,14.96,3.75,27.37,0.0,75.01,108.19,9.9,0.0,0.0,0.0,0.12,0.59,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,42.9,42.9,28.28,28.28,71.17,10.6,0.83,0.0,0.0,11.42,44.17,60.07,3.12,6.12,113.48,196.07,24.83,0.18,19.95,0.0,44.96,0.63,0.23,0.0,0.0,45.83,0.0,53.43,58.25,3.44,35.12,0.0,150.24,196.07,18.99,0.04,0.0,36.77,0.0,0.59,0.0,0.0,0.0,0.29,7.08,0.0
2011-03-31,54.94,54.94,162.35,162.35,217.3,0.33,1.15,0.15,0.0,1.63,45.63,57.93,3.83,0.67,108.06,326.99,42.57,0.09,30.82,0.0,73.47,0.63,0.0,49.95,0.0,124.05,37.73,69.16,30.64,25.96,39.44,0.0,202.94,326.99,151.59,0.33,0.0,36.77,0.0,0.59,37.73,0.0,0.0,0.0,0.0,0.0
2012-03-31,54.94,54.94,203.15,203.15,258.1,29.69,8.54,0.58,0.0,38.81,81.07,69.0,15.75,4.65,170.47,467.38,177.45,0.04,53.94,0.0,231.43,0.6,0.0,17.01,1.45,250.49,0.09,49.7,103.75,5.73,57.62,0.0,216.89,467.38,76.06,0.39,0.0,36.77,0.0,0.76,0.09,0.0,0.0,0.0,0.0,0.0
2013-03-31,54.94,54.94,219.09,219.09,274.03,55.99,18.12,0.34,0.0,74.45,100.54,114.53,51.92,8.31,275.28,623.77,311.51,0.21,9.47,0.0,321.19,0.6,0.0,8.48,1.4,331.67,0.0,67.01,146.74,33.98,42.12,2.24,292.1,623.77,82.56,0.07,0.0,36.77,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,54.94,54.94,151.23,151.23,206.17,54.98,20.81,0.37,0.0,76.17,66.3,48.49,21.15,5.18,141.12,423.46,289.1,0.2,14.26,0.0,303.56,0.0,0.0,5.3,0.0,308.87,0.0,37.62,23.52,11.3,39.1,3.04,114.59,423.46,75.9,6.2,0.0,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
