Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,136.7,0.74,137.44,88.96,12.44,3.04,4.22,0.0,7.18,21.6,0.67,22.27,2.07,20.2,0.0,20.2,6.52,13.68,13.68,54.94,2.49,2.49,2.43,44.19,2.83,92.12,51.42
2013-03-31,40.09,2.59,42.68,75.78,-37.15,3.38,4.23,0.0,25.16,-28.72,-1.22,-29.94,7.26,-37.2,0.0,-37.2,-7.48,-29.71,-29.71,54.94,-5.41,-5.41,2.43,44.19,2.71,88.29,49.28
2013-06-30,44.98,0.37,45.35,50.0,-9.78,2.99,7.48,0.0,4.6,-9.94,0.54,-9.41,4.52,-13.92,0.0,-13.92,1.56,-15.48,-15.48,54.94,-2.82,-2.82,2.43,44.19,2.95,96.16,5367.0
2013-09-30,19.59,0.28,19.87,12.57,5.08,2.54,7.56,0.0,3.27,-11.15,1.6,-9.55,4.83,-14.38,0.0,-14.38,0.71,-15.08,-15.08,54.94,-2.74,-2.74,2.43,44.19,1.8,58.66,32.74
2013-12-31,31.5,0.34,31.84,22.13,6.75,2.45,7.56,0.0,4.21,-11.26,0.25,-11.0,5.43,-16.43,0.0,-16.43,0.27,-16.7,-16.7,54.94,-3.04,-3.04,24.28,44.19,1.8,58.66,32.74
2014-03-31,35.5,6.3,41.8,22.64,21.88,2.54,7.47,0.0,6.4,-19.12,0.29,-18.82,4.18,-23.0,0.0,-23.0,0.17,-23.17,-23.17,54.94,-4.22,-4.22,2.43,44.19,0.33,10.76,6.0
2014-06-30,34.53,0.74,35.28,27.55,1.91,2.08,5.04,0.0,11.57,-12.87,0.4,-12.48,4.41,-16.89,0.0,-16.89,0.0,-16.89,-16.89,54.94,-3.08,-3.08,2.43,44.19,0.83,27.06,15.1
2014-09-30,19.65,0.3,19.96,13.76,3.36,2.03,5.17,0.0,4.13,-8.49,0.28,-8.21,4.85,-13.06,0.0,-13.06,0.0,-13.06,-13.06,54.94,-1.46,-1.46,2.43,44.19,0.83,27.06,15.1
2014-12-31,20.41,1.23,21.65,14.51,4.15,2.1,5.1,0.0,5.68,-9.9,0.56,-9.34,4.67,-14.01,0.0,-14.01,-7.09,-6.92,-6.92,54.94,-1.26,-1.26,2.43,44.19,0.01,0.28,0.15
2015-03-31,36.16,5.4,41.56,31.98,7.71,2.31,4.96,0.0,5.82,-11.22,1.18,-10.04,6.34,-16.38,-63.0,-79.38,-8.66,-70.72,-70.72,54.94,-12.87,-12.87,2.43,44.19,0.01,0.28,0.15
