Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,311.95,296.88,321.57,286.14,292.27,269.41,285.46,256.29,264.41,264.55,280.06,257.02,217.99,212.24,241.96,264.1,238.36,224.43,242.55,110.78,163.16,172.91,172.28,156.96,154.43,145.79,147.74,133.25
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,311.95,296.88,321.57,286.14,292.27,269.41,285.46,256.29,264.41,264.55,280.06,257.02,217.99,212.24,241.96,264.1,238.36,224.43,242.55,110.78,163.16,172.91,172.28,156.96,154.43,145.79,147.74,133.25
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,64.13,58.63,63.56,58.16,59.27,52.13,56.29,52.79,53.55,60.34,64.36,57.29,53.08,45.63,57.45,61.56,57.77,58.97,64.16,31.62,42.46,42.65,42.66,39.48,34.81,33.42,37.89,32.96
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,68.69,69.72,69.48,64.09,61.13,62.96,64.03,58.47,57.06,58.6,55.27,57.23,44.35,46.33,39.6,46.45,40.68,41.57,38.43,36.16,34.94,38.06,38.16,36.5,32.97,34.23,37.92,31.84
Depreciation,27.28,26.85,26.01,24.76,25.24,24.14,21.37,19.99,22.23,21.95,20.4,20.37,11.95,11.54,11.74,10.56,11.18,8.66,8.73,7.63,8.48,8.15,7.5,6.72,4.28,4.1,3.68,3.37
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,126.38,103.43,106.51,95.62,97.95,95.49,97.66,86.77,86.07,80.12,85.36,81.47,74.84,72.5,74.73,77.98,59.45,51.88,61.7,34.35,48.81,44.01,45.18,39.8,44.0,40.99,39.11,36.61
"P/L Before Other Inc. , Int., Excpt. Items & Tax",25.47,38.25,56.01,43.51,48.68,34.69,46.1,38.28,45.49,43.55,54.66,40.65,33.77,36.23,58.43,67.56,69.28,63.35,69.53,1.02,28.48,40.04,38.78,34.46,38.37,33.05,29.15,28.47
Other Income,7.6,3.03,3.59,2.83,2.02,5.19,2.01,2.78,9.14,6.79,2.93,2.42,44.49,1.45,3.3,3.28,42.08,2.37,1.83,2.37,25.72,1.78,0.98,0.83,14.26,--,4.88,1.53
"P/L Before Int., Excpt. Items & Tax",33.06,41.29,59.6,46.34,50.7,39.88,48.11,41.06,54.63,50.34,57.59,43.08,78.26,37.68,61.73,70.84,111.36,65.71,71.35,3.4,54.2,41.83,39.76,35.29,52.62,33.05,34.03,30.0
Interest,4.43,4.49,4.73,4.61,5.65,5.24,5.62,5.83,6.3,5.97,6.92,7.5,5.37,4.22,2.27,5.01,1.97,1.22,1.26,1.33,1.6,1.84,1.67,1.46,0.18,0.08,0.1,0.15
P/L Before Exceptional Items & Tax,28.64,36.8,54.87,41.72,45.05,34.63,42.49,35.23,48.32,44.38,50.67,35.58,72.88,33.46,59.46,65.83,109.39,64.49,70.09,2.07,52.6,39.99,38.09,33.83,52.44,32.97,33.93,29.85
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.9,--,--,--,--,-17.66,--,--,-6.86,--,--,--,--
P/L Before Tax,28.64,36.8,54.87,41.72,45.05,34.63,42.49,35.23,48.32,44.38,50.67,35.58,72.88,33.46,59.46,81.73,109.39,64.49,70.09,2.07,34.94,39.99,38.09,26.97,52.44,32.97,33.93,29.85
Tax,4.78,9.4,12.6,10.44,13.27,7.93,11.21,9.1,8.39,11.55,12.86,7.2,9.77,8.6,14.99,22.21,15.09,15.79,17.73,-0.12,5.18,7.69,6.42,8.65,12.94,10.17,13.89,10.73
P/L After Tax from Ordinary Activities,23.85,27.4,42.26,31.28,31.78,26.7,31.28,26.13,39.93,32.83,37.82,28.38,63.11,24.86,44.47,59.52,94.3,48.7,52.36,2.19,29.76,32.3,31.68,18.32,39.5,22.8,20.05,19.11
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,23.85,27.4,42.26,31.28,31.78,26.7,31.28,26.13,39.93,32.83,37.82,28.38,63.11,24.86,44.47,59.52,94.3,48.7,52.36,2.19,29.76,32.3,31.68,18.32,39.5,22.8,20.05,19.11
Equity Share Capital,10.36,10.25,10.25,10.25,10.25,10.24,10.24,10.24,10.24,10.24,10.24,10.23,10.23,10.23,10.23,10.23,10.22,10.22,10.19,10.14,10.13,10.04,10.04,10.04,10.04,10.04,10.04,9.54
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
