Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2012-03-31,4.38,4.38,55.77,55.77,0.0,60.15,50.96,1.74,0.0,1.42,54.13,57.4,75.41,12.98,1.11,146.91,261.18,66.34,0.11,3.82,70.27,7.29,23.16,1.58,102.29,0.0,67.44,52.88,4.77,32.86,0.94,158.89,261.18,84.59,0.0,0.5,0.18,0.0,0.18,7.28,0.0,0.0,131.49,0.24,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,3.1,3.1,57.34,57.34,1.92,62.36,45.53,3.24,0.0,1.35,50.11,34.56,99.62,11.18,1.62,146.97,259.44,65.76,0.27,5.22,71.24,7.65,12.71,1.27,92.86,0.0,80.16,36.98,5.3,42.76,1.38,166.58,259.44,66.61,0.0,0.89,0.55,0.0,0.23,7.64,0.0,0.0,112.91,0.35,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,3.1,3.1,67.21,67.21,1.92,72.23,39.8,5.95,0.0,1.33,47.09,40.47,88.59,15.95,3.38,148.38,267.7,70.67,0.24,0.0,70.91,8.6,13.67,1.58,94.75,0.0,86.62,37.8,3.73,43.09,1.71,172.95,267.7,0.81,0.0,0.37,0.29,0.0,0.28,8.59,0.0,0.0,102.38,0.72,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,3.1,3.1,76.42,76.42,1.92,81.44,38.87,6.01,0.0,1.55,46.42,24.41,121.02,6.59,3.23,155.25,283.11,76.28,0.12,0.0,76.4,8.59,13.07,1.72,99.78,0.0,98.92,45.76,4.08,34.01,0.57,183.33,283.11,83.24,0.0,0.59,1.2,0.0,0.0,8.59,0.0,0.0,69.22,0.06,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3.1,3.1,108.15,108.15,1.98,113.24,50.83,6.21,0.0,2.25,59.29,16.87,122.48,8.77,7.03,155.15,327.68,85.29,0.12,0.01,85.41,25.4,17.34,1.98,130.13,0.0,88.71,68.56,2.77,37.08,0.42,197.54,327.68,88.82,0.0,15.82,14.38,0.0,0.0,25.4,0.0,0.0,155.52,0.09,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.99,10.99,178.84,178.84,0.0,189.83,9.89,0.0,0.0,3.11,13.0,33.06,227.0,32.63,2.68,295.37,498.2,128.53,0.09,1.96,130.58,9.05,0.0,12.09,152.39,0.0,156.66,133.74,5.56,0.0,49.85,345.81,498.2,172.53,619.99,1.87,59.01,6.28,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,11.33,11.33,292.49,292.49,0.0,303.81,8.0,3.89,0.0,4.14,16.03,32.64,235.71,76.71,3.24,348.29,668.13,168.11,0.18,12.55,184.23,13.25,0.0,13.81,211.29,0.0,231.6,129.46,35.91,0.0,59.87,456.84,668.13,282.53,1017.02,2.11,73.29,6.28,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,11.33,11.33,348.74,348.74,0.0,360.06,4.63,13.92,0.0,4.53,23.08,129.94,547.71,39.24,3.33,720.23,1103.37,202.59,4.69,18.77,226.05,18.0,0.0,13.13,257.17,0.0,296.92,439.38,27.54,0.0,82.37,846.2,1103.37,524.3,1166.78,5.19,25.66,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,11.57,11.57,502.59,502.59,0.0,514.16,9.57,12.58,81.27,6.26,109.68,62.98,714.04,16.05,4.38,797.45,1421.29,346.11,4.33,9.55,359.98,45.01,0.0,26.6,431.59,0.0,364.0,428.61,97.69,0.0,99.4,989.7,1421.29,839.21,2151.98,2.26,3.56,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,11.71,11.71,690.61,690.61,0.0,702.33,56.38,14.55,85.42,8.3,164.65,71.25,1423.54,51.81,5.43,1552.03,2419.01,377.31,3.87,71.55,452.73,45.03,0.0,26.51,524.27,95.25,555.44,1003.0,40.93,59.0,141.11,1894.73,2419.01,1572.09,3805.73,2.31,5.46,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
