Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,359.26,320.4,302.15,287.07,272.02,256.15,239.29,223.5,201.86,185.68,169.68,152.99
Other Operating Income,1.32,12.77,11.74,10.42,6.79,7.69,7.02,6.08,5.7,3.74,6.18,6.98
Total Income From Operations,360.57,333.16,313.89,297.5,278.8,263.84,246.31,229.59,207.56,189.42,175.87,159.97
EXPENDITURE,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,68.26,64.33,59.87,60.77,60.01,57.03,53.34,46.75,46.12,37.94,41.39,34.67
Depreciation,4.56,4.65,3.85,3.76,3.63,3.42,3.25,3.12,3.08,3.18,3.25,3.21
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,20.86,19.12,18.94,14.81,13.63,12.28,10.98,10.13,7.28,10.26,8.0,6.51
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,23.71,21.57,21.02,18.28,16.96,20.9,19.15,18.54,15.4,14.61,14.41,13.15
"P/L Before Other Inc. , Int., Excpt. Items & Tax",243.19,223.49,210.21,199.87,184.57,170.22,159.58,151.05,135.67,123.44,108.82,102.43
Other Income,0.6,0.09,0.3,0.01,0.65,0.09,0.2,0.34,1.12,4.97,1.31,0.16
"P/L Before Int., Excpt. Items & Tax",243.79,223.58,210.51,199.89,185.21,170.31,159.78,151.4,136.79,128.41,110.12,102.58
Interest,117.99,106.11,100.38,94.76,88.3,84.58,89.16,88.61,78.7,75.74,62.29,59.72
P/L Before Exceptional Items & Tax,125.8,117.47,110.13,105.12,96.92,85.73,70.63,62.79,58.09,52.67,47.83,42.86
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,125.8,117.47,110.13,105.12,96.92,85.73,70.63,62.79,58.09,52.67,47.83,42.86
Tax,31.4,29.39,26.15,26.41,23.49,21.72,18.02,15.82,15.33,13.35,12.18,10.79
P/L After Tax from Ordinary Activities,94.4,88.08,83.98,78.72,73.43,64.02,52.61,46.97,42.76,39.31,35.66,32.07
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,94.4,88.08,83.98,78.72,73.43,64.02,52.61,46.97,42.76,39.31,35.66,32.07
Equity Share Capital,1085.18,1081.75,1075.5,1072.52,1071.89,1066.72,1059.46,916.84,889.57,889.57,889.57,869.72
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,0.87,0.82,0.78,0.73,0.69,0.6,0.52,0.52,0.48,0.44,0.4,0.37
Diluted EPS,0.86,0.8,0.76,0.72,0.67,0.58,0.51,0.49,0.44,0.42,--,0.36
EPS After Extra Ordinary,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,
Notes,,,,,,,,,,,,
