Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,1545.03,1865.74,1843.51,1734.14,1486.97,1816.72,1946.52,1809.87,1490.33,1740.51,1797.96,1838.86,1395.3,1544.1,1687.66,1543.38,956.32,1076.46,1231.77,1125.28,1018.41,1332.78,1376.56,1248.54,939.47,1050.34,1178.17,1107.83,796.6,865.77,1042.2,970.11,663.38,834.87,1078.89,1014.91
Other Operating Income,4.85,3.68,4.78,7.34,9.87,3.22,4.07,10.55,6.03,--,--,10.75,5.01,--,2.19,4.96,7.51,0.74,11.76,3.2,135.31,0.43,2.94,3.71,0.61,5.24,2.55,2.2,--,--,9.96,3.84,16.51,--,1.71,5.79
Total Income From Operations,1549.88,1869.42,1848.29,1741.48,1496.84,1819.94,1950.59,1820.42,1496.36,1740.51,1797.96,1849.61,1400.31,1544.1,1689.85,1548.34,963.83,1077.2,1243.53,1128.48,1153.72,1333.21,1379.5,1252.25,940.08,1055.58,1180.72,1110.03,796.6,865.77,1052.16,973.95,679.88,834.87,1080.6,1020.7
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1225.07,1425.24,1484.48,1232.11,1208.82,1410.62,1548.77,1375.45,1254.89,1333.68,1390.34,1489.69,1087.26,1235.42,1297.77,1129.97,697.25,814.26,859.79,808.27,826.95,1031.26,1016.22,915.4,792.35,807.91,838.97,773.36,599.09,649.06,674.16,695.27,522.87,652.86,747.08,716.11
Purchase of Traded Goods,21.36,24.46,24.73,32.13,14.97,19.4,33.79,29.75,16.94,25.08,51.8,42.35,18.2,35.57,74.83,83.71,31.48,32.47,91.75,71.2,20.19,40.2,101.45,58.61,18.08,32.37,105.05,67.51,25.88,23.95,74.86,45.94,14.73,25.46,73.49,69.93
Increase/Decrease in Stocks,-32.01,0.35,-100.76,33.98,-29.04,16.85,-33.52,27.37,-21.9,53.9,10.23,-6.06,19.31,-33.36,-45.18,-3.08,15.8,-6.61,-9.91,-12.38,9.18,29.88,-8.53,15.21,-39.49,7.62,-24.57,0.86,-6.13,-4.33,30.34,-11.29,3.75,-10.6,15.28,-1.01
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,77.64,86.12,67.69,83.29,85.38,66.42,87.04,81.71,45.03,78.46,69.02,74.15,77.97,66.6,63.84,62.68,49.53,61.01,61.75,56.82,44.15,56.49,59.48,56.09,47.52,51.8,48.69,55.09,46.38,48.43,51.29,49.06,37.99,40.72,42.08,43.91
Depreciation,31.33,30.93,31.43,30.44,32.28,29.46,29.34,29.54,26.16,25.29,24.76,23.96,23.57,23.61,22.76,22.95,21.96,21.61,21.71,19.81,21.03,20.12,19.69,19.01,15.82,15.58,13.96,13.28,13.39,13.39,13.23,13.29,12.78,12.13,12.1,11.83
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,127.73,137.99,150.52,145.76,126.54,145.59,140.3,155.05,132.83,138.03,150.9,132.2,112.58,142.6,141.78,125.33,99.34,104.05,116.64,97.38,137.49,93.83,103.19,90.38,84.96,96.77,102.65,89.01,91.51,80.71,89.45,82.16,67.82,59.62,85.74,85.71
"P/L Before Other Inc. , Int., Excpt. Items & Tax",98.76,164.33,190.2,183.77,57.89,131.6,144.87,121.55,42.41,86.07,100.91,93.32,61.42,73.66,134.05,126.78,48.47,50.41,101.8,87.38,94.73,61.43,88.0,97.55,20.84,43.53,95.97,110.92,26.48,54.56,118.83,99.52,19.96,54.68,104.83,94.22
Other Income,3.49,75.8,11.63,17.96,6.71,11.35,46.37,12.16,9.62,98.75,14.4,6.93,45.19,40.95,9.42,11.18,10.21,43.02,12.42,35.12,11.82,7.41,12.42,9.36,11.82,5.38,37.1,3.89,8.21,5.6,--,--,18.04,35.22,--,--
"P/L Before Int., Excpt. Items & Tax",102.25,240.13,201.83,201.73,64.6,142.95,191.24,133.71,52.03,184.82,115.31,100.25,106.61,114.61,143.47,137.96,58.68,93.43,114.22,122.5,106.55,68.84,100.42,106.91,32.66,48.91,133.07,114.81,34.69,60.16,118.83,99.52,37.99,89.9,104.83,94.22
