Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,74.1,74.07,74.04,73.96,73.88,73.73,73.45,66.47,60.11,59.82,59.66,54.27,47.44,40.82,40.5
Total Share Capital,74.1,74.07,74.04,73.96,73.88,73.73,73.45,66.47,60.11,59.82,59.66,54.27,47.44,40.82,40.5
Reserves and Surplus,9392.52,8327.36,7383.17,6511.75,5768.59,5222.34,4767.31,4096.76,3510.09,2992.18,2635.87,1970.66,1593.22,1202.28,966.12
Total Reserves and Surplus,9392.52,8327.36,7383.17,6511.75,5768.59,5222.34,4767.31,4096.76,3510.09,2992.18,2635.87,1970.66,1593.22,1202.28,966.12
Total ShareHolders Funds,9466.62,8401.43,7457.21,6585.71,5842.48,5296.07,4840.76,4163.24,3570.2,3052.0,2695.52,2024.93,1640.67,1243.1,1006.62
Deposits,63525.95,55656.64,52397.86,47689.67,44537.36,40832.49,38447.95,32852.62,30115.74,27158.13,24074.96,22016.89,20304.76,16340.76,12914.29
Borrowings,2169.41,4724.16,4688.09,5311.82,1345.7,2032.4,480.91,1735.88,531.0,112.55,168.82,304.98,476.74,348.7,186.15
Other Liabilities and Provisions,2461.23,2043.64,2051.4,1943.72,1586.15,1572.57,1489.27,1185.51,1053.84,929.29,931.83,647.02,554.92,418.1,484.46
Total Capital and Liabilities,77623.21,70825.87,66594.56,61530.91,53311.68,49733.53,45258.89,39937.25,35270.78,31251.96,27871.13,24993.83,22977.08,18350.66,14591.52
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,3874.57,4615.4,3302.36,2965.1,2792.71,2030.37,1993.12,1861.8,1484.19,1362.57,1233.51,1040.11,1016.34,814.67,1052.24
Balances with Banks Money at Call and Short Notice,1415.97,2328.12,3346.92,3721.83,2822.35,2691.28,970.16,774.65,1394.79,1237.5,1303.26,1139.5,754.15,321.44,234.08
Investments,17336.14,15664.11,14332.63,12221.22,9435.94,9116.79,7712.2,7879.11,7031.45,6324.45,6365.27,5953.56,5266.8,4586.19,3616.23
Advances,52081.25,45525.72,43053.35,40358.47,36157.83,33927.45,32673.34,27852.79,23832.7,21056.92,17965.5,16096.84,15246.06,12137.46,9255.46
Fixed Assets,322.34,270.37,239.33,214.65,232.69,245.16,250.03,223.13,215.08,217.56,210.41,182.95,141.28,97.73,68.53
Other Assets,2592.94,2422.14,2319.99,2049.64,1870.16,1722.49,1660.03,1345.78,1312.57,1052.97,793.18,580.86,552.46,393.16,364.98
Total Assets,77623.21,70825.87,66594.56,61530.91,53311.68,49733.53,45258.89,39937.25,35270.78,31251.96,27871.13,24993.83,22977.08,18350.66,14591.52
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,800.0,752.0,727.0,0.0,0.0,650.0,600.0,550.0,525.0,475.0,425.0,375.0,300.0,246.0
Number of Employees,0.0,7188.0,6019.0,5367.0,0.0,0.0,5518.0,5319.0,4689.0,4517.0,4365.0,4215.0,3785.0,3347.0,2836.0
Capital Adequacy Ratios (%),23.75,23.73,22.34,20.85,19.52,17.0,15.55,16.22,15.83,15.58,16.52,15.01,13.98,12.57,12.75
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,22.69,21.27,19.78,0.0,0.0,15.03,15.79,15.35,15.09,16.03,14.43,13.27,11.69,11.84
Tier 2 (%),0.0,1.04,1.07,1.07,0.0,0.0,0.52,0.43,0.48,0.49,0.49,0.58,0.71,0.88,0.91
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,1638.17,1854.43,1920.16,1933.18,1893.19,1413.4,977.05,856.55,681.98,511.98,335.82,293.06,173.1,123.54,112.48
Gross NPA (%),3.09,3.99,4.37,4.7,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
Net NPA,653.07,898.68,1017.63,1191.1,1075.19,778.49,591.46,474.78,408.34,323.15,232.79,197.29,96.39,54.04,48.42
Net NPA (%),1.25,1.97,2.36,2.95,2.97,2.29,1.81,1.7,1.71,1.53,1.3,1.23,0.63,0.44,0.52
Net NPA To Advances (%),1.55,1.97,2.36,2.95,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,469.91,401.08,409.02,0.0,0.0,460.81,319.09,256.97,653.75,674.22,685.22,766.39,978.86,599.72
Contingent Liabilities,0.0,7847.0,10263.66,9295.73,0.0,0.0,4835.45,0.0,0.0,6814.25,7802.98,5327.42,6209.21,10070.55,4451.9
Preference Share Capital,,,,,,,,,,,,,,,0.0
Revaluation Reserve,,,,,,,,,,,,,,,0.0
Money Against Share Warrants,,,,,,,,,,,,,,,0.0
Employees Stock Options,,,,,,,,,,,,,,,0.0
Equity Share Application Money,,,,,,,,,,,,,,,0.0
Preference Share Application Money,,,,,,,,,,,,,,,0.0
Share Capital Suspense,,,,,,,,,,,,,,,0.0
