Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development
2016-03-31,20.0,20.0,9.04,9.04,0.0,29.04,0.0,0.0,0.95,0.95,0.0,5.66,49.46,0.37,55.48,85.47,8.29,0.7,1.21,10.2,0.62,0.24,3.87,25.07,40.02,0.0,16.81,25.2,2.65,0.8,45.46,85.47,3.66,76.3,143.27,18.0,0.62,0.0,0.0
2017-03-31,50.0,50.0,30.44,30.44,0.0,80.44,2.58,0.0,1.04,3.62,15.0,10.4,13.82,0.47,39.68,123.74,15.68,1.59,0.0,17.27,14.15,0.95,12.96,2.88,48.22,0.0,23.31,49.56,1.75,0.91,75.53,123.74,32.56,17.26,122.12,30.0,14.15,0.0,0.0
2018-03-31,50.0,50.0,33.74,33.74,0.0,83.74,1.6,0.25,1.35,3.2,22.72,38.25,10.78,0.75,72.5,159.44,13.16,0.63,0.0,13.79,24.02,2.08,0.0,13.37,53.26,0.0,52.7,19.51,25.98,7.99,106.17,159.44,30.83,41.54,110.76,30.0,24.02,0.0,0.0
2019-03-31,50.0,50.0,33.8,33.8,0.0,83.8,0.83,0.38,1.48,2.69,18.89,92.68,22.82,0.56,134.94,221.44,10.66,0.53,0.0,13.32,24.03,3.44,0.0,23.89,64.68,10.67,96.43,9.07,32.05,8.54,156.76,221.44,33.72,178.35,252.73,30.0,24.03,0.0,2.13
2020-03-31,50.0,50.0,24.32,24.32,0.0,74.32,0.19,0.28,2.03,2.5,37.36,189.34,19.73,0.78,247.21,324.02,9.7,3.38,0.0,13.08,26.5,2.97,0.0,23.37,65.91,11.9,111.8,58.95,22.34,53.12,258.11,324.02,26.47,95.24,242.72,30.0,26.5,11.9,0.0
2021-03-31,57.71,57.71,287.03,287.03,0.0,344.74,0.13,9.51,2.52,12.16,0.08,191.25,40.7,0.46,232.5,589.4,20.4,16.68,1.05,38.14,36.5,2.4,7.7,15.59,100.33,12.8,98.3,321.95,32.95,23.07,489.07,589.4,40.21,18.08,199.31,30.0,36.5,12.8,0.0
2022-03-31,62.87,62.87,1143.23,1143.23,18.87,1224.97,0.0,12.16,3.66,15.82,0.0,40.33,46.23,0.79,87.35,1328.14,22.99,37.39,0.0,60.38,41.47,5.17,14.15,15.67,136.84,13.38,100.58,800.16,201.98,75.2,1191.3,1328.14,261.99,59.2,138.58,30.0,13.38,13.38,0.0
2023-03-31,62.44,62.44,1064.02,1064.02,0.0,1126.46,0.0,9.9,3.92,13.82,0.0,104.12,25.04,1.09,130.25,1270.53,24.43,29.7,1.09,55.22,38.95,7.58,0.0,21.03,122.78,13.88,160.68,510.64,353.68,108.87,1147.75,1270.53,458.56,53.48,200.02,29.71,0.0,13.88,0.0
2024-03-31,62.79,62.79,1097.88,1097.88,28.1,1188.77,0.0,6.62,5.09,11.71,0.0,148.4,21.34,1.26,171.0,1371.48,29.59,28.65,0.0,58.24,36.94,7.06,238.54,54.56,395.34,14.86,255.26,283.55,338.6,83.87,976.14,1371.48,650.88,51.24,189.93,29.71,0.0,14.86,0.0
2025-03-31,63.0,63.0,1196.34,1196.34,0.0,1259.34,0.0,1.66,7.07,8.73,0.0,371.06,28.14,1.65,400.85,1668.92,33.03,14.05,0.11,47.19,38.07,7.29,246.23,55.51,394.29,16.07,252.69,650.84,242.28,112.75,1274.63,1668.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
