Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2015-03-31,64.26,64.26,931.09,957.88,1022.15,97.76,0.0,97.76,356.74,85.04,75.75,517.53,1637.43,305.74,0.94,16.58,31.59,354.86,4.95,87.62,176.29,0.0,623.71,704.7,58.42,209.97,31.94,8.7,1013.73,1637.43,130.88,44.22,22.12,27.66,0.0,9.8,4.95,26.79,4.99,0.24,173.33,7.48
2016-03-31,64.26,64.26,1091.97,1118.76,1183.02,102.87,0.0,102.87,324.86,74.27,61.41,460.53,1746.42,301.52,0.6,13.43,5.61,321.15,4.95,101.92,178.34,0.0,606.36,678.9,69.64,340.51,40.86,10.16,1140.06,1746.42,101.45,53.6,22.12,13.97,0.0,9.8,4.95,26.79,3.95,0.2,121.52,4.16
2017-03-31,64.26,64.26,1261.02,1261.02,1325.28,103.97,0.0,103.97,407.22,81.78,4.35,493.35,1922.6,264.58,1.38,24.23,5.61,295.79,4.95,100.43,98.09,73.76,573.02,705.44,67.15,520.91,3.24,52.83,1349.58,1922.6,68.65,203.48,0.0,20.18,0.0,9.8,4.95,0.0,0.0,0.0,0.0,0.0
2018-03-31,64.26,64.26,1414.45,1414.45,1478.71,103.74,2.19,105.93,479.23,70.67,10.32,560.22,2144.87,292.91,1.55,12.12,0.0,306.58,4.95,105.39,99.31,81.06,597.28,762.11,88.63,588.49,3.77,104.58,1547.58,2144.87,77.33,264.84,0.0,16.1,0.0,9.8,4.95,0.0,0.0,0.0,0.0,0.0
2019-03-31,64.26,64.26,1682.27,1682.27,1746.53,100.24,2.28,102.52,515.65,98.27,15.67,629.59,2478.64,310.78,3.79,17.25,0.0,331.82,4.95,109.78,108.62,86.0,641.17,839.09,65.3,839.0,3.76,90.33,1837.47,2478.64,73.38,341.99,0.0,10.98,12.98,9.8,4.95,0.0,0.0,0.0,0.0,0.0
2020-03-31,64.26,64.26,1832.32,1832.32,1896.58,1035.35,2.51,1037.85,503.23,289.01,8.26,800.51,3734.94,1360.49,7.04,19.86,0.0,1387.39,4.95,110.99,122.94,109.08,1735.34,873.68,61.23,962.35,7.18,95.16,1999.6,3734.94,66.48,304.72,0.0,16.97,20.18,9.8,4.95,0.0,0.0,0.0,0.0,0.0
2021-03-31,64.26,64.26,1695.51,1695.51,1759.77,859.67,2.06,861.73,439.57,264.32,8.58,712.47,3333.97,1110.88,6.74,33.61,0.0,1151.24,4.95,138.4,116.31,66.04,1476.94,608.28,79.37,1093.56,12.37,63.46,1857.03,3333.97,54.71,126.36,0.0,11.42,0.0,9.8,4.95,0.0,0.0,0.0,0.0,0.0
2022-03-31,64.26,64.26,1749.96,1749.96,1814.23,891.29,2.03,893.32,456.08,352.03,8.98,817.09,3524.64,1207.3,16.74,3.72,1.45,1229.22,4.85,104.85,0.0,189.78,1528.7,870.91,71.72,964.82,0.0,88.5,1995.94,3524.64,88.84,179.11,0.0,12.88,0.0,9.8,4.85,0.0,0.0,0.0,0.0,0.0
2023-03-31,64.26,64.26,1369.64,1369.64,1433.9,1009.81,0.0,1009.81,408.88,405.24,7.59,821.71,3265.43,1374.83,14.22,1.61,2.16,1392.82,4.85,114.05,0.0,148.69,1660.41,904.26,82.55,523.19,0.0,95.01,1605.01,3265.43,89.75,553.07,0.0,10.02,14.44,9.8,4.85,0.0,0.0,0.0,0.0,0.0
2024-03-31,64.26,64.26,1455.73,1455.73,1520.0,1086.07,0.0,1086.07,298.42,421.14,13.98,733.55,3339.61,1478.41,26.89,1.57,2.16,1509.03,4.85,126.67,0.0,155.48,1796.03,929.32,80.11,402.93,0.0,131.21,1543.58,3339.61,58.42,374.0,0.0,30.82,0.0,9.8,4.85,0.0,0.0,0.0,0.0,0.0
