Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Equity Share Application Money
2011-03-31,214.95,214.95,1.16,868.87,870.03,0.0,1084.98,2042.16,7.69,94.86,3229.69,164.17,186.01,892.48,1905.17,43.4,38.45,3229.69,100.0,907.0,56.41,55.93,0.48,21.51,1.0,6.89,0.36,0.0,9.6,106.89,0.0
2012-03-31,214.95,214.95,0.0,927.26,927.26,0.0,1142.21,4739.33,1198.55,127.17,7207.27,263.3,322.82,2264.72,4132.27,57.77,166.39,7207.27,108.0,1328.0,23.14,22.78,0.36,33.11,1.0,8.39,0.2,1.0,16.86,591.77,0.0
2013-03-31,252.93,252.93,0.0,1352.73,1352.73,0.0,1605.66,8340.52,2737.35,278.75,12962.27,290.84,397.74,5516.05,6376.21,93.17,288.26,12962.27,125.0,1859.0,17.11,16.82,0.29,25.9,0.0,6.88,0.11,0.0,1.49,6349.66,0.0
2014-03-31,272.04,272.04,0.0,1612.16,1612.16,0.0,1884.2,11598.6,3895.54,689.23,18197.08,980.73,211.52,6477.0,9835.05,133.29,559.49,18197.08,172.0,2798.0,14.64,14.33,0.31,77.75,1.0,30.51,0.31,0.0,200.42,12275.27,129.5
2015-03-31,293.45,293.45,0.0,1935.95,1935.95,0.0,2229.4,17099.25,6962.7,812.3,27103.65,1455.68,714.66,9792.3,14449.83,163.41,527.78,27103.65,183.0,3465.0,13.13,12.74,0.39,111.23,1.0,38.59,0.27,0.0,513.51,0.0,0.0
2016-03-31,324.73,324.73,0.0,2663.51,2663.51,0.0,2988.24,24348.65,10536.22,1286.98,39160.09,1339.75,1110.18,14436.03,21229.08,176.3,868.75,39160.09,197.0,3871.0,12.94,11.1,1.84,208.05,1.0,124.44,0.59,1.0,772.32,30490.54,0.0
2017-03-31,375.2,375.2,0.97,3959.41,3960.37,0.0,4335.58,34588.09,7979.76,1771.35,48674.77,2947.93,1245.72,13481.71,29449.04,258.71,1291.67,48674.77,239.0,4902.0,13.72,11.39,2.33,356.84,1.0,189.94,0.64,1.0,822.71,42727.17,0.0
2018-03-31,419.67,419.67,0.94,6263.36,6264.3,0.0,6683.97,43902.26,9261.44,2003.08,61850.76,2589.33,1695.11,15447.5,40267.84,334.0,1516.97,61850.76,265.0,5330.0,15.33,13.61,1.72,566.73,1.0,312.56,0.78,1.0,1418.19,0.0,0.0
2019-03-31,426.71,426.71,0.91,7119.7,7120.61,0.0,7547.32,58394.42,11832.07,2585.02,80358.82,4839.52,1762.59,16840.36,54308.24,402.48,2205.62,80358.82,324.0,5843.0,13.46,12.1,1.36,754.62,1.0,372.74,1.38,1.0,2308.94,61302.59,0.0
2020-03-31,508.7,508.7,0.89,10073.36,10074.25,0.0,10582.95,57812.22,17006.73,3575.87,88977.77,6415.08,2442.1,18149.74,58019.05,469.76,3482.04,88977.77,386.0,7221.0,16.45,15.33,1.12,2136.52,4.0,1189.37,2.05,2.0,2387.38,73653.79,0.0
2021-03-31,598.02,598.02,0.87,12063.69,12064.56,0.0,12662.58,73121.27,11225.89,3640.87,100650.61,6704.7,6719.51,23230.42,58622.51,466.48,4907.0,100650.61,435.0,7816.0,17.5,16.64,0.86,2601.53,4.0,1241.35,2.12,2.0,2760.72,59088.26,0.0
2022-03-31,599.51,599.51,0.0,12018.73,12018.73,0.0,12618.24,79006.53,11093.04,3490.77,106208.58,13111.08,4436.62,22274.35,60021.81,548.1,5816.62,106208.58,0.0,0.0,16.82,0.0,0.0,2728.39,4.0,806.56,1.34,0.0,0.0,0.0,0.0
2023-03-31,599.57,599.57,0.0,12977.02,12977.02,0.0,13576.59,84886.52,13331.28,4081.79,115876.18,6238.06,2281.97,28875.45,70209.35,573.97,7697.38,115876.18,0.0,0.0,16.92,0.0,0.0,2419.86,3.0,772.54,1.1,1.0,0.0,0.0,0.0
2024-03-31,605.1,605.1,0.0,14191.29,14191.29,0.0,14796.39,103493.6,14184.09,5958.13,138432.21,12070.82,2345.73,29575.85,83986.92,532.39,9920.5,138432.21,0.0,0.0,16.18,0.0,0.0,2270.97,2.65,619.3,0.74,0.96,0.0,0.0,0.0
2025-03-31,607.88,607.88,0.0,14829.04,14829.04,169.87,15606.79,110943.53,13733.84,6441.32,146725.48,10964.76,1594.85,32164.75,92618.27,577.17,8805.68,146725.48,0.0,0.0,15.54,0.0,0.0,2465.47,2.6,270.79,0.29,0.51,0.0,0.0,0.0
