Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18
Net Sales/Income from operations,1224.66,1064.0,1120.15,1154.77,1118.3,995.32,1001.79,965.02,918.06,805.8,852.59,690.96,540.21,404.94,243.37,338.79,224.37,88.56,131.33,586.89,715.98,513.37,459.24,494.02,435.01
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.6,--
Total Income From Operations,1224.66,1064.0,1120.15,1154.77,1118.3,995.32,1001.79,965.02,918.06,805.8,852.59,690.96,540.21,404.94,243.37,338.79,224.37,88.56,131.33,586.89,715.98,513.37,459.24,495.62,435.01
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,16.21,16.47,17.35,16.74,18.14,18.09,19.02,17.52,19.21,19.29,19.65,12.99,12.62,8.79,13.74,12.61,8.07,2.82,8.06,23.27,30.17,26.78,29.71,19.68,23.46
Purchase of Traded Goods,52.55,45.81,71.62,35.75,50.43,39.25,49.53,31.02,34.13,25.05,30.49,25.38,13.96,11.9,6.53,6.43,7.11,0.24,0.14,2.51,7.18,9.42,9.47,-67.77,40.32
Increase/Decrease in Stocks,-1.3,-0.71,0.65,-0.86,0.56,-2.05,0.83,-0.3,-0.65,0.18,-0.55,0.92,-1.21,0.51,-0.64,0.06,0.32,1.58,0.46,-0.61,-1.14,-0.14,1.2,-0.82,-0.22
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,74.19,76.89,74.45,83.78,75.18,63.82,66.27,56.08,67.72,66.39,55.33,55.55,65.53,68.1,48.27,55.33,50.81,6.79,49.59,68.5,60.71,59.28,55.53,49.75,42.57
Depreciation,13.35,13.11,13.87,15.62,13.9,14.0,13.69,11.22,10.37,18.57,13.57,12.96,11.75,11.82,11.23,18.73,9.62,8.94,9.0,10.39,12.27,8.79,8.49,12.56,5.36
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
