Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,648.45,521.67,553.27,524.71,550.31,447.99,448.14,431.03,503.43,508.66,566.29,506.32,486.09,368.95,374.1,386.37,279.77,223.47,219.44,231.57,245.34,238.47,245.06,290.74,296.61,303.05,248.74,264.75,212.61,185.65,160.68,184.42,194.97,158.25,136.26,160.42,149.13,137.22,143.91,149.87,173.82,196.41,192.64,196.11,194.34,174.89,147.87,163.09,139.34,126.59
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.17,3.56,6.7,5.26,14.97,18.98,13.52,1.15,5.66,3.75,2.19,0.93,2.19,4.49,2.65,2.49,8.89
Total Income From Operations,648.45,521.67,553.27,524.71,550.31,447.99,448.14,431.03,503.43,508.66,566.29,506.32,486.09,368.95,374.1,386.37,279.77,223.47,219.44,231.57,245.34,238.47,245.06,290.74,296.61,303.05,248.74,264.75,212.61,185.65,160.68,184.42,194.97,164.41,139.82,167.12,154.39,152.19,162.9,163.38,174.97,202.07,196.39,198.29,195.27,177.08,152.36,165.74,141.83,135.48
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,308.06,256.22,297.87,320.14,282.26,250.85,219.99,241.03,245.11,244.75,298.42,300.29,233.67,194.46,204.19,223.01,141.83,95.81,89.97,88.25,98.72,102.23,105.87,124.68,135.25,142.49,121.28,129.56,102.92,93.06,83.78,90.47,91.79,78.11,65.93,70.29,66.15,73.61,82.98,72.72,91.27,113.38,121.92,128.8,125.58,102.85,85.23,94.33,92.9,86.08
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.28,--,--,--,--,--,--,--,--,2.02,0.27,0.24,--,--,0.52,--,--,--,--,--
Increase/Decrease in Stocks,33.28,9.78,2.03,-31.01,11.79,-14.22,18.65,-15.1,5.33,1.23,12.93,-24.56,28.46,-6.08,-13.79,-9.0,-27.67,4.87,-2.01,-3.39,0.25,6.12,-7.52,-1.64,-2.48,5.4,-7.83,1.43,1.34,5.61,-7.85,7.94,2.07,-3.21,-6.95,2.5,2.93,-1.96,-3.51,3.28,-0.12,3.55,-2.28,-0.71,-1.63,-5.09,4.89,9.48,-2.28,-13.02
Power & Fuel,36.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,36.74,32.6,35.21,33.44,29.95,30.36,26.35,25.56,22.78,24.11,23.14,23.19,20.47,21.45,21.21,20.86,17.68,18.45,18.08,18.44,15.88,17.13,16.01,15.26,13.02,14.05,13.47,13.67,11.93,12.44,12.42,12.19,10.42,13.03,10.43,10.23,9.34,8.74,8.81,9.0,7.69,8.18,8.06,7.97,6.66,7.0,6.72,5.25,5.99,5.82
Depreciation,20.18,20.5,20.51,19.56,19.41,19.33,13.73,13.19,13.02,13.05,13.05,12.83,11.69,11.52,11.28,11.01,10.73,10.77,10.76,10.65,9.7,9.28,7.19,6.98,6.81,6.92,6.9,6.75,4.35,5.47,6.81,6.73,5.35,5.37,5.36,5.29,4.71,4.63,4.62,4.56,4.4,4.5,4.45,4.31,3.95,3.7,3.64,2.71,2.66,2.38
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,50.74,80.3,84.14,77.04,76.11,66.3,72.33,70.53,77.9,74.81,83.34,76.52,64.7,66.35,55.67,49.99,48.8,32.26,29.28,31.1,28.82,30.01,30.86,32.27,31.04,34.68,30.67,28.35,31.45,24.7,26.11,23.62,30.15,23.41,24.38,24.55,25.24,21.29,22.23,23.21,26.27,23.64,20.05,21.77,18.94,30.09,29.92,19.21,20.16,20.54
"P/L Before Other Inc. , Int., Excpt. Items & Tax",163.39,122.27,113.51,105.53,130.79,95.37,97.09,95.81,139.3,150.72,135.42,118.05,127.1,81.26,89.74,90.51,88.39,61.33,73.36,86.53,91.96,73.7,92.67,113.19,112.96,99.51,84.26,85.0,60.62,44.37,39.12,43.46,55.2,47.71,40.67,54.26,46.02,45.89,47.76,48.59,45.19,48.58,44.19,36.15,41.26,38.52,21.96,34.75,22.39,33.68
Other Income,6.14,6.68,22.21,9.26,9.63,8.83,16.21,15.33,16.95,16.8,19.97,18.69,15.13,14.65,13.58,17.61,6.57,9.29,1.4,8.6,16.22,15.4,11.2,11.42,10.28,7.28,14.8,12.1,7.76,1.78,5.04,4.0,5.76,1.75,0.79,1.25,2.0,1.47,1.56,1.13,3.47,1.42,2.1,2.16,3.52,1.76,1.66,1.0,1.03,1.0
"P/L Before Int., Excpt. Items & Tax",169.53,128.95,135.72,114.8,140.42,104.19,113.3,111.13,156.26,167.52,155.39,136.75,142.23,95.91,103.32,108.12,94.96,70.61,74.76,95.13,108.18,89.11,103.87,124.61,123.24,106.8,99.06,97.1,68.37,46.15,44.15,47.46,60.96,49.46,41.46,55.51,48.02,47.36,49.32,49.72,48.66,50.0,46.28,38.31,44.79,40.28,23.62,35.75,23.42,34.67
Interest,0.16,0.09,0.07,0.45,0.85,0.99,0.27,0.27,0.13,0.02,0.01,0.47,0.23,0.01,0.0,0.01,0.11,0.01,0.05,0.04,0.26,0.25,0.28,0.3,0.23,0.28,0.25,0.18,0.56,0.41,0.93,0.86,0.04,0.82,0.47,1.42,1.18,2.0,2.22,2.46,0.77,2.77,3.69,2.53,4.18,4.9,4.76,2.21,5.28,1.57
P/L Before Exceptional Items & Tax,169.37,128.86,135.65,114.35,139.57,103.21,113.03,110.86,156.12,167.5,155.38,136.28,142.0,95.9,103.31,108.1,94.85,70.6,74.71,95.09,107.92,88.86,103.59,124.31,123.0,106.51,98.81,96.91,67.81,45.74,43.22,46.6,60.92,48.64,40.98,54.09,46.84,45.36,47.1,47.26,47.89,47.24,42.59,35.78,40.61,35.39,18.86,33.54,18.15,33.1
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,169.37,128.86,135.65,114.35,139.57,103.21,113.03,110.86,156.12,167.5,155.38,136.28,142.0,95.9,103.31,108.1,94.85,70.6,74.71,95.09,107.92,88.86,103.59,124.31,123.0,106.51,98.81,96.91,67.81,45.74,43.22,46.6,60.92,48.64,40.98,54.09,46.84,45.36,47.1,47.26,47.89,47.24,42.59,35.78,40.61,35.39,18.86,33.54,18.15,33.1
Tax,41.8,33.31,29.54,28.35,35.08,26.2,28.86,27.63,40.75,42.1,39.37,35.09,40.9,12.62,21.95,27.16,23.99,6.46,12.68,22.79,33.29,22.03,-6.42,41.95,40.48,35.84,33.78,32.66,15.9,14.01,14.08,15.5,20.33,16.08,10.55,18.37,7.56,15.18,16.03,16.22,15.46,16.41,14.16,11.67,12.99,12.73,6.2,12.07,5.71,10.73
P/L After Tax from Ordinary Activities,127.57,95.55,106.11,86.0,104.49,77.01,84.17,83.24,115.38,125.41,116.01,101.19,101.1,83.27,81.36,80.95,70.86,64.14,62.04,72.3,74.63,66.82,110.01,82.36,82.53,70.68,65.03,64.25,51.91,31.73,29.15,31.1,40.59,32.56,30.43,35.72,39.28,30.18,31.07,31.04,32.43,30.83,28.43,24.11,27.62,22.66,12.65,21.47,12.44,22.37
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,127.57,95.55,106.11,86.0,104.49,77.01,84.17,83.24,115.38,125.41,116.01,101.19,101.1,83.27,81.36,80.95,70.86,64.14,62.04,72.3,74.63,66.82,110.01,82.36,82.53,70.68,65.03,64.25,51.91,31.73,29.15,31.1,40.59,32.56,30.43,35.72,39.28,30.18,31.07,31.04,32.43,30.83,28.43,24.11,27.62,22.66,12.65,21.47,12.44,22.37
Equity Share Capital,10.37,10.37,10.37,10.37,10.37,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,9.87,9.87,9.87,9.87,9.87,9.87,9.87
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,12.31,9.22,10.23,8.3,10.08,7.43,8.19,8.1,11.23,12.2,11.29,9.85,9.84,8.1,7.91,7.88,6.89,6.24,6.04,7.03,7.26,13.0,21.41,16.03,16.06,13.75,12.66,12.5,10.07,6.17,5.65,6.03,7.87,6.31,5.9,6.92,7.61,5.85,6.02,6.02,6.29,5.97,5.71,4.88,5.59,4.59,2.56,4.35,2.52,4.53
