Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2015-06-30,1274.1,54.2,1328.3,819.9,24.7,261.6,222.1,0.0,222.1,2.5,219.6,219.6,39.9,179.7,179.7,16.13,0.0,11.15,10.73
2015-09-30,1401.9,71.3,1473.2,873.0,25.8,311.0,263.4,0.0,263.4,1.6,261.8,261.8,42.8,219.0,219.0,16.1,0.0,13.58,12.94
2015-12-31,1416.7,-203.0,1213.7,825.6,26.3,336.0,25.8,234.9,260.7,0.3,260.4,260.4,47.8,212.6,212.6,16.98,0.0,12.52,0.0
2016-03-31,1475.8,77.5,1553.3,867.8,26.6,355.0,303.9,0.0,303.9,1.4,302.5,302.5,57.6,244.9,244.9,16.98,0.0,14.94,14.44
2016-06-30,1471.7,38.2,1509.9,874.7,25.1,320.9,289.2,0.0,289.2,0.4,288.8,288.8,60.2,228.6,228.6,16.98,0.0,13.46,13.43
2016-09-30,1524.6,44.8,1569.4,902.8,29.0,353.3,284.3,0.0,284.3,0.3,284.0,284.0,56.1,227.9,227.9,17.0,0.0,13.42,13.11
2016-12-31,1593.7,0.0,1593.7,930.0,29.9,392.0,241.8,61.4,303.2,1.1,302.1,302.1,66.2,235.9,235.9,17.1,0.0,13.85,13.54
2017-03-31,1592.9,0.0,1592.9,905.1,24.8,406.9,256.1,54.1,310.2,1.4,308.8,308.8,64.1,244.7,244.7,17.1,0.0,14.35,14.04
2017-06-30,1588.9,0.0,1588.9,952.0,23.3,391.1,222.5,139.7,362.2,0.0,362.2,362.2,77.5,284.7,284.7,17.1,0.0,16.69,16.3
2017-09-30,1656.2,0.0,1656.2,1036.7,24.0,366.1,229.4,137.1,366.5,3.6,362.9,362.9,75.9,287.0,287.0,17.1,0.0,16.78,16.42
2017-12-31,1778.2,0.0,1778.2,1050.1,23.7,446.6,257.8,92.5,350.3,3.0,347.3,347.3,80.0,267.3,267.3,17.18,0.0,15.58,15.27
2018-03-31,1883.1,0.0,1883.1,1096.0,20.3,519.7,247.1,152.6,399.7,3.7,396.0,396.0,74.9,321.1,321.1,17.2,0.0,18.68,18.32
