Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Sales/Income from operations,361.09,373.23,374.65,372.4,375.24,370.58,370.01,357.05,342.33,344.76,337.65,307.81,286.82,265.88,250.43,230.41,208.26,192.84,182.84,177.02,186.35,171.5,175.06,165.3
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,361.09,373.23,374.65,372.4,375.24,370.58,370.01,357.05,342.33,344.76,337.65,307.81,286.82,265.88,250.43,230.41,208.26,192.84,182.84,177.02,186.35,171.5,175.06,165.3
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,254.83,260.41,253.9,248.8,245.73,244.24,238.76,218.99,205.4,207.4,197.19,176.91,164.92,158.76,151.14,137.28,120.66,110.29,110.89,108.28,124.18,111.59,108.44,97.02
Depreciation,9.24,9.52,9.37,9.06,9.13,8.94,8.68,7.55,7.95,7.52,7.39,7.1,6.65,6.3,6.19,5.09,5.22,5.16,5.12,5.13,5.11,5.09,5.02,5.01
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,80.09,61.57,60.62,63.14,61.97,58.12,59.48,56.75,56.5,58.76,57.08,55.29,48.71,46.8,40.49,39.41,32.55,31.31,27.63,31.48,40.77,35.73,38.5,43.15
"P/L Before Other Inc. , Int., Excpt. Items & Tax",16.93,41.73,50.76,51.4,58.41,59.28,63.09,73.76,72.48,71.08,75.99,68.51,66.54,54.02,52.61,48.63,49.83,46.08,39.2,32.13,16.29,19.09,23.1,20.12
Other Income,92.99,22.02,26.41,26.15,25.47,49.59,22.27,13.93,8.71,8.18,4.11,4.12,10.42,8.43,9.59,9.27,3.01,8.45,5.07,9.17,3.82,4.06,5.45,2.65
"P/L Before Int., Excpt. Items & Tax",109.92,63.75,77.17,77.55,83.88,108.87,85.36,87.69,81.19,79.26,80.1,72.63,76.96,62.45,62.2,57.9,52.84,54.53,44.27,41.3,20.11,23.15,28.55,22.77
Interest,24.55,24.47,24.93,17.73,10.33,10.64,11.19,10.11,8.61,6.01,4.51,2.37,2.21,2.4,2.42,1.63,2.2,1.26,1.6,1.86,2.06,1.64,1.81,2.48
P/L Before Exceptional Items & Tax,85.37,39.28,52.24,59.82,73.55,98.23,74.17,77.58,72.58,73.25,75.59,70.26,74.75,60.05,59.78,56.27,50.64,53.27,42.67,39.44,18.05,21.51,26.74,20.29
Exceptional Items,-23.44,--,--,--,0.36,1.07,--,--,--,--,--,--,6.09,--,--,-6.09,--,--,--,--,-11.26,--,--,--
P/L Before Tax,61.93,39.28,52.24,59.82,73.91,99.3,74.17,77.58,72.58,73.25,75.59,70.26,80.84,60.05,59.78,50.18,50.64,53.27,42.67,39.44,6.79,21.51,26.74,20.29
Tax,4.17,10.58,13.98,15.98,19.98,19.47,19.64,20.14,21.32,15.98,20.28,17.72,18.63,15.27,15.3,15.17,13.72,11.12,8.59,-9.34,1.9,--,--,--
P/L After Tax from Ordinary Activities,57.76,28.7,38.26,43.84,53.93,79.83,54.53,57.44,51.26,57.27,55.31,52.54,62.21,44.78,44.48,35.01,36.92,42.15,34.08,48.78,4.89,21.51,26.74,20.29
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,57.76,28.7,38.26,43.84,53.93,79.83,54.53,57.44,51.26,57.27,55.31,52.54,62.21,44.78,44.48,35.01,36.92,42.15,34.08,48.78,4.89,21.51,26.74,20.29
Equity Share Capital,30.01,29.99,29.95,29.91,29.87,29.81,29.8,28.72,28.66,29.37,28.61,28.58,28.54,28.54,28.46,28.42,28.37,28.31,28.24,20.44,8.79,6.17,6.04,6.04
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,435.56,298.57,220.48,--,-26.04,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.84,1.91,2.54,2.91,3.59,5.32,3.66,3.98,3.56,4.0,3.86,3.69,4.38,3.14,3.12,2.46,2.61,2.98,2.51,4.77,1.11,6.97,8.85,6.72
Diluted EPS,3.84,1.91,2.54,2.91,3.59,5.3,3.64,3.96,3.54,3.96,3.81,3.62,4.28,3.09,3.06,2.4,2.54,2.89,2.42,3.62,--,1.61,2.01,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
