Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,2618.71,1762.41,731.1,1326.75,1006.12,1602.08,1465.66,1497.87,1634.18,1331.43,1298.07,1660.8,1576.22,1527.13,1472.36,1133.68,442.62,317.15,174.35,11542.22,11311.36,12923.36,11122.18,10924.07,8887.31,10224.82,12634.69,7714.91,7756.54,8165.58,10022.79,54270.06,11647.93,11642.39,11180.44,10406.74,9049.92,10709.46,8452.5,12421.27,9642.32,9155.91,6699.76,12230.47,5022.99,6440.57,5503.17,12338.16,7823.16,6745.48
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.66,--,--
Total Income From Operations,2618.71,1762.41,731.1,1326.75,1006.12,1602.08,1465.66,1497.87,1634.18,1331.43,1298.07,1660.8,1576.22,1527.13,1472.36,1133.68,442.62,317.15,174.35,11542.22,11311.36,12923.36,11122.18,10924.07,8887.31,10224.82,12634.69,7714.91,7756.54,8165.58,10022.79,54270.06,11647.93,11642.39,11180.44,10406.74,9049.92,10709.46,8452.5,12421.27,9642.32,9155.91,6699.76,12230.47,5022.99,6440.57,5503.17,12343.82,7823.16,6745.48
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2577.72,1757.32,713.14,1459.28,1022.17,1608.03,1369.79,1639.5,1602.49,1269.93,1204.87,1704.01,1529.9,1442.67,1441.34,1008.4,395.46,304.7,7.58,11681.05,11007.77,12827.49,10887.62,10768.82,8968.04,9740.74,11991.75,8252.65,7229.8,8122.78,9644.31,53916.32,11247.48,11469.03,11035.4,10205.38,8850.65,10366.69,8215.8,12120.54,9182.19,9174.15,6641.26,11650.38,4826.98,6240.82,5207.62,12165.67,7408.73,6883.78
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,11.44,-41.78,-22.34,5.73,-25.93,-22.17,35.84,-35.81,-29.82,19.44,61.01,-64.28,-10.06,31.88,-10.66,88.48,10.35,-13.21,154.38,-206.32,169.41,-36.06,118.32,5.07,-290.93,282.63,429.09,-796.09,358.12,-243.87,162.72,-214.14,187.4,-40.18,-25.31,-108.51,45.03,99.16,47.02,41.25,291.16,-205.22,-113.27,133.04,17.21,-33.5,127.25,-86.17,219.33,-336.92
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,0.77,0.51,0.37,0.31,0.41,0.67,1.08,0.99,1.05,1.01,1.03,1.06,1.04,1.0,1.15,0.46,1.49,1.57,1.44,1.73,1.76,1.59,1.02,2.3,1.76,0.99,1.82,1.73,1.72,1.93,1.8,38.22,2.01,2.2,1.99,1.94,1.43,-0.38,2.5,2.32,5.47,5.21,4.75,9.22,3.84,3.97,3.9,3.74,3.93,3.17
Depreciation,0.15,0.16,0.15,0.11,0.17,0.17,0.17,0.03,0.21,0.21,0.24,0.19,0.24,0.24,0.24,0.15,0.28,0.28,0.28,-0.06,0.4,0.4,0.4,0.06,0.45,0.45,0.45,0.14,0.45,0.45,0.45,17.5,0.45,0.45,0.45,0.45,0.48,0.48,0.45,0.36,0.52,0.52,0.51,14.78,0.54,0.55,0.54,0.53,0.51,0.51
