Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,1359.62,1381.77,1405.45,1378.87,1346.25,1283.45,1210.02,1133.3,1037.31,956.65,895.37,818.44,758.87,647.79,583.08,586.04,564.43,637.75,700.57,697.63,698.22,666.47,619.83,567.2,502.77,436.82
(b) Income on Investment,208.7,202.04,201.02,194.07,176.02,180.69,175.19,146.71,134.48,113.56,86.37,76.42,52.79,46.02,45.07,41.26,42.17,45.3,43.96,41.54,36.2,36.02,31.46,35.02,28.59,21.31
(c) Int. on balances With RBI,2.55,4.53,2.53,1.35,2.83,3.36,1.61,2.75,7.12,4.41,1.86,4.67,6.58,14.06,16.89,14.36,11.25,5.27,9.08,7.11,3.07,2.92,1.3,0.44,0.58,0.62
(d) Others,2.49,2.73,3.79,2.89,3.41,3.13,4.32,4.12,5.92,7.0,9.58,5.84,--,--,--,--,--,--,--,--,--,1.01,1.74,2.71,3.96,3.63
Other Income,269.69,172.17,207.25,197.09,236.13,184.76,188.64,177.22,179.06,138.92,146.65,95.05,102.56,90.82,46.89,74.63,117.29,100.43,64.4,28.7,72.16,74.89,75.03,100.13,66.33,48.49
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,709.05,704.33,669.02,635.72,594.97,610.7,567.8,494.23,446.82,384.67,329.94,305.66,274.26,254.01,253.68,257.26,249.73,256.04,283.47,288.27,270.85,279.89,266.36,252.91,216.19,182.02
Employees Cost,419.61,371.19,368.44,340.25,327.29,314.01,273.44,268.44,253.24,225.54,220.43,221.04,226.9,221.04,199.83,164.83,169.28,203.94,189.8,185.76,184.9,196.41,177.79,159.39,150.61,135.54
Other Expenses,354.63,328.55,321.78,288.78,323.82,273.38,255.18,243.54,253.26,221.41,204.48,202.66,202.41,182.31,167.4,131.66,157.47,124.99,112.57,86.26,163.3,161.0,143.82,131.96,150.85,120.45
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
