Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17
EQUITIES AND LIABILITIES,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,
Equity Share Capital,1935.0,1931.43,1954.71,1728.31,1928.31,1728.22,1440.04,1440.04,1440.04
Preference Share Capital,0.0,0.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0
Total Share Capital,1935.0,1931.43,2154.71,1928.31,1928.31,1928.22,1640.04,1640.04,1640.04
Reserves and Surplus,4058.77,3609.74,2003.18,832.12,1290.44,1238.08,179.59,6.9,0.04
Total Reserves and Surplus,4058.77,3609.74,2003.18,832.12,1290.44,1238.08,179.59,6.9,0.04
Employees Stock Options,89.64,72.32,51.22,42.2,0.0,21.42,0.0,0.0,0.0
Total ShareHolders Funds,6083.41,5613.49,4209.11,2802.63,3218.75,3187.73,1819.63,1646.93,1640.07
Deposits,37630.48,31462.16,25537.68,18292.22,13135.77,10780.48,7379.44,3772.52,206.41
Borrowings,2845.36,2170.82,2641.46,1763.56,3247.32,3953.27,4166.09,3852.85,6291.4
Other Liabilities and Provisions,1129.9,1175.75,928.62,746.05,778.62,489.76,377.05,200.88,297.71
Total Capital and Liabilities,47689.15,40422.22,33316.88,23604.46,20380.45,18411.23,13742.21,9473.18,8435.6
ASSETS,,,,,,,,,
Cash and Balances with Reserve Bank of India,3133.37,2518.31,2305.27,1682.25,1711.53,1224.87,446.46,249.63,260.93
Balances with Banks Money at Call and Short Notice,36.43,18.48,178.32,485.85,865.97,118.42,648.0,245.2,501.89
Investments,11729.99,9766.02,8510.31,4152.93,2516.45,2396.14,1526.62,1232.48,1446.68
Advances,31390.0,26882.92,21289.66,16303.17,14493.95,14043.64,10552.45,7336.21,5861.04
Fixed Assets,456.91,426.66,282.88,249.39,280.73,300.48,284.45,198.34,139.77
Other Assets,942.45,809.82,750.44,730.87,511.83,327.68,284.23,211.31,225.29
Total Assets,47689.15,40422.22,33316.88,23604.46,20380.45,18411.23,13742.21,9473.18,8435.6
OTHER ADDITIONAL INFORMATION,,,,,,,,,
Number of Branches,0.0,752.0,629.0,575.0,0.0,575.0,474.0,187.0,457.0
Number of Employees,0.0,22566.0,17870.0,16895.0,0.0,17841.0,14752.0,11242.0,10167.0
Capital Adequacy Ratios (%),0.0,24.69,25.81,18.99,0.0,28.81,18.94,23.04,18.24
KEY PERFORMANCE INDICATORS,,,,,,,,,
Tier 1 (%),0.0,22.58,22.68,17.7,0.0,28.01,18.39,22.32,16.83
Tier 2 (%),0.0,2.11,3.13,1.29,0.0,0.8,0.55,0.72,1.41
ASSETS QUALITY,,,,,,,,,
Gross NPA,695.89,612.52,630.61,1284.08,1070.6,137.14,97.85,275.92,16.4
Gross NPA (%),2.18,2.1,2.6,7.34,7.0,1.0,1.0,4.0,0.0
Net NPA,152.43,76.29,9.04,99.6,424.58,27.49,27.55,224.99,14.6
Net NPA (%),0.49,0.3,0.04,0.61,2.93,0.2,0.26,0.0,0.0
Net NPA To Advances (%),1.67,0.3,0.04,0.61,0.0,0.0,0.0,1.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,
Contingent Liabilities,0.0,144.91,95.0,137.23,0.0,20.73,30.9,19.51,28.34
Revaluation Reserve,,,,,,,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,0.0,0.0,0.0
Equity Share Application Money,,,,,,,0.0,0.0,0.0
Preference Share Application Money,,,,,,,0.0,0.0,0.0
Share Capital Suspense,,,,,,,0.0,0.0,0.0
Bills for Collection,,,,,,,0.0,0.0,0.0
