Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,1801.0,2497.11,2810.14,1540.97,1305.32,538.58,359.21,167.11,284.39,253.29,205.77,125.63,125.5,107.04,172.53,144.07,201.16,134.71,109.89,78.73,54.56,85.32,85.76,160.56,271.91,181.1,205.61,235.41,98.25,228.98,216.1,200.1,209.18,266.94,208.64,136.24
Other Operating Income,100.51,144.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.04,--,--,--
Total Income From Operations,1901.51,2642.05,2810.14,1540.97,1305.32,538.58,359.21,167.11,284.39,253.29,205.77,125.63,125.5,107.04,172.53,144.07,201.16,134.71,109.89,78.73,54.56,85.32,85.76,160.56,271.91,181.1,205.61,235.41,98.25,228.98,216.1,200.1,213.22,266.94,208.64,136.24
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1311.28,2015.28,2001.65,1096.79,778.08,437.99,261.64,117.08,189.72,160.5,112.3,67.4,70.86,68.37,92.6,73.81,100.19,74.4,58.97,35.18,31.56,42.98,35.22,93.82,145.5,95.36,111.22,111.62,42.92,114.22,116.77,108.39,140.97,162.21,137.39,74.82
Purchase of Traded Goods,12.94,9.44,40.09,31.68,3.59,--,2.33,4.4,5.99,9.82,7.08,8.93,5.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,142.54,-68.65,-71.06,-5.64,19.01,-18.54,-14.01,-4.74,1.43,-2.55,-1.0,0.28,-0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,106.98,116.13,118.42,85.43,94.61,72.46,61.09,59.28,50.81,44.8,39.4,37.17,37.39,29.65,30.45,27.02,33.92,26.11,24.61,24.93,33.15,23.79,21.38,24.9,32.08,26.13,28.35,31.04,19.12,24.68,22.8,22.05,13.65,20.25,22.76,16.64
Depreciation,103.17,111.27,73.8,60.09,53.2,42.76,36.26,29.01,29.75,28.13,23.88,23.37,21.89,20.22,18.28,16.39,14.44,12.06,11.84,13.78,20.89,20.33,18.24,17.59,17.45,16.19,15.04,17.2,11.83,15.29,17.29,16.86,15.88,12.74,13.18,14.62
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,196.53,198.57,186.64,107.22,102.65,61.66,44.73,31.17,32.64,19.72,22.91,19.27,101.3,37.12,31.29,25.73,37.23,20.6,17.06,18.13,108.26,18.35,21.73,17.76,41.77,24.05,20.98,30.34,26.67,37.16,29.57,24.94,41.75,27.25,21.89,20.67
"P/L Before Other Inc. , Int., Excpt. Items & Tax",28.07,260.01,460.6,165.4,254.18,-57.75,-32.83,-69.09,-25.95,-7.13,1.2,-30.79,-111.08,-48.32,-0.09,1.12,15.38,1.54,-2.59,-13.29,-139.3,-20.13,-10.81,6.49,35.11,19.37,30.02,45.21,-2.29,37.63,29.67,27.86,41.27,44.49,13.42,9.49
Other Income,8.04,13.76,10.6,12.62,11.82,14.97,18.03,19.5,21.33,19.74,19.38,18.69,14.39,16.39,4.09,8.38,3.85,8.55,8.09,4.32,13.59,6.18,6.89,7.05,6.97,9.15,10.8,9.72,9.38,6.84,6.46,4.54,1.25,1.87,2.68,1.35
"P/L Before Int., Excpt. Items & Tax",36.11,273.77,471.2,178.02,266.0,-42.78,-14.8,-49.59,-4.62,12.61,20.58,-12.1,-96.69,-31.93,4.0,9.5,19.23,10.09,5.5,-8.97,-125.71,-13.95,-3.92,13.54,42.08,28.52,40.82,54.93,7.09,44.47,36.13,32.4,42.51,46.36,16.1,10.84
Interest,71.41,62.71,59.92,53.42,24.86,4.95,3.8,1.47,1.44,1.43,1.45,0.88,0.22,0.73,0.85,1.23,0.83,0.85,0.99,0.91,1.03,0.66,2.47,3.41,5.03,4.78,3.9,3.17,1.62,3.51,1.49,6.83,7.51,6.37,4.77,12.21
P/L Before Exceptional Items & Tax,-35.3,211.06,411.28,124.6,241.14,-47.73,-18.6,-51.06,-6.06,11.18,19.13,-12.98,-96.91,-32.66,3.15,8.27,18.4,9.24,4.51,-9.88,-126.74,-14.61,-6.39,10.13,37.05,23.74,36.92,51.76,5.47,40.96,34.64,25.57,35.0,39.99,11.33,-1.37
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,-30.47,--,--
