Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,124.84,124.84,342.55,342.55,0.0,467.39,0.0,16.04,0.0,0.4,0.08,16.52,6.0,0.0,8.71,0.02,14.73,498.64,35.66,0.0,122.67,0.0,158.33,226.66,0.0,72.62,0.01,457.62,0.0,0.0,0.91,28.29,11.72,0.1,41.02,498.64,138.1,0.0,0.0,124.72,226.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,374.53,374.53,103.34,103.34,0.0,477.87,0.0,228.37,0.0,1.63,0.19,230.18,37.37,0.22,22.18,0.04,59.82,767.87,36.55,0.02,286.52,0.0,323.08,266.28,0.0,92.29,0.78,682.43,0.0,0.35,1.81,52.98,12.0,18.3,85.44,767.87,226.48,0.0,0.0,252.77,266.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,388.64,495.98,208.6,208.6,0.0,704.58,0.0,224.88,15.9,76.91,1.27,318.96,2.14,7.08,72.35,0.01,81.59,1105.12,464.62,4.29,100.07,0.0,568.98,314.96,2.66,0.0,64.57,951.17,2.51,7.42,5.97,81.02,34.91,22.12,153.95,1105.12,137.78,0.0,0.0,252.77,314.96,2.51,107.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,403.05,1918.28,534.97,534.97,0.0,2453.25,0.0,386.25,15.9,30.14,1.89,434.18,9.9,13.63,109.22,0.34,133.08,3020.52,540.95,5.63,130.49,0.0,677.07,1999.02,4.95,0.0,105.14,2786.18,37.74,15.52,14.3,98.4,41.48,26.9,234.33,3020.52,228.54,0.0,0.0,252.77,1999.02,37.74,1515.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,403.22,403.22,1924.86,1924.86,0.0,2328.08,0.0,547.06,15.9,130.54,3.4,696.9,97.27,32.03,69.77,0.63,199.7,3224.67,710.27,4.07,62.96,0.0,777.31,2137.49,0.74,0.0,107.67,3023.2,0.0,20.69,24.45,19.03,56.3,81.01,201.47,3224.67,264.91,0.0,0.0,252.77,2137.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,505.23,505.23,2420.74,2420.74,0.0,2925.97,0.0,26.62,15.9,143.6,5.86,191.98,83.26,23.2,68.37,1.0,175.82,3293.77,769.98,2.35,17.36,0.0,789.68,2085.86,0.74,38.73,80.41,2995.41,0.0,16.94,30.53,163.36,63.84,23.69,298.35,3293.77,251.28,9.39,26.58,252.77,2085.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,505.23,505.23,2086.89,2086.89,13.78,2605.9,374.38,18.51,16.35,159.92,3.44,198.22,105.22,25.64,65.17,2.29,198.32,3376.82,751.47,1.79,69.54,0.0,822.8,2095.48,0.74,42.38,82.46,3043.86,0.0,15.44,35.22,99.81,113.33,69.16,332.96,3376.82,120.72,22.92,139.51,252.77,2095.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,499.52,499.52,2045.94,2045.94,10.76,2556.22,374.38,42.71,16.35,295.31,5.44,359.81,97.5,48.65,114.96,1.48,262.59,3553.0,1012.58,3.25,20.15,0.0,1035.98,2150.42,0.74,119.86,72.91,3379.91,0.0,23.75,44.78,33.39,11.11,60.06,173.09,3553.0,248.0,54.29,126.86,249.91,2150.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,497.04,497.04,2367.07,2367.07,0.0,2864.11,0.0,115.08,16.35,258.55,6.72,396.7,38.71,137.31,150.8,0.99,327.81,3588.62,1005.64,3.26,9.31,1.59,1019.8,2150.65,0.0,138.49,81.43,3390.37,0.0,19.53,42.92,17.59,44.94,73.27,198.25,3588.62,323.87,13.34,13.48,248.66,2150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,497.22,497.22,2457.99,2457.99,0.0,2955.21,0.0,105.05,16.35,335.15,7.4,463.95,92.76,129.82,119.03,1.23,342.84,3762.0,1011.11,2.15,22.91,0.0,1036.17,2166.03,0.0,209.39,150.63,3562.22,0.0,23.63,61.55,25.02,0.0,89.58,199.78,3762.0,397.24,4.58,80.68,248.66,2166.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
