Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Long Term Provisions,Deferred Tax Assets [Net],Long Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Raw Materials,Trade/Other Goods
2004-03-31,160.1,160.1,-110.19,-110.19,49.9,0.0,0.0,375.71,0.0,44.83,7.28,52.11,477.72,408.04,0.0,17.13,0.0,425.17,0.0,0.0,425.17,1.13,0.77,3.35,47.3,0.0,52.55,477.72,23.66,0.56,31.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,483.44,483.44,1307.35,1307.35,1790.79,0.0,14.07,38.34,68.98,75.72,16.69,161.39,1990.52,1337.23,2.09,65.26,0.0,1404.58,83.0,2.82,1668.49,13.49,35.6,243.91,21.93,7.11,322.03,1990.52,529.19,29.69,0.0,83.0,24.28,0.0,178.09,5.62,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,483.44,483.44,1432.93,1432.93,1916.37,127.41,13.5,165.1,14.15,154.02,128.02,296.19,2377.65,1338.67,0.66,391.53,0.0,1730.87,83.0,2.84,2027.45,12.89,29.35,289.8,13.06,5.1,350.21,2377.65,529.13,15.09,0.0,83.0,24.19,0.0,210.74,5.38,156.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,483.44,483.44,1536.06,1536.06,2019.5,0.0,88.03,88.03,25.64,180.8,36.62,243.05,2350.57,1675.33,0.86,92.22,0.0,1768.41,83.0,51.05,1944.07,15.56,28.57,352.25,0.24,9.89,406.51,2350.57,606.34,0.0,0.0,83.0,0.0,41.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,483.44,483.44,1530.62,1530.62,2014.06,0.34,78.45,78.79,28.46,152.66,36.5,217.63,2310.48,1684.79,1.49,32.32,0.0,1718.6,83.0,21.35,1822.95,13.62,25.76,431.55,0.22,16.39,487.53,2310.48,530.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,483.44,483.44,1537.57,1537.57,2021.01,46.22,71.71,117.93,32.55,161.27,36.5,230.32,2369.27,1589.14,0.91,45.38,0.0,1635.44,83.0,19.11,1737.56,8.43,50.97,533.71,0.48,38.12,631.71,2369.27,565.78,33.69,238.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,483.44,483.44,1601.41,1601.41,2084.85,49.4,105.83,155.23,29.84,134.99,20.8,185.63,2425.71,1582.14,0.4,5.7,0.0,1588.23,83.0,37.7,1708.93,7.61,45.91,649.51,0.48,13.28,716.78,2425.71,472.97,21.74,262.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,483.44,483.44,1548.76,1548.76,2032.2,100.67,87.53,188.2,33.95,166.88,20.8,221.62,2442.02,1465.19,2.07,52.78,0.0,1520.03,83.0,42.39,1645.42,10.49,44.12,725.37,0.49,16.13,796.6,2442.02,498.02,22.09,227.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,483.44,483.44,1548.98,1548.98,2032.42,145.08,91.27,236.35,44.46,187.7,20.8,252.96,2521.74,1406.9,1.32,49.03,0.0,1457.25,83.0,43.31,1583.55,10.18,52.0,855.78,0.63,19.59,938.18,2521.74,488.43,18.08,203.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,483.44,483.44,1594.88,1594.88,2078.32,140.69,128.23,268.92,65.94,202.87,20.8,289.61,2636.85,1362.27,0.88,90.19,4.36,1457.71,83.0,43.36,1584.07,7.6,85.62,894.79,0.47,64.3,1052.78,2636.85,519.43,31.9,222.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
