Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,10752.4,10752.4,10752.4,10752.4,10752.4,10380.59,7736.29,3083.86,2058.82,2058.82,1603.96,1603.94,1332.75,1278.38,984.57
Total Share Capital,10752.4,10752.4,10752.4,10752.4,10752.4,10380.59,7736.29,3083.86,2058.82,2058.82,1603.96,1603.94,1332.75,1278.38,984.57
Revaluation Reserve,0.0,0.0,0.0,0.0,6281.45,6503.37,6727.69,5053.88,5417.75,5607.83,1662.85,1712.84,1762.78,1853.93,1895.77
Reserves and Surplus,49498.61,39129.46,34566.08,30909.58,19777.22,17140.41,23147.71,13071.98,15087.09,20055.15,21050.11,20322.08,18139.73,16294.75,11686.25
Total Reserves and Surplus,49498.61,39129.46,34566.08,30909.58,26058.67,23643.77,29875.4,18125.87,20504.83,25662.97,22712.96,22034.92,19902.51,18148.68,13582.02
Total ShareHolders Funds,60251.01,49881.86,45318.48,41661.98,36811.07,34024.37,37611.7,21209.73,22563.65,27721.79,24317.1,23639.3,21236.02,19427.92,14567.58
Deposits,310293.55,277657.22,255498.94,233134.42,230898.41,222424.13,227371.72,247931.61,268538.1,265719.83,259835.97,235773.63,227116.47,210492.56,180485.79
Borrowings,19882.28,17082.7,12637.75,14344.98,15908.05,36748.86,45287.72,63185.53,56363.98,69573.94,61832.98,60146.29,65808.87,53477.64,51569.65
Other Liabilities and Provisions,21234.47,18568.69,17047.0,12277.98,14146.55,6745.02,10013.35,17986.77,14302.18,11356.57,10044.51,9437.4,8607.14,6918.22,6753.77
Total Capital and Liabilities,411661.31,363190.47,330502.17,301419.36,297764.08,299942.37,320284.49,350313.64,361767.9,374372.13,356030.57,328996.63,322768.51,290316.33,253376.79
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,21294.15,13990.96,16639.18,13593.36,13012.8,10538.83,12730.47,13163.69,13346.92,13822.91,13035.77,12711.11,10543.95,15090.21,19559.05
Balances with Banks Money at Call and Short Notice,23122.03,11941.93,12646.59,13117.22,22209.39,19891.57,8503.23,20522.4,19337.16,2757.63,1489.99,4106.8,7380.57,2967.44,1207.03
Investments,117467.53,114934.24,99689.74,82988.21,81022.56,81780.42,93072.63,91606.06,92934.41,98999.43,120963.21,103773.5,98800.93,83175.36,68269.18
Advances,218399.16,188620.61,162567.73,145771.84,128149.94,129841.79,146790.44,171739.95,190825.93,215893.45,208376.87,197686.0,196306.45,180572.3,157098.07
Fixed Assets,12181.14,9519.92,9756.87,9936.91,7827.42,8129.18,8230.99,6770.98,7348.78,7447.32,3060.5,2983.21,2925.29,3018.81,3037.34
Other Assets,19197.3,24182.81,29202.06,36011.82,45541.97,49760.58,50956.74,46510.56,37974.7,35451.39,9104.24,7736.01,6811.32,5492.21,4206.13
Total Assets,411661.31,363190.47,330502.17,301419.36,297764.08,299942.37,320284.49,350313.64,361767.9,374372.13,356030.57,328996.63,322768.51,290316.33,253376.79
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,1884.0,1892.0,1892.0,1916.0,1896.0,1846.0,1717.0,1388.0,1076.0,972.0,815.0
Number of Employees,0.0,0.0,0.0,0.0,17319.0,17723.0,17117.0,17475.0,18187.0,17570.0,16555.0,16438.0,15465.0,15435.0,13598.0
Capital Adequacy Ratios (%),25.05,22.26,20.44,19.06,15.59,13.31,11.58,10.41,10.7,11.67,11.76,11.68,13.13,14.58,13.64
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,13.06,10.57,9.13,7.73,7.81,8.89,8.18,7.79,7.68,8.38,8.03
Tier 2 (%),0.0,0.0,0.0,0.0,2.53,2.74,2.45,2.68,2.89,2.78,3.58,3.89,5.45,6.2,5.61
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,6695.15,8916.84,10969.29,34114.83,36211.95,47272.37,50027.94,55588.25,44752.59,24875.07,12684.97,9960.16,6449.98,4551.37,2784.73
Gross NPA (%),2.98,4.53,6.0,19.0,22.0,28.0,27.0,28.0,21.0,11.0,6.0,5.0,3.0,2.0,2.0
Net NPA,337.34,643.83,1494.74,1856.16,2519.38,5439.49,14837.44,28665.14,25205.8,14643.39,5992.52,4902.3,3100.36,2910.93,1677.91
Net NPA (%),0.15,0.34,0.92,1.27,1.97,4.19,10.11,16.69,13.21,6.78,2.88,2.48,1.58,1.61,1.06
Net NPA To Advances (%),1.98,1.65,1.0,1.0,2.0,4.0,10.0,17.0,13.0,7.0,3.0,2.0,2.0,2.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,9648.34,9870.73,9634.77,9300.58,15948.82,41008.74,43283.0,35650.95,33184.86,31232.3,29995.93
Contingent Liabilities,0.0,0.0,0.0,0.0,220709.69,117113.22,140854.29,0.0,0.0,212856.92,246073.24,196540.68,187819.01,154197.43,138274.78
Employees Stock Options,,,,,,,,,,,0.19,0.45,0.77,0.85,0.99
