Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,1406.63,1380.38,1453.29,1512.03,1457.49,1292.2,1246.94,1170.03,1065.41,758.85,671.43,620.76,693.66,575.71,509.91,510.11,607.1,439.68,470.67,510.1,460.92,452.04,391.53,375.8,335.53,349.19,302.27,284.0,249.92,227.76,211.99,177.01
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.15,1.76,--,--,1.86,0.67
Total Income From Operations,1406.63,1380.38,1453.29,1512.03,1457.49,1292.2,1246.94,1170.03,1065.41,758.85,671.43,620.76,693.66,575.71,509.91,510.11,607.1,439.68,470.67,510.1,460.92,452.04,391.53,375.8,335.53,349.19,309.42,285.76,249.92,227.76,213.85,177.68
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,175.36,178.37,188.83,187.79,194.64,156.71,161.76,156.32,134.52,104.77,105.87,99.16,91.5,91.52,90.42,80.05,76.24,74.19,72.46,76.71,68.17,67.44,65.41,58.64,49.97,48.99,46.58,40.51,38.68,31.29,31.39,29.21
Depreciation,15.16,15.53,17.19,14.35,13.75,13.06,12.28,12.06,12.49,7.8,7.92,6.84,7.34,6.31,6.48,6.08,6.56,5.3,6.11,5.48,5.07,5.09,6.21,3.27,2.05,2.02,2.13,1.6,1.52,1.48,1.17,1.0
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,582.91,751.86,420.15,174.59,153.32,126.2,95.85,76.4,105.32,59.28,77.95,66.34,128.29,73.77,91.12,156.26,200.24,242.38,65.32,138.97,140.68,--,--,--,--,--,--,--,--,--,--,--
