Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,97.87,87.82,82.49,78.95,77.03,73.82,71.77,68.9,69.6,68.46,64.99,60.91,66.71,58.67,45.09,36.29,43.25,40.55
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,97.87,87.82,82.49,78.95,77.03,73.82,71.77,68.9,69.6,68.46,64.99,60.91,66.71,58.67,45.09,36.29,43.25,40.55
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,45.37,49.38,45.42,44.33,41.05,42.25,38.77,37.64,35.75,34.85,32.7,31.08,29.81,28.67,24.0,20.17,16.61,16.31
Depreciation,2.62,2.28,2.49,2.4,2.09,2.14,1.95,1.91,1.84,1.91,1.87,1.8,1.95,1.91,1.66,1.52,1.52,1.5
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,57.69,16.67,8.29,8.96,8.41,9.04,8.79,9.72,7.95,6.47,7.06,5.71,4.24,5.44,5.66,3.56,3.67,2.65
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-7.81,19.5,26.29,23.26,25.48,20.4,22.26,19.63,24.07,25.22,23.36,22.32,30.72,22.65,13.78,11.04,21.46,20.09
Other Income,18.2,12.56,20.94,16.29,14.69,21.74,15.39,17.39,14.97,22.52,9.36,10.37,7.92,5.25,4.1,3.98,4.43,4.03
"P/L Before Int., Excpt. Items & Tax",10.38,32.06,47.23,39.55,40.17,42.14,37.65,37.02,39.04,47.74,32.72,32.68,38.64,27.9,17.87,15.01,25.89,24.12
Interest,0.47,0.49,0.59,0.65,0.72,0.75,0.77,0.79,0.66,0.69,0.63,0.64,1.17,0.56,0.58,0.59,0.64,0.63
P/L Before Exceptional Items & Tax,9.92,31.57,46.65,38.91,39.45,41.39,36.88,36.23,38.38,47.05,32.09,32.05,37.47,27.34,17.3,14.42,25.25,23.5
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,9.92,31.57,46.65,38.91,39.45,41.39,36.88,36.23,38.38,47.05,32.09,32.05,37.47,27.34,17.3,14.42,25.25,23.5
Tax,10.49,9.53,13.4,11.04,10.22,10.03,10.58,9.85,8.67,9.69,6.29,7.69,8.42,5.73,3.59,2.89,4.94,4.59
P/L After Tax from Ordinary Activities,-0.57,22.04,33.25,27.87,29.23,31.35,26.3,26.38,29.71,37.36,25.8,24.36,29.05,21.61,13.7,11.53,20.32,18.91
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-0.57,22.04,33.25,27.87,29.23,31.35,26.3,26.38,29.71,37.36,25.8,24.36,29.05,21.61,13.7,11.53,20.32,18.91
Equity Share Capital,20.65,20.65,20.6,20.6,20.59,20.59,20.49,20.49,20.49,20.31,20.04,20.04,20.04,19.78,17.37,20.04,0.81,0.81
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,-0.03,1.07,1.61,1.35,1.42,1.53,1.28,1.29,1.46,1.85,1.29,1.22,1.46,1.17,0.79,0.58,24.96,23.31
Diluted EPS,-0.03,1.06,1.6,1.34,1.41,1.52,1.27,1.27,1.44,1.82,1.25,1.18,1.41,1.11,0.76,--,1.13,1.04
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
