Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,484.34,433.74,360.91,347.58,410.94,370.75,306.68,303.18,323.94,276.16,235.08,239.42,140.05,154.47,121.36,67.19,92.27,81.25,58.19,52.62,222.74,278.14,235.37,240.27,269.87,247.44,234.53,235.33
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,484.34,433.74,360.91,347.58,410.94,370.75,306.68,303.18,323.94,276.16,235.08,239.42,140.05,154.47,121.36,67.19,92.27,81.25,58.19,52.62,222.74,278.14,235.37,240.27,269.87,247.44,234.53,235.33
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,22.38,--,--,18.93,--,5.23,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,8.96,--,--,8.21,--,2.77,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.87,--,--,--,--,-0.93,0.77,-0.53,3.03,2.98,0.82,12.23,7.94
Power & Fuel,19.49,17.42,18.76,20.93,16.17,16.79,17.65,18.76,--,--,--,--,--,--,6.59,--,8.85,8.85,6.32,7.19,13.96,16.11,--,--,--,--,--,--
Employees Cost,61.31,53.12,49.75,50.96,49.67,48.06,46.74,45.55,39.34,37.59,35.18,31.62,25.89,24.49,22.12,21.62,22.43,20.48,19.84,22.99,37.17,36.12,36.7,40.8,37.68,35.14,39.3,32.69
Depreciation,41.28,42.68,38.05,35.14,35.04,35.15,34.82,30.8,27.76,25.98,27.5,27.63,28.18,26.05,28.01,26.86,26.19,27.03,27.28,27.14,26.54,28.3,28.38,28.15,29.54,28.95,27.73,29.2
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,170.0,165.32,147.95,142.46,170.45,139.71,119.39,132.18,134.15,128.62,86.57,110.36,83.76,64.24,58.27,45.15,56.53,40.98,31.31,25.72,130.35,112.78,117.58,116.87,131.45,97.88,151.35,117.59
"P/L Before Other Inc. , Int., Excpt. Items & Tax",192.26,155.19,106.4,98.1,139.61,131.05,88.09,75.9,122.7,83.96,54.5,69.81,2.22,12.56,6.38,-33.58,-21.72,-16.09,-26.56,-30.42,15.66,84.06,53.25,51.42,68.21,84.66,3.93,47.92
Other Income,20.49,12.0,10.8,11.87,10.11,7.64,4.69,4.67,8.58,32.05,2.18,6.67,5.16,1.2,8.91,5.47,3.88,5.94,4.87,6.02,9.63,6.59,5.08,5.94,7.21,8.06,18.07,10.26
"P/L Before Int., Excpt. Items & Tax",212.75,167.19,117.2,109.96,149.72,138.68,92.78,80.56,131.28,116.01,56.68,76.48,7.38,13.75,15.29,-28.11,-17.84,-10.15,-21.69,-24.41,25.29,90.65,58.33,57.35,75.42,92.72,22.0,58.18
Interest,42.63,39.88,28.35,26.26,50.7,47.62,49.76,45.19,40.37,36.54,37.85,38.01,34.62,32.59,38.05,34.69,33.89,35.77,37.37,37.97,38.3,33.86,36.85,35.6,56.0,69.61,53.98,85.57
P/L Before Exceptional Items & Tax,170.12,127.31,88.85,83.7,99.02,91.06,43.02,35.38,90.91,79.47,18.83,38.47,-27.24,-18.84,-22.76,-62.79,-51.73,-45.92,-59.06,-62.38,-13.01,56.78,21.48,21.75,19.42,23.11,-31.98,-27.38
Exceptional Items,--,--,--,--,--,--,--,--,-18.44,60.5,1.26,-1.01,-1.01,-0.9,-1.51,-1.04,-1.02,-1.06,-1.06,-1.04,-0.45,-1.19,-1.38,-1.14,-1.55,0.15,-1.34,-1.36
P/L Before Tax,170.12,127.31,88.85,83.7,99.02,91.06,43.02,35.38,72.47,139.97,20.09,37.46,-28.25,-19.74,-24.27,-63.83,-52.75,-46.98,-60.12,-63.42,-13.46,55.59,20.1,20.61,17.87,23.27,-33.32,-28.74
Tax,36.68,25.4,219.32,17.01,17.19,17.87,7.42,-52.28,32.24,38.72,5.56,10.37,-18.49,-12.01,-14.03,-27.51,-33.81,-20.04,-24.37,-31.1,-37.29,22.21,9.74,6.58,3.94,8.5,-16.13,-7.04
P/L After Tax from Ordinary Activities,133.43,101.92,-130.46,66.68,81.84,73.19,35.6,87.66,40.23,101.25,14.53,27.09,-9.76,-7.73,-10.24,-36.32,-18.94,-26.94,-35.75,-32.31,23.83,33.39,10.36,14.03,13.93,14.77,-17.2,-21.7
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,-5.29,-0.69,-0.28,-1.3,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,133.43,101.92,-130.46,66.68,81.84,73.19,35.6,87.66,40.23,101.25,14.53,27.09,-9.76,-13.02,-10.93,-36.6,-20.24,-26.94,-35.75,-32.31,23.83,33.39,10.36,14.03,13.93,14.77,-17.2,-21.7
Equity Share Capital,218.46,218.43,218.25,218.1,205.47,205.4,205.4,205.03,205.03,205.03,205.03,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02,171.1,171.1,171.1
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,6.12,4.67,-5.98,3.06,3.98,3.56,1.74,4.28,1.96,4.94,0.71,1.32,-0.48,-0.64,-0.5,-1.78,-0.99,-1.31,-1.74,-1.58,1.16,1.63,0.51,0.68,0.73,0.86,-1.01,-1.27
Diluted EPS,6.11,4.66,-5.98,3.06,3.98,3.56,1.73,4.27,1.96,4.94,0.71,1.32,-0.48,-0.64,-0.5,-1.78,-0.99,-1.31,-1.74,-1.58,1.16,1.63,0.51,0.68,0.73,0.86,-1.01,-1.27
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
