Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,1893.08,1667.52,1620.04,1503.62,1339.77,1236.16,1164.36,1130.87,1002.67,861.78,791.34,767.81
Other Operating Income,11.07,30.93,9.53,6.65,51.48,16.69,12.26,12.34,33.37,6.89,--,18.13
Total Income From Operations,1904.15,1698.45,1629.57,1510.28,1391.25,1252.85,1176.63,1143.21,1036.04,868.67,791.34,785.93
EXPENDITURE,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,20.83,19.52,20.86,19.84,19.05,19.33,21.02,11.93,16.3,16.69,14.99,15.12
Depreciation,10.73,10.02,9.43,8.63,9.11,8.21,7.13,5.89,5.97,6.05,5.74,5.73
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,129.44,103.97,33.85,-30.04,9.45,37.71,-16.94,-97.44,49.92,49.51,-13.51,-19.34
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,20.03,-4.93,76.16,61.61,27.12,41.84,-7.31,19.84,38.13,38.44,9.87,15.74
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1723.12,1569.87,1489.27,1450.23,1326.52,1145.76,1172.72,1202.98,925.71,757.97,774.26,768.68
Other Income,10.58,0.53,0.81,0.43,0.39,0.34,0.33,0.29,0.28,0.31,0.22,0.25
"P/L Before Int., Excpt. Items & Tax",1733.7,1570.4,1490.09,1450.66,1326.91,1146.1,1173.06,1203.28,925.99,758.28,774.48,768.93
Interest,1103.72,1032.2,1030.18,974.93,847.24,759.97,793.16,763.74,637.61,523.58,498.17,429.07
P/L Before Exceptional Items & Tax,629.98,538.2,459.91,475.74,479.67,386.14,379.9,439.54,288.38,234.7,276.31,339.86
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,629.98,538.2,459.91,475.74,479.67,386.14,379.9,439.54,288.38,234.7,276.31,339.86
Tax,128.19,112.82,72.16,92.04,142.29,50.6,95.16,144.96,34.76,33.96,92.01,113.89
P/L After Tax from Ordinary Activities,501.79,425.38,387.75,383.69,337.38,335.54,284.73,294.58,253.62,200.75,184.3,225.96
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,501.79,425.38,387.75,383.69,337.38,335.54,284.73,294.58,253.62,200.75,184.3,225.96
Equity Share Capital,2687.76,2687.76,2687.76,2687.76,2687.76,2687.76,2284.6,2687.76,2284.6,2284.6,2284.6,2284.6
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,1.87,1.58,1.44,1.43,1.25,1.38,1.25,1.1,1.11,0.88,0.81,0.99
Diluted EPS,1.87,1.58,1.44,1.43,1.25,1.38,1.25,--,1.11,0.88,0.81,--
EPS After Extra Ordinary,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,
Notes,,,,,,,,,,,,
