Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,151.53,137.37,382.77,133.89,140.51,134.08,148.9,214.57,17.75,34.96,2.95,35.66
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,151.53,137.37,382.77,133.89,140.51,134.08,148.9,214.57,17.75,34.96,2.95,35.66
EXPENDITURE,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,17.89,18.79,30.69,16.04,12.64,14.42,11.78,3.89,--,--,--,--
Depreciation,3.06,3.11,3.12,3.07,3.06,3.09,3.1,3.06,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,0.57,5.53,-5.28,5.83,--,--,--,--,--,--,--,-10.06
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,26.94,19.62,25.84,11.07,20.8,18.83,10.46,1.66,1.02,4.1,0.2,49.92
"P/L Before Other Inc. , Int., Excpt. Items & Tax",103.07,90.32,328.4,97.88,104.01,97.74,123.56,205.96,16.73,30.86,2.75,-4.2
Other Income,22.95,10.43,0.34,--,--,--,--,--,3.21,--,--,--
"P/L Before Int., Excpt. Items & Tax",126.02,100.75,328.74,97.88,104.01,97.74,123.56,205.96,19.94,30.86,2.75,-4.2
Interest,--,--,--,--,--,--,--,10.27,--,--,--,--
P/L Before Exceptional Items & Tax,126.02,100.75,328.74,97.88,104.01,97.74,123.56,195.69,19.94,30.86,2.75,-4.2
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,126.02,100.75,328.74,97.88,104.01,97.74,123.56,195.69,19.94,30.86,2.75,-4.2
Tax,28.88,25.57,23.91,26.12,26.25,27.26,34.8,50.22,-3.09,22.82,0.72,-2.36
P/L After Tax from Ordinary Activities,97.14,75.18,304.83,71.76,77.76,70.48,88.76,145.47,23.03,8.04,2.03,-1.84
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,97.14,75.18,304.83,71.76,77.76,70.48,88.76,145.47,23.03,8.04,2.03,-1.84
Equity Share Capital,6353.14,6353.14,6353.28,6353.28,6353.28,6353.28,6353.28,2.02,2.02,2.02,2.02,2.02
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,0.15,0.12,0.48,0.11,0.12,0.11,0.14,281.46,44.55,15.55,3.92,-9.11
Diluted EPS,0.15,0.12,0.48,0.11,0.12,0.11,0.14,0.23,44.55,15.55,3.92,--
EPS After Extra Ordinary,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,
Notes,,,,,,,,,,,,
