Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,765.22,759.69,557.97,554.55,551.28,548.33,544.66,519.02,512.51,505.64,501.3,479.81,475.88,469.34,465.23
Total Share Capital,765.22,759.69,557.97,554.55,551.28,548.33,544.66,519.02,512.51,505.64,501.3,479.81,475.88,469.34,465.23
Reserves and Surplus,496854.21,436833.39,279641.03,239538.38,203169.55,170437.69,148661.66,105775.98,88949.84,72172.13,61508.12,42998.82,35738.26,29455.04,24911.13
Total Reserves and Surplus,496854.21,436833.39,279641.03,239538.38,203169.55,170437.69,148661.66,105775.98,88949.84,72172.13,61508.12,42998.82,35738.26,29455.04,24911.13
Employees Stock Options,3805.19,0.0,0.0,,,,,,,,,,,0.3,2.91
Total ShareHolders Funds,501424.62,437593.08,280199.01,240092.94,203720.83,170986.02,149206.32,106295.0,89462.35,72677.76,62009.42,43478.63,36214.15,29924.68,25379.27
Deposits,2714714.9,2379786.28,1883394.65,1559217.44,1335060.22,1147502.31,923140.93,788770.64,643639.66,546424.19,450795.64,367337.48,296246.98,246706.45,208586.41
Borrowings,547930.9,662153.07,206765.57,184817.21,135487.32,144628.54,117085.13,123104.97,74028.87,53018.47,45213.56,39438.99,33006.6,23846.51,14394.06
Other Liabilities and Provisions,146128.52,138090.63,95722.25,84407.46,72602.15,67394.4,55108.33,45763.72,56709.32,36725.13,32484.46,41344.4,34864.17,37431.87,28992.86
Total Capital and Liabilities,3910198.94,3617623.06,2466081.47,2068535.05,1746870.52,1530511.27,1244540.71,1063934.32,863840.19,708845.57,590503.07,491599.5,400331.9,337909.5,277352.59
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,144355.03,178683.22,117160.77,129995.64,97340.74,72205.12,46763.62,104670.47,37896.88,30058.31,27510.45,25345.63,14627.4,14991.09,25100.82
Balances with Banks Money at Call and Short Notice,95215.65,40464.19,76604.31,22331.29,22129.66,14413.6,34584.01,18244.61,11055.22,8860.53,8821.0,14238.01,12652.77,5946.63,4568.02
Investments,836359.68,702414.96,517001.43,455535.69,443728.29,391826.66,290587.88,242200.24,214463.34,163885.77,166459.95,120951.07,111613.6,97482.91,70929.37
Advances,2619608.61,2484861.52,1600585.9,1368820.93,1132836.63,993702.88,819401.22,658333.09,554568.2,464593.96,365495.03,303000.27,239720.64,195420.03,159982.67
Fixed Assets,13655.4,11398.97,8016.54,6083.67,4909.32,4431.91,4030.01,3607.2,3626.74,3343.16,3121.73,2939.92,2703.08,2347.19,2170.65
Other Assets,201004.57,199800.2,146712.52,85767.83,45925.89,53931.1,49173.97,36878.7,42229.82,38103.84,19094.91,25124.6,19014.41,21721.64,14601.08
Total Assets,3910198.94,3617623.06,2466081.47,2068535.05,1746870.52,1530511.27,1244540.71,1063934.32,863840.19,708845.57,590503.07,491599.5,400331.9,337909.5,277352.59
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,7821.0,6342.0,5608.0,0.0,0.0,4787.0,4715.0,4520.0,4014.0,3403.0,3062.0,2544.0,1986.0
Number of Employees,0.0,0.0,173222.0,141579.0,120093.0,0.0,0.0,88253.0,84325.0,87555.0,76286.0,68165.0,69065.0,66076.0,55752.0
Capital Adequacy Ratios (%),19.55,18.8,19.26,18.9,18.79,19.0,17.0,15.0,15.0,15.53,17.0,16.07,16.8,16.52,16.22
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,17.13,17.87,17.56,0.0,0.0,13.0,13.0,13.22,14.0,11.77,11.08,11.6,12.23
Tier 2 (%),0.0,0.0,2.13,1.03,1.23,0.0,0.0,2.0,2.0,2.31,3.0,4.3,5.72,4.92,3.99
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,35222.64,31173.32,18019.03,16140.96,15086.0,12649.97,11224.16,8606.97,5885.66,4392.83,3438.38,2989.28,2334.64,1999.39,1694.34
Gross NPA (%),1.33,1.24,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Net NPA,11320.43,8091.74,4368.43,4407.68,4554.82,3542.36,3214.52,2601.02,1843.99,1320.37,896.28,820.03,468.95,352.33,296.41
Net NPA (%),0.43,0.33,0.27,0.32,0.4,0.0,0.0,0.0,0.0,0.28,0.0,0.27,0.2,0.18,0.19
Net NPA To Advances (%),1.91,1.98,0.27,0.0,0.0,2.0,2.0,0.0,0.0,,,,,0.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,71439.54,56968.05,44748.14,0.0,0.0,42753.83,30848.04,55242.58,22304.93,20943.06,26103.96,18692.5,13428.49
Contingent Liabilities,0.0,0.0,1748130.32,1395442.3,971097.6,0.0,0.0,875488.23,817869.59,876808.11,975233.95,744097.98,746226.39,883985.32,588550.98
Preference Share Capital,,,,,,,,,,,,,,0.0,0.0
Revaluation Reserve,,,,,,,,,,,,,,0.0,0.0
Money Against Share Warrants,,,,,,,,,,,,,,0.0,0.0
Equity Share Application Money,,,,,,,,,,,,,,0.0,0.0
Preference Share Application Money,,,,,,,,,,,,,,0.0,0.0
Share Capital Suspense,,,,,,,,,,,,,,0.0,0.0
