Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18
Net Sales/Income from operations,6345.11,4590.75,4869.22,4064.27,6700.69,4675.85,4909.79,5446.25,5721.25,5010.67,4908.9,4640.75,6437.64,5049.14,4025.82,3869.1,5577.88,3732.38,3182.57,2910.83,4220.67,3699.27,3765.0,2845.64,3418.44,3018.74,3622.87,1850.31,2650.17
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,6345.11,4590.75,4869.22,4064.27,6700.69,4675.85,4909.79,5446.25,5721.25,5010.67,4908.9,4640.75,6437.64,5049.14,4025.82,3869.1,5577.88,3732.38,3182.57,2910.83,4220.67,3699.27,3765.0,2845.64,3418.44,3018.74,3622.87,1850.31,2650.17
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,4514.3,3791.55,--,4331.43,--,5014.28,--,4662.98,--,--,--,4658.74,3719.6,--,--,--,--,2692.04,--,--,--,--,3171.81,--,--,--,2444.5
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,43.22,49.49,44.23,46.03,44.39,49.68,44.62,45.49,37.24,47.97,53.84,48.1,49.2,49.73,53.33,50.93,54.0,49.19,53.69,50.88,45.84,45.64,52.56,45.89,45.88,38.62,77.6,38.61,43.54
Depreciation,8.96,7.38,7.38,6.87,4.34,4.8,6.19,5.48,5.82,5.67,4.82,5.95,7.36,4.22,4.7,4.61,5.16,4.35,5.4,8.01,7.78,3.91,4.13,4.46,1.77,1.26,2.71,1.32,1.17
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
