Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Against Share Warrants,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities
2011-03-31,347.15,347.15,3446.93,3446.93,0.0,3794.08,45938.93,6690.91,2583.07,59006.99,3076.02,419.96,18828.84,34363.64,132.43,2186.11,59006.99,214.0,3929.0,17.0,10.0,7.0,80.52,0.0,9.15,0.0,0.0,8135.54,128259.99
2012-03-31,352.99,352.99,4323.65,4323.65,0.0,4676.64,49151.71,14156.49,5677.28,73662.11,2332.54,1253.0,27757.35,37988.64,177.1,4153.48,73662.11,356.0,5642.0,18.0,10.0,8.0,83.86,0.0,17.46,0.0,0.0,10851.42,150977.7
2013-03-31,358.62,358.62,5449.05,5449.05,0.0,5807.67,66955.59,20922.15,5418.72,99104.13,3338.76,727.0,42976.04,46999.57,229.55,4833.21,99104.13,430.0,7024.0,18.0,10.0,9.0,94.32,0.0,6.99,0.0,0.0,248481.75,232541.45
2014-03-31,360.63,360.63,6761.11,6761.11,0.0,7121.74,74192.02,21314.29,6387.75,109015.79,4541.57,1350.1,40950.36,55632.96,293.47,6247.33,109015.79,560.0,8800.0,14.4,9.8,4.6,174.93,0.0,26.07,0.05,0.0,997.06,202013.89
2015-03-31,417.74,417.74,11262.25,11262.25,0.0,11679.98,91175.85,26220.4,7094.18,136170.41,5240.65,2316.5,46605.24,75549.82,318.97,6139.24,136170.41,631.0,10810.0,15.6,11.5,4.1,313.4,0.0,87.72,0.12,0.0,1373.94,338673.2
2016-03-31,420.53,420.53,13366.07,13366.07,0.0,13786.6,111719.53,31658.98,8098.3,165263.41,5776.16,2442.26,48838.47,98209.93,470.72,9525.88,165263.41,860.0,15000.0,16.5,10.7,5.8,748.98,1.0,284.47,0.29,0.0,27308.95,332798.07
2017-03-31,456.49,456.49,21597.57,21597.57,0.0,22054.06,142873.86,38606.67,11525.33,215059.92,6952.07,12597.37,50031.8,132262.68,683.54,12532.46,215059.92,1000.0,20125.0,17.0,13.3,3.7,2018.56,2.0,1072.27,0.81,1.0,1390.0,379564.16
2018-03-31,460.59,460.59,25297.69,25297.69,0.0,25758.28,200738.15,74893.58,11055.6,312445.6,11425.75,13308.62,68398.94,203533.86,832.39,14946.04,312445.6,1100.0,18238.0,18.0,13.0,5.0,2626.8,1.0,1312.75,1.0,1.0,1935.56,581829.64
2019-03-31,463.01,463.01,26441.19,26441.19,0.0,26904.2,227610.18,108424.11,17887.68,380826.17,10797.74,16091.77,89522.03,241499.6,817.0,22098.02,380826.17,1120.0,21136.0,16.5,11.3,5.2,7882.56,3.0,4484.85,1.86,2.0,5059.24,654158.02
2020-03-31,2510.09,2510.09,19216.2,19216.2,0.0,21726.29,105363.94,113790.5,16946.18,257826.92,5943.66,2439.35,43914.83,171443.29,1009.09,33076.71,257826.92,1135.0,22973.0,8.5,6.5,2.0,32877.59,17.0,8623.78,5.03,5.0,5120.19,458526.09
2021-03-31,5010.98,5010.98,28185.35,28185.35,0.0,33196.33,162946.64,63949.08,13450.71,273542.77,6812.79,22495.94,43319.15,166892.99,2148.53,31873.36,273542.77,1070.0,22270.0,17.5,11.3,6.2,28609.53,15.0,9813.36,5.88,6.0,2214.05,459642.22
2022-03-31,5010.99,5010.99,28730.89,28730.89,0.0,33741.88,197191.73,72204.58,15082.04,318220.23,9067.27,37572.32,51895.56,181051.99,2133.13,36499.97,318220.23,0.0,0.0,17.4,0.0,0.0,27975.98,14.0,8204.53,4.53,0.0,0.0,0.0
2023-03-31,5750.96,5750.96,34043.11,34043.11,948.39,40742.46,217501.86,77451.99,19089.82,354786.13,12864.09,6410.35,76888.3,203269.44,2444.77,52909.18,354786.13,1192.0,27517.0,18.0,13.3,4.7,4394.57,2.17,1658.09,0.83,0.8,17413.26,661385.48
2024-03-31,6701.97,6701.97,35443.42,35443.42,0.0,42145.39,266372.17,79940.88,17034.55,405492.99,18139.24,790.4,90235.13,227799.47,2856.52,65672.23,405492.99,0.0,0.0,15.4,0.0,0.0,3982.56,1.7,1329.73,0.6,0.3,0.0,0.0
2025-03-31,6270.82,6270.82,41509.23,41509.23,0.0,47780.05,284525.13,71602.97,19514.15,423422.3,15260.13,12798.9,85104.48,246188.47,3065.43,61004.89,423422.3,0.0,0.0,15.6,0.0,0.0,3935.61,1.6,800.14,0.3,0.6,0.0,0.0
