Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20
Net Sales/Income from operations,872.59,835.64,839.88,751.58,796.36,778.74,759.0,667.32,696.56,669.97,634.5,529.85,552.31,460.16,310.96,370.95,334.7,203.16
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.19,--,--
Total Income From Operations,872.59,835.64,839.88,751.58,796.36,778.74,759.0,667.32,696.56,669.97,634.5,529.85,552.31,460.16,310.96,386.15,334.7,203.16
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,249.68,235.92,234.46,207.63,225.98,222.5,216.51,200.87,210.98,196.76,181.01,149.94,154.15,129.17,86.68,108.56,101.19,65.68
Purchase of Traded Goods,1.3,1.38,1.68,1.2,2.72,1.88,5.1,4.14,5.95,5.05,4.7,3.04,3.84,2.99,1.32,1.33,2.46,0.69
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,124.55,120.21,108.25,100.64,111.29,105.25,101.65,86.05,76.51,81.05,67.87,55.67,65.25,53.11,48.73,43.64,37.58,30.95
Depreciation,104.54,98.88,91.69,90.39,89.26,82.66,69.5,67.24,60.64,56.48,54.51,56.04,47.07,43.09,39.08,48.24,40.15,55.83
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,0.71,--,-0.88,--,--,--,-4.8,4.71,--,-0.33,20.83
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,350.69,331.8,323.07,293.21,307.12,309.97,291.1,255.5,263.36,246.63,237.88,203.04,207.47,172.1,128.12,132.21,111.18,80.14
"P/L Before Other Inc. , Int., Excpt. Items & Tax",41.84,47.45,80.74,58.52,59.99,56.48,75.15,52.82,79.13,84.89,88.52,62.13,74.53,64.5,2.32,52.16,42.47,-50.97
Other Income,13.91,10.17,11.32,17.4,5.09,7.53,7.46,11.49,9.07,4.99,6.89,2.64,3.39,4.92,5.06,-13.54,5.07,19.54
"P/L Before Int., Excpt. Items & Tax",55.74,57.62,92.05,75.91,65.09,64.01,82.61,64.31,88.2,89.87,95.41,64.78,77.92,69.42,7.38,38.62,47.55,-31.43
Interest,56.05,54.31,52.42,50.54,43.51,39.96,35.34,33.51,32.7,29.77,27.77,26.93,24.24,27.72,26.98,26.58,34.13,32.63
P/L Before Exceptional Items & Tax,-0.3,3.31,39.64,25.37,21.57,24.05,47.27,30.8,55.5,60.1,67.64,37.85,53.68,41.7,-19.6,12.04,13.41,-64.06
Exceptional Items,--,--,--,-116.01,--,--,--,--,--,--,--,-0.11,--,-1.21,--,-8.9,52.47,3.24
P/L Before Tax,-0.3,3.31,39.64,-90.64,21.57,24.05,47.27,30.8,55.5,60.1,67.64,37.74,53.68,40.49,-19.6,3.14,65.88,-60.83
Tax,-4.61,2.29,7.98,14.4,3.57,-17.06,11.84,-21.44,-10.6,--,--,-41.08,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,4.31,1.02,31.65,-105.04,18.01,41.1,35.42,52.24,66.1,60.1,67.64,78.82,53.68,40.49,-19.6,3.14,65.88,-60.83
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.71,1.58,-0.19
Net Profit/(Loss) For the Period,4.31,1.02,31.65,-105.04,18.01,41.1,35.42,52.24,66.1,60.1,67.64,78.82,53.68,40.49,-19.6,6.85,67.47,-61.01
Equity Share Capital,120.63,120.63,120.61,120.59,120.59,120.59,120.55,120.5,120.47,120.47,120.47,120.47,120.25,120.25,115.36,115.36,111.48,109.54
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,182.3,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,0.04,0.01,0.26,-0.87,0.15,0.34,0.29,0.43,0.55,0.5,0.56,0.66,0.45,0.34,-0.17,0.06,0.61,-0.56
Diluted EPS,0.04,0.01,0.26,-0.87,0.15,0.34,0.29,0.43,0.55,0.5,0.56,0.65,0.44,0.34,-0.17,--,0.59,-0.55
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
