Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,6461.0,5947.0,3937.0,3383.0,7304.0,2089.0,1917.0,691.0,1632.0,918.0,2912.0,2167.0,2109.0,2269.0,4848.0,1446.0,2034.0,213.29,46.14,159.65,55.82,840.68,238.45,111.37,211.51,21.29,49.12,36.21,391.82,419.9,3.97,4.8
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.15,--,--,0.19,0.1,0.23,--,--,--,--,--,-330.24,--,--,--
Total Income From Operations,6461.0,5947.0,3937.0,3383.0,7304.0,2089.0,1917.0,691.0,1632.0,918.0,2912.0,2167.0,2109.0,2269.0,4848.0,1446.0,2034.0,233.44,46.14,159.65,56.01,840.78,238.68,111.37,211.51,21.29,49.12,36.21,61.58,419.9,3.97,4.8
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,6689.0,3899.0,5491.0,3268.0,5181.0,6064.0,1493.0,--,--,1390.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-307.73,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,944.0,878.0,--,1004.0,1008.0,3916.0,2660.0,4327.0,1656.0,1713.0,1611.21,927.66,157.67,241.36,821.03,229.86,106.37,203.92,19.39,47.72,26.68,--,391.82,--,--
Increase/Decrease in Stocks,-616.0,1203.0,-1983.0,-105.0,1896.0,-4118.0,386.0,-267.0,738.0,-486.0,1851.0,1115.0,-1824.0,-440.0,438.0,-245.0,282.0,-1404.39,-886.37,-5.32,-193.91,--,--,--,--,--,--,--,84.92,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,18.0,21.0,20.0,20.0,7.0,16.0,11.0,16.0,11.0,9.0,8.0,8.0,8.0,7.0,6.0,--,--,7.1,5.5,3.66,7.98,8.34,4.78,7.72,13.83,4.07,4.35,3.43,--,4.24,3.71,5.1
Depreciation,18.0,12.0,9.0,12.0,10.0,4.0,13.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.14,0.97,0.85,0.82,0.82,-0.41,1.82,2.06,2.1,2.1,2.08,--,2.34,2.33,2.31
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.51,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.33,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,59.0,21.0,39.0,36.0,57.0,22.0,28.0,13.0,-96.0,42.0,115.0,177.0,-2.0,-80.0,61.0,10.0,-7.0,2.61,12.6,8.76,16.0,13.76,8.11,16.97,14.18,5.31,14.64,5.85,22.51,-11.54,2.14,1.62
