Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23
Net Sales/Income from operations,133.59,141.95,154.37,137.79,124.16,262.1,14.91,123.44
Other Operating Income,--,--,--,--,--,--,--,--
Total Income From Operations,133.59,141.95,154.37,137.79,124.16,262.1,14.91,123.44
EXPENDITURE,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--
Employees Cost,58.77,54.64,48.15,43.35,44.51,74.47,3.67,39.77
Depreciation,4.23,4.14,4.4,5.35,4.97,8.64,0.43,4.29
Excise Duty,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,0.94,0.31,0.99,1.84,0.09,0.98
Exp. Capitalised,--,--,--,--,--,--,--,--
Other Expenses,66.12,72.13,77.87,78.55,61.36,137.35,8.11,67.93
"P/L Before Other Inc. , Int., Excpt. Items & Tax",4.47,11.03,23.01,10.22,12.33,39.8,2.6,10.48
Other Income,12.48,8.36,10.33,6.84,7.94,5.96,0.38,3.97
"P/L Before Int., Excpt. Items & Tax",16.95,19.39,33.33,17.06,20.28,45.76,2.98,14.45
Interest,1.74,1.78,1.98,2.41,1.99,3.47,0.17,1.7
P/L Before Exceptional Items & Tax,15.22,17.61,31.35,14.65,18.28,42.28,2.81,12.75
Exceptional Items,--,--,--,-6.7,--,-7.29,-0.81,--
P/L Before Tax,15.22,17.61,31.35,7.95,18.28,34.99,2.0,12.75
Tax,3.86,4.04,8.05,2.17,4.62,8.76,0.49,3.13
P/L After Tax from Ordinary Activities,11.36,13.57,23.3,5.78,13.66,26.23,1.51,9.62
Prior Year Adjustments,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,11.36,13.57,23.3,5.78,13.66,26.23,1.51,9.62
Equity Share Capital,10.86,10.86,10.86,10.42,10.42,10.42,1.04,10.42
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,
Basic EPS,1.07,1.29,2.24,0.57,1.35,2.52,1.49,0.95
Diluted EPS,1.06,1.27,2.21,0.56,1.34,--,1.48,0.94
EPS After Extra Ordinary,,,,,,,,
Public Share Holding,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,
a) Pledged/Encumbered,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,
Notes,,,,,,,,
