Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Share Capital Suspense,Current Investments
2015-03-31,25.77,25.77,234.91,234.91,0.0,260.68,0.01,0.67,8.51,9.19,165.06,12.09,175.75,6.2,359.1,628.98,13.19,93.76,0.0,0.0,106.95,4.6,3.62,53.76,0.38,169.3,0.44,215.56,70.69,43.03,129.96,459.68,628.98,3.22,0.0,35.28,0.0,4.6,0.0,0.0,0.0
2016-03-31,113.34,113.34,234.3,234.3,0.0,347.64,0.16,0.0,8.36,8.52,262.75,15.93,322.52,17.36,618.56,974.71,16.24,86.97,0.0,0.86,104.07,15.6,21.59,78.19,2.05,221.5,1.32,346.23,86.91,41.84,276.91,753.21,974.71,101.2,0.0,27.89,85.0,15.6,0.0,0.0,0.0
2017-03-31,126.79,126.79,670.23,670.23,0.0,797.02,148.72,0.0,16.53,165.26,385.57,44.5,321.87,20.97,772.91,2195.5,22.1,731.95,0.0,8.52,762.58,190.42,19.42,12.09,121.62,1106.13,5.46,305.93,384.69,26.11,367.17,1089.37,2195.5,322.54,0.0,0.0,85.0,190.42,0.0,460.31,0.0
2018-03-31,145.48,145.48,2215.99,2215.99,0.0,2361.47,148.66,0.0,22.17,170.83,578.57,88.22,364.53,28.47,1059.8,3592.1,52.74,729.61,0.0,2.16,784.51,601.52,126.22,16.15,118.16,1646.56,6.51,539.86,643.67,203.65,354.44,1945.54,3592.1,511.34,0.46,146.0,85.0,601.52,0.0,0.0,197.4
2019-03-31,146.08,146.08,2448.88,2448.88,0.0,2594.97,148.95,0.0,72.03,220.98,420.66,95.51,389.93,2.49,908.6,3724.54,50.82,706.92,0.0,5.16,762.9,700.51,154.56,278.44,228.24,2124.65,10.57,520.47,399.06,131.48,499.86,1599.9,3724.54,398.97,4.87,12.98,85.0,700.51,38.47,0.0,38.47
2020-03-31,147.51,147.51,2157.47,2157.47,13.5,2318.48,0.0,54.36,112.55,166.91,776.79,55.14,559.38,2.21,1393.52,3878.91,109.67,349.22,0.0,0.24,459.13,1203.61,138.48,135.07,305.12,2241.41,10.25,474.91,426.63,42.74,682.96,1637.5,3878.91,547.68,35.63,90.6,85.0,1203.61,0.0,0.0,0.0
2021-03-31,147.68,147.68,2051.51,2051.51,25.3,2224.49,0.0,41.58,147.7,189.28,317.33,52.16,476.96,2.9,849.35,3263.11,78.69,333.66,0.0,7.02,419.37,1114.46,75.76,71.11,210.19,1890.9,7.57,497.09,161.92,8.98,696.66,1372.22,3263.11,555.55,3.03,10.82,85.0,1114.46,0.0,0.0,0.0
2022-03-31,147.99,147.99,2026.01,2026.01,34.87,2208.87,0.0,214.98,0.0,214.98,479.82,59.97,884.17,16.53,1440.49,3864.34,67.71,372.25,0.0,1.39,441.35,1288.99,42.6,60.83,292.76,2126.53,6.82,1493.24,141.84,10.72,85.18,1737.8,3864.34,420.9,2.63,39.55,85.0,0.0,0.0,0.0,0.0
2023-03-31,148.23,148.23,1983.51,1983.51,39.94,2171.68,0.0,60.38,216.08,276.46,467.03,47.82,1229.49,16.51,1760.85,4208.99,116.03,350.78,0.0,1.25,468.05,1234.65,45.28,67.01,482.99,2297.98,7.11,1672.75,84.54,37.12,109.49,1911.01,4208.99,431.27,1.36,16.2,85.0,1234.65,0.0,0.0,0.0
2024-03-31,148.51,148.51,2491.35,2491.35,49.11,2688.97,1.76,263.17,289.76,554.69,306.26,66.35,1698.24,22.85,2093.7,5337.36,489.53,401.39,0.05,2.06,893.03,1024.32,104.23,56.02,647.14,2724.73,6.32,2170.89,300.22,0.33,134.87,2612.63,5337.36,523.13,38.48,343.28,85.0,1024.32,0.0,0.0,0.0
