Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,3798.32,3799.68,3703.88,3520.32,3395.33,3293.61,3205.58,3043.75,2912.52,2867.24,2794.78,2687.05,2621.17,2528.31,2416.7,2242.98,663.82,1419.62
Other Operating Income,282.93,346.27,354.49,295.34,293.24,284.74,256.14,249.98,218.19,205.4,206.95,204.1,179.84,182.66,285.69,144.64,122.85,113.1
Total Income From Operations,4081.25,4145.95,4058.37,3815.66,3688.57,3578.35,3461.72,3293.73,3130.71,3072.64,3001.73,2891.15,2801.01,2710.97,2702.39,2387.62,786.67,1532.72
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,458.11,408.9,452.01,373.85,473.2,386.06,395.17,357.74,436.82,380.45,358.96,277.43,425.98,298.97,328.77,281.2,391.27,248.38
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,47.6,57.62,45.42,54.83,42.53,54.99,49.97,52.48,52.02,13.61,35.42,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,0.43,--,0.02,0.04,2.1,0.14,0.19,0.08,0.77,0.23,0.01,0.08,0.01,2.3,0.28,0.02,34.54,-0.06
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,3582.43,3394.1,3414.37,2962.18,2983.42,2749.69,2850.71,2499.1,2506.38,2398.35,2487.58,2327.42,2491.95,3177.99,2612.53,2386.73,1639.29,1599.35
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-7.32,285.33,146.55,424.76,187.32,387.47,165.68,384.33,134.72,280.0,119.76,286.22,-116.93,-768.29,-239.19,-280.33,-1278.43,-314.95
Other Income,6.45,1.63,2.25,1.41,2.41,0.2,1.43,0.02,1.33,1.73,0.89,1.76,1.17,0.04,6.85,0.04,0.04,-1.65
"P/L Before Int., Excpt. Items & Tax",-0.87,286.96,148.8,426.17,189.73,387.67,167.11,384.35,136.05,281.73,120.65,287.98,-115.76,-768.25,-232.34,-280.29,-1278.39,-316.6
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,-0.87,286.96,148.8,426.17,189.73,387.67,167.11,384.35,136.05,281.73,120.65,287.98,-115.76,-768.25,-232.34,-280.29,-1278.39,-316.6
