Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Equity Share Application Money,Capital Work-In-Progress,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,11.25,11.25,14.42,14.42,0.0,25.67,0.2,0.0,0.0,0.2,0.0,0.1,1.73,3.86,29.73,0.88,0.0,0.88,0.0,20.28,0.0,0.0,0.07,9.38,0.0,9.45,29.73,3.53,0.0,0.0,0.0,0.0,0.0,19.18,0.0,0.0,2.03,19.18,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,11.29,11.29,20.81,20.81,0.0,32.1,0.0,0.0,0.0,0.0,0.0,0.08,1.65,4.97,37.06,0.86,0.0,0.86,0.0,32.02,0.0,0.0,0.18,4.86,0.0,5.05,37.06,3.59,0.0,0.0,0.0,0.0,0.0,31.13,0.0,0.0,3.23,31.13,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.5,15.5,203.19,203.19,0.0,218.69,0.2,0.0,0.0,0.2,0.0,0.04,2.53,11.13,242.39,0.84,0.0,0.84,0.0,149.01,0.0,0.0,0.67,92.71,0.0,93.39,242.39,3.59,0.0,0.0,0.0,0.0,0.0,148.16,0.0,0.0,8.55,148.16,0.0,0.0,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,29.98,29.98,351.02,351.02,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.76,1.89,20.2,401.19,0.91,0.0,0.91,0.0,352.18,0.0,0.0,0.82,48.19,0.0,49.02,401.19,3.58,0.0,0.01,0.0,0.0,5.14,339.04,0.0,0.0,17.55,350.65,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,29.98,29.98,1623.46,1623.46,0.0,1653.44,115.67,0.0,0.0,115.82,0.0,0.98,5.72,94.51,1863.77,1.53,0.0,1.57,0.0,1523.72,0.0,0.0,239.13,100.93,0.0,340.06,1863.77,3.8,79.42,0.95,0.0,0.0,3.77,1516.63,0.0,0.15,87.81,1521.43,0.0,0.0,0.0,0.04,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,74.97,74.97,1571.4,1571.4,0.0,1646.37,115.69,0.0,0.0,115.98,0.0,0.14,3.12,18.72,1781.07,1.71,0.0,1.71,0.0,1526.43,0.0,0.0,151.53,103.11,0.0,254.65,1781.07,4.27,0.12,4.61,0.0,44.99,1.38,1519.29,0.0,0.28,15.46,1524.08,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,74.97,74.97,1578.83,1578.83,0.0,1653.8,113.07,0.0,0.0,113.37,0.0,0.37,33.79,74.88,1842.06,2.22,0.51,2.84,0.0,1559.26,0.0,0.0,137.8,144.99,0.0,282.79,1842.06,4.28,0.18,0.75,0.0,44.99,6515.17,1553.44,0.0,0.3,40.73,1556.02,0.0,0.0,0.0,0.11,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,74.97,74.97,1542.83,1542.83,0.0,1617.8,110.35,1.05,0.43,111.84,0.0,1.13,6.71,54.23,1783.87,1.86,0.29,2.15,0.0,1660.38,0.0,0.0,115.22,0.89,7.38,123.49,1783.87,295.19,0.35,1.24,0.0,44.99,0.0,1507.95,0.0,0.0,46.38,1507.96,150.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,74.99,74.99,1563.02,1563.02,0.0,1638.0,110.32,1.14,0.47,111.92,0.0,0.74,5.91,52.51,1802.43,1.81,0.47,2.31,7.58,1669.15,0.0,0.0,123.46,0.53,9.3,133.28,1802.43,301.55,0.56,0.36,0.0,44.99,0.0,1507.35,0.0,0.0,45.85,1507.37,151.89,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,75.16,75.16,1544.29,1544.29,0.0,1619.45,110.17,1.04,0.23,111.45,0.0,0.55,3.33,41.81,1772.7,1.39,0.0,1.39,3.83,1625.73,0.0,0.0,133.73,0.65,12.58,146.97,1772.7,3.77,0.12,0.0,0.0,44.99,0.0,1470.44,0.0,0.0,37.93,1470.45,150.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
