Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,0.0,2.69,2.69,1.78,0.08,0.0,0.55,0.29,0.08,0.37,0.01,0.37,0.37,0.1,0.26,0.26,75.14,0.0,0.0,23.18,30.85,51.96,100.0,69.15
2013-03-31,0.0,2.75,2.75,0.64,0.06,0.0,1.02,1.03,0.04,1.07,0.01,1.06,1.06,0.5,0.56,0.56,75.16,0.01,0.01,23.23,30.91,51.93,100.0,69.09
2013-06-30,0.0,2.97,2.97,1.12,0.09,0.0,0.79,0.97,0.25,1.22,0.02,1.2,1.2,0.54,0.66,0.66,75.44,0.01,0.01,23.52,31.18,51.92,100.0,68.82
2013-09-30,65.09,3.71,68.8,3.76,0.11,0.0,0.81,64.12,0.03,64.15,0.03,64.12,64.12,0.68,63.44,63.44,75.47,0.84,0.83,23.69,31.39,51.78,100.0,68.61
2013-12-31,0.25,7.25,7.5,1.03,0.11,0.0,0.78,5.58,0.02,5.6,0.02,5.58,5.58,0.9,4.68,4.68,75.52,0.06,0.06,23.74,31.44,51.78,100.0,68.56
2014-03-31,0.0,7.26,7.26,1.4,0.11,0.0,2.2,3.55,0.33,3.88,0.02,3.86,3.86,1.59,2.27,2.27,75.53,0.03,0.03,23.76,31.45,51.78,100.0,68.55
2014-06-30,0.0,6.93,6.93,1.49,0.09,0.0,1.07,4.28,0.0,4.28,0.08,4.21,4.21,1.54,2.67,2.67,75.84,0.04,0.03,24.06,31.72,51.78,100.0,68.28
2014-09-30,73.5,8.48,81.98,4.86,0.08,0.0,1.62,75.42,0.0,75.43,0.25,75.18,75.18,1.01,74.17,74.17,75.93,0.98,0.96,24.16,31.81,51.78,100.0,68.19
2014-12-31,0.39,5.62,6.01,2.04,0.11,0.0,1.77,2.08,0.0,2.08,1.2,0.89,0.89,0.16,0.73,0.73,78.33,0.01,0.01,26.55,33.9,51.78,100.0,66.1
2015-03-31,0.51,8.77,9.28,0.29,0.13,0.0,2.91,5.95,0.34,6.3,6.07,0.23,0.23,-0.31,0.54,0.54,78.37,0.01,0.01,26.59,33.93,51.78,100.0,66.07
2015-06-30,83.05,9.55,92.59,4.41,0.13,0.0,2.01,86.05,0.0,86.05,6.6,79.45,79.45,-0.26,79.71,79.71,78.83,1.01,1.01,27.05,34.31,51.78,100.0,65.69
2015-09-30,5.52,10.36,15.88,1.42,0.1,0.0,1.28,13.07,0.0,13.07,8.09,4.99,4.99,0.05,4.93,4.93,78.87,0.06,0.06,27.09,34.35,51.78,100.0,65.65
2015-12-31,0.1,7.54,7.64,1.38,0.06,0.0,0.65,5.55,0.0,5.55,5.77,-0.22,-0.22,0.26,-0.48,-0.48,78.87,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2016-03-31,25.63,7.93,33.56,2.87,0.09,0.0,4.11,26.5,8.09,34.59,6.7,27.89,27.89,-0.19,28.08,28.08,78.9,0.36,0.35,0.0,0.0,0.0,0.0,0.0
2016-06-30,9.21,10.74,19.95,2.08,0.16,0.0,0.83,16.88,0.0,16.88,9.15,7.73,7.73,0.13,7.6,7.6,78.96,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2016-09-30,56.14,10.48,66.62,3.54,0.17,0.0,2.84,60.08,0.04,60.12,8.6,51.52,51.52,-0.29,51.81,51.81,79.17,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2016-12-31,0.03,17.49,17.52,1.59,0.17,0.0,2.06,13.7,0.65,14.35,14.83,-0.48,-0.48,-0.13,-0.35,-0.35,79.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,49.07,9.02,58.09,1.04,0.17,0.0,1.77,55.12,0.08,55.19,7.03,48.16,48.16,0.5,47.67,47.67,79.45,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2017-06-30,12.68,0.0,12.68,1.74,0.16,0.0,3.09,7.68,94.43,102.1,11.01,91.09,91.09,-0.34,91.43,91.43,79.68,1.15,1.14,0.0,0.0,0.0,0.0,0.0
2017-09-30,10.31,0.0,10.31,1.77,0.21,0.0,2.25,6.07,0.35,6.42,8.17,-1.75,-1.75,-0.28,-1.47,-1.47,79.74,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
2017-12-31,11.45,0.0,11.45,1.71,0.18,0.0,2.46,7.1,0.07,7.17,10.06,-2.89,-2.89,-0.15,-2.74,-2.74,79.76,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
2018-03-31,79.73,0.0,79.73,27.7,0.46,0.0,18.38,33.19,35.17,68.36,5.3,63.06,63.06,14.12,48.94,48.94,83.79,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2018-06-30,39.86,0.0,39.86,15.98,0.43,0.0,23.25,0.21,4.98,5.19,5.86,-0.67,-0.67,0.58,-1.26,-1.26,83.94,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2018-09-30,45.15,0.0,45.15,16.15,0.48,0.0,20.43,8.09,83.11,91.2,10.33,80.87,80.87,3.37,77.49,77.49,83.97,0.92,0.92,0.0,0.0,0.0,0.0,0.0
2018-12-31,18.01,0.0,18.01,13.06,0.46,0.0,8.9,-4.42,10.59,6.17,2.68,3.49,3.49,1.77,1.72,1.72,83.99,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,34.59,0.0,34.59,28.93,0.49,0.0,9.08,-3.92,36.61,32.7,0.68,32.01,32.01,-1.33,33.34,33.34,83.99,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2019-06-30,29.76,0.0,29.76,13.15,3.13,0.0,23.55,-10.07,1.62,-8.45,2.0,-10.45,-10.45,-0.74,-9.71,-9.71,84.09,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2019-09-30,57.93,0.0,57.93,19.21,3.01,0.64,18.94,16.13,39.99,56.12,1.98,54.14,54.14,5.12,49.02,49.02,84.11,0.58,0.58,0.0,0.0,0.0,0.0,0.0
2019-12-31,98.78,0.0,98.78,33.05,3.03,-0.18,18.5,44.38,3.45,47.83,1.92,45.91,45.91,13.62,32.29,32.29,84.12,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2020-03-31,88.89,0.0,88.89,1.42,3.01,-0.03,17.53,66.96,1.8,68.76,1.91,66.85,66.85,11.14,55.71,55.71,84.12,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2020-06-30,29.91,0.0,29.91,12.26,2.99,0.0,3.95,10.71,1.4,12.11,1.85,10.26,10.26,0.0,10.26,10.26,95.19,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2020-09-30,112.63,0.0,112.63,25.35,2.98,0.6,25.36,58.34,18.88,77.22,1.81,75.41,75.41,7.65,67.76,67.76,95.22,0.75,0.75,0.0,0.0,0.0,0.0,0.0
