Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21
Net Sales/Income from operations,604.64,638.34,590.75,617.34,548.0,568.54,545.46,561.58,487.82,514.37,487.29,473.3,398.33,414.68,342.2,242.95,284.49
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,604.64,638.34,590.75,617.34,548.0,568.54,545.46,561.58,487.82,514.37,487.29,473.3,398.33,414.68,342.2,242.95,284.49
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,184.78,192.48,175.99,185.45,165.03,170.53,164.72,170.12,153.16,162.56,156.28,146.11,121.13,126.12,101.5,70.16,84.18
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,78.93,79.59,78.49,78.33,73.72,72.21,71.65,69.55,63.59,59.97,62.84,55.89,50.69,50.32,67.7,42.97,48.97
Depreciation,75.42,90.88,79.04,80.71,78.51,78.23,68.09,64.25,64.96,61.18,56.3,54.26,49.3,43.22,42.67,44.96,50.52
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,251.29,251.25,238.35,240.01,215.2,216.01,207.06,210.59,181.45,186.57,176.04,170.29,148.96,146.39,129.66,104.97,106.87
"P/L Before Other Inc. , Int., Excpt. Items & Tax",14.23,24.15,18.89,32.84,15.54,31.56,33.94,47.07,24.66,44.1,35.83,46.73,28.25,48.63,0.67,-20.11,-6.05
Other Income,12.7,6.31,8.56,5.24,9.99,6.35,8.34,7.43,9.0,7.02,7.1,5.83,9.75,7.41,7.52,9.42,6.39
"P/L Before Int., Excpt. Items & Tax",26.92,30.47,27.44,38.08,25.53,37.91,42.28,54.51,33.66,51.12,42.93,52.56,38.0,56.04,8.19,-10.69,0.34
Interest,27.78,26.0,25.51,25.57,25.67,24.43,22.54,20.53,22.98,19.5,18.86,18.13,18.19,16.41,16.99,15.14,17.63
P/L Before Exceptional Items & Tax,-0.86,4.47,1.94,12.51,-0.14,13.48,19.74,33.98,10.68,31.62,24.07,34.43,19.81,39.63,-8.81,-25.83,-17.29
Exceptional Items,-3.88,--,-16.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,-4.74,4.47,-15.03,12.51,-0.14,13.48,19.74,33.98,10.68,31.62,24.07,34.43,19.81,39.63,-8.81,-25.83,-17.29
Tax,-1.08,1.01,0.43,3.17,-2.29,3.44,4.79,8.65,-125.27,--,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,-3.66,3.46,-15.46,9.34,2.15,10.04,14.95,25.33,135.94,31.62,24.07,34.43,19.81,39.63,-8.81,-25.83,-17.29
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-3.66,3.46,-15.46,9.34,2.15,10.04,14.95,25.33,135.94,31.62,24.07,34.43,19.81,39.63,-8.81,-25.83,-17.29
Equity Share Capital,64.24,64.14,63.97,63.77,63.7,63.69,63.68,63.59,63.54,63.54,63.54,63.54,63.54,63.54,63.54,52.79,52.79
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,-0.11,0.11,-0.49,1.47,0.34,1.58,2.35,3.99,21.39,4.97,3.79,5.42,3.12,6.24,-1.39,-4.89,-3.28
Diluted EPS,-0.11,0.11,-0.49,1.45,0.33,1.56,2.32,3.94,21.18,4.91,3.74,5.36,3.09,6.18,--,-4.89,-3.29
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
