Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2011-03-31,4.5,4.5,0.0,260.67,260.67,265.17,0.0,0.0,0.01,0.0,0.22,25.67,25.9,1781.14,206.52,488.9,2519.2,2810.26,13.32,0.14,0.0,0.0,13.46,15.29,616.43,875.09,0.0,361.01,64.49,1052.63,89.46,367.58,1935.17,2810.26,0.0,3.85,4.17,0.0,0.0,177.08,0.0,0.0,0.0,42.64,177.08,52.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,4.5,4.76,0.0,292.74,292.74,297.5,86.45,0.0,-0.26,0.0,0.13,7.02,6.89,877.94,165.28,396.06,1459.61,1850.71,38.4,1.28,0.0,0.0,39.68,11.26,100.0,402.36,0.0,2.81,30.68,1080.86,231.77,102.23,1448.35,1850.71,0.0,4.53,5.22,0.0,0.0,165.49,0.0,0.0,0.26,20.33,165.49,85.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,26.21,26.47,0.0,373.4,373.4,399.88,0.0,0.0,19.74,0.0,0.04,1.33,21.11,1239.42,102.36,594.57,1958.3,2379.54,38.38,1.23,0.0,0.0,39.94,9.09,224.76,519.63,0.0,0.11,34.01,1379.87,417.7,28.23,1859.91,2379.54,0.0,3.13,5.17,20.16,0.0,165.5,0.0,0.0,0.26,21.94,165.5,80.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,26.21,26.47,0.0,415.34,415.34,441.82,0.0,0.0,-0.26,0.0,0.16,1.43,1.33,641.79,136.4,589.42,1382.43,1825.84,35.48,2.85,0.0,0.0,38.64,5.35,172.71,523.91,0.0,78.11,44.49,848.31,261.66,69.36,1301.93,1825.84,0.0,3.86,5.44,20.16,0.0,231.43,0.0,0.0,0.26,14.83,231.43,75.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,26.21,26.48,0.0,409.48,409.48,435.96,0.0,0.0,-0.27,0.0,0.06,1.81,1.6,493.85,138.11,935.23,1583.04,2020.87,35.26,3.98,0.0,0.0,39.51,6.65,649.07,1092.26,0.0,0.11,64.95,790.36,29.69,43.51,928.61,2020.87,0.0,5.35,5.83,20.16,0.0,298.54,0.0,0.0,0.27,15.85,298.54,98.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,26.21,26.48,0.0,424.57,424.57,451.05,0.0,0.0,0.0,0.0,0.03,1.96,1.99,396.79,193.53,1022.55,1628.84,2081.88,34.25,2.87,1.49,0.0,38.61,6.3,662.4,1119.74,0.0,0.03,85.21,738.07,39.72,99.11,962.14,2081.88,0.0,5.81,7.18,20.16,0.0,307.76,0.0,0.0,0.27,15.97,307.76,104.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,26.21,26.48,0.0,446.2,446.2,472.69,0.0,0.0,0.0,0.0,0.03,1.14,1.17,835.83,106.82,239.97,1198.21,1672.06,32.13,1.2,2.7,0.0,36.03,4.88,203.87,727.29,0.0,0.01,148.5,750.96,37.2,8.11,944.78,1672.06,0.0,12.12,6.3,20.16,0.0,370.86,0.0,0.0,0.27,15.59,370.94,111.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,26.21,26.21,0.0,426.79,426.79,453.0,0.0,0.0,0.0,0.0,0.03,1.09,1.12,398.06,194.38,203.6,811.66,1265.77,26.6,4.37,0.07,0.0,31.04,3.97,204.29,691.49,48.0,0.01,35.83,329.02,18.59,142.84,574.28,1265.77,0.0,10.48,5.85,20.16,0.43,351.86,0.0,0.0,0.0,15.63,351.94,100.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,26.21,26.21,0.0,354.2,354.2,380.41,0.0,0.0,523.5,0.0,16.37,1.3,541.17,0.0,153.66,856.97,1010.63,1932.2,26.17,3.66,1.8,0.34,31.98,3.18,90.42,125.58,288.89,0.01,865.61,583.5,0.03,68.58,1806.63,1932.2,3.07,19.95,9.89,20.16,0.0,0.0,177.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,26.21,26.21,0.0,389.1,389.1,415.31,0.0,0.0,675.18,12.75,23.97,1.69,713.59,0.0,90.8,19.77,110.56,1239.47,90.09,2.15,0.0,0.44,92.68,0.0,24.54,117.21,546.99,0.01,48.04,381.42,44.74,101.06,1122.25,1239.47,37.08,12.85,19.56,20.16,0.0,0.0,474.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
