Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21
Net Sales/Income from operations,752.27,727.38,702.05,666.14,616.29,567.37,518.82,480.37,435.79,386.54,360.55,337.97,326.17,317.2,308.23,302.46
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,752.27,727.38,702.05,666.14,616.29,567.37,518.82,480.37,435.79,386.54,360.55,337.97,326.17,317.2,308.23,302.46
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,144.25,129.2,124.84,122.81,114.28,109.81,105.79,98.7,95.9,97.2,81.44,71.89,67.53,58.41,58.62,51.55
Depreciation,8.99,8.34,6.67,6.37,7.4,6.64,5.69,4.85,4.81,4.86,4.02,3.62,3.81,3.07,2.76,2.61
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,25.37,23.29,21.77,18.53,19.42,10.18,10.57,15.2,7.39,4.66,8.51,-0.41,8.29,15.29,3.5,18.43
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,34.76,33.74,31.21,27.29,27.13,24.78,27.45,22.78,29.54,17.34,14.17,13.0,25.49,11.83,10.98,9.18
"P/L Before Other Inc. , Int., Excpt. Items & Tax",538.9,532.8,517.55,491.14,448.06,415.96,369.31,338.84,298.14,262.48,252.41,249.87,221.04,228.61,232.37,220.69
Other Income,7.48,3.68,3.79,3.24,2.85,2.65,3.55,3.2,3.5,2.18,1.31,1.09,1.02,0.54,0.3,0.24
"P/L Before Int., Excpt. Items & Tax",546.38,536.48,521.34,494.38,450.92,418.61,372.86,342.04,301.65,264.66,253.72,250.96,222.06,229.15,232.67,220.94
Interest,175.3,171.35,163.14,158.19,137.73,128.71,105.89,96.17,77.41,63.14,60.91,64.8,63.06,72.35,78.09,87.11
P/L Before Exceptional Items & Tax,371.07,365.13,358.21,336.19,313.19,289.91,266.97,245.87,224.24,201.52,192.82,186.16,159.0,156.8,154.58,133.83
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,371.07,365.13,358.21,336.19,313.19,289.91,266.97,245.87,224.24,201.52,192.82,186.16,159.0,156.8,154.58,133.83
Tax,91.95,91.27,90.27,84.62,77.13,73.15,67.59,62.16,55.36,50.52,48.64,46.73,41.12,38.68,36.74,34.12
P/L After Tax from Ordinary Activities,279.12,273.86,267.94,251.57,236.06,216.76,199.39,183.71,168.88,151.0,144.18,139.43,117.88,118.12,117.84,99.71
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,279.12,273.86,267.94,251.57,236.06,216.76,199.39,183.71,168.88,151.0,144.18,139.43,117.88,118.12,117.84,99.71
Equity Share Capital,29.44,29.34,29.25,29.24,29.24,29.22,29.17,29.14,29.14,29.13,29.13,29.14,29.13,29.13,29.14,29.14
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,9.49,9.36,9.16,8.6,8.07,7.42,6.85,6.3,5.79,5.18,4.94,4.79,4.18,4.07,4.22,3.42
Diluted EPS,9.55,9.35,9.07,8.53,8.01,7.37,6.77,6.24,5.73,5.15,4.87,4.74,4.14,4.02,4.16,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
