Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Capital Goods,Non-Current Investments,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,20.0,20.0,8.01,8.01,28.01,0.0,0.0,1.51,0.0,0.0,63.79,4.34,68.13,97.65,18.83,0.0,1.21,0.0,20.04,0.0,0.0,0.54,20.58,1.74,12.94,42.56,16.91,2.92,77.07,97.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,20.0,20.0,12.1,12.1,32.1,0.0,0.0,0.58,0.0,0.0,76.91,8.0,84.91,117.59,17.75,0.0,0.62,0.0,18.37,0.0,0.0,0.31,18.68,3.73,13.71,55.76,23.67,2.04,98.91,117.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.0,20.0,27.32,27.32,47.32,0.0,0.0,2.37,0.0,0.0,194.64,15.05,209.69,259.38,20.19,0.0,0.67,0.0,20.86,0.0,0.0,0.1,20.96,7.2,82.55,103.48,40.58,4.61,238.42,259.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,20.0,20.0,42.96,42.96,62.96,0.0,0.0,1.86,0.0,0.0,265.41,26.01,291.42,356.24,25.51,0.0,1.63,0.0,27.14,0.0,0.0,0.0,27.15,5.97,121.59,122.97,76.8,1.76,329.09,356.24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,20.0,20.0,58.85,58.85,78.85,0.0,0.0,2.59,0.0,0.0,323.9,39.2,363.1,444.54,37.0,0.0,0.91,0.0,37.91,0.0,0.0,0.0,37.91,5.73,192.07,116.77,85.54,6.52,406.63,444.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,20.0,20.0,94.46,94.46,114.46,0.0,0.0,1.87,0.0,0.0,383.35,75.12,458.47,574.79,42.13,0.0,9.96,0.0,52.08,0.0,0.0,0.0,54.59,5.19,239.72,137.33,133.48,4.48,520.21,574.79,62.68,0.0,0.0,0.0,2.5,0.0,2.5,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,20.0,20.0,142.76,142.76,162.76,0.0,0.0,0.0,0.0,0.0,478.53,55.6,534.13,696.89,80.7,0.0,7.6,0.0,88.3,0.94,0.0,0.0,91.74,7.79,232.32,198.0,162.31,4.72,605.15,696.89,15.23,0.29,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,20.0,20.0,191.41,191.41,211.41,0.0,0.0,0.0,0.0,0.0,467.2,82.75,549.95,761.36,75.64,0.0,16.36,0.0,92.0,0.0,0.0,0.0,92.0,6.21,261.64,246.11,146.98,8.42,669.35,761.36,6.95,0.25,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,20.0,20.0,226.7,226.7,246.7,85.46,17.06,102.51,0.0,81.91,334.15,11.8,427.85,777.07,102.14,2.93,2.01,0.0,107.08,0.0,18.49,0.0,125.57,5.45,279.96,240.04,114.87,11.18,651.5,777.07,0.0,0.44,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,20.0,20.0,271.77,271.77,291.77,78.84,20.22,99.06,0.0,54.42,408.33,14.28,477.02,867.86,110.22,3.78,4.4,0.0,118.4,0.0,13.09,162.68,294.17,9.08,112.47,317.74,120.88,13.53,573.69,867.86,0.0,1.3,11.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,20.0,20.0,326.92,326.92,346.92,113.32,33.23,146.55,0.0,33.31,417.28,20.48,471.07,964.54,108.21,2.22,16.06,0.0,126.49,0.0,31.92,125.14,283.55,9.53,180.04,348.08,128.79,14.57,681.0,964.54,155.02,0.95,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,20.0,20.0,424.25,424.25,444.25,96.09,54.92,151.02,0.0,40.36,476.34,35.42,552.12,1147.39,140.37,14.95,16.48,0.0,171.8,0.0,19.25,102.8,293.85,9.54,148.98,354.08,326.83,14.11,853.54,1147.39,224.99,0.4,21.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,20.0,20.0,522.07,522.07,542.07,104.02,71.62,175.65,0.0,51.3,548.9,119.13,719.33,1437.05,147.43,11.18,14.19,0.0,172.8,0.0,28.59,90.61,292.01,8.26,162.11,617.88,323.35,33.44,1145.04,1437.05,247.88,0.31,35.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,40.0,40.0,738.34,738.34,778.34,112.06,77.97,190.04,0.0,137.18,719.87,1.21,858.26,1826.63,157.78,12.62,16.83,0.0,187.23,69.23,11.78,17.34,285.59,6.58,288.67,852.96,0.0,392.84,1541.05,1826.63,174.34,0.3,47.51,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,40.0,40.0,905.37,905.37,945.37,31.17,58.47,89.64,0.0,150.83,1110.95,3.28,1265.05,2300.06,155.64,6.56,7.65,27.62,197.48,63.62,2.06,12.99,276.15,7.41,550.92,833.87,8.99,622.72,2023.91,2300.06,258.07,0.33,37.59,20.0,0.0,10.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,160.0,160.0,911.02,911.02,1071.02,20.53,46.16,66.69,0.0,193.13,1249.64,13.75,1456.52,2594.24,147.05,7.55,40.38,27.66,222.63,81.72,2.39,22.95,329.7,7.89,587.45,1140.04,8.35,520.81,2264.54,2594.24,224.01,0.67,33.54,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,160.0,160.0,1167.82,1167.82,1327.82,86.85,48.88,135.73,0.0,169.54,1585.64,31.11,1786.29,3249.84,251.66,4.34,16.21,27.39,299.6,65.72,0.18,26.34,391.85,9.76,789.41,1296.43,11.89,750.5,2857.99,3249.84,235.92,0.47,43.32,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,160.0,160.0,1306.95,1306.95,1466.95,88.75,72.57,161.31,0.0,180.31,1346.62,10.85,1537.78,3166.04,275.93,6.69,24.3,27.34,334.26,71.89,0.19,34.76,441.1,6.54,540.05,1460.5,11.25,706.6,2724.94,3166.04,206.57,0.01,9.85,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,160.0,160.0,1723.88,1723.88,1883.88,114.31,54.35,168.66,21.49,678.6,1056.14,28.4,1784.63,3837.18,303.09,5.36,26.17,26.96,361.59,94.73,0.0,49.81,506.13,7.93,572.64,1731.57,103.05,915.86,3331.04,3837.18,307.6,0.01,19.37,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,160.0,160.0,2318.4,2318.4,2478.4,113.55,105.44,218.99,0.0,852.15,1511.63,27.58,2391.37,5088.76,321.62,2.73,33.79,26.58,384.72,130.55,0.0,220.84,736.11,9.61,1142.91,1933.73,208.81,1057.58,4352.65,5088.76,485.91,0.47,27.37,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,160.0,160.0,3069.97,3069.97,3229.97,113.61,116.1,229.7,0.0,997.41,1603.62,30.41,2631.43,6091.1,313.34,3.22,442.52,26.21,785.28,141.22,0.0,35.43,961.93,10.97,1374.34,2262.65,257.5,1223.72,5129.17,6091.1,307.41,1.88,36.06,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
