Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,Capital Goods
2011-03-31,2.9,2.9,217.8,217.8,220.7,0.0,38.8,1.2,50.1,145.0,28.0,56.5,3.8,233.3,504.1,387.6,0.0,0.9,0.0,0.0,388.5,0.0,0.0,0.0,427.7,2.6,6.3,38.4,5.9,16.8,76.4,504.1,137.0,12.0,0.0,300.8,0.0,0.0,0.0,2.6,10.1,39.2,6.4,38.5,23.5
2012-03-31,24.1,24.1,272.7,272.7,296.8,4.2,56.0,1.2,69.6,92.6,64.3,56.6,6.7,220.2,586.6,383.0,0.0,10.8,0.0,0.0,393.8,0.1,0.0,5.1,448.7,0.0,14.9,43.4,37.7,34.5,137.9,586.6,144.0,10.1,0.0,391.8,20.88,0.1,0.0,0.0,8.2,49.7,7.4,59.3,42.7
2013-03-31,26.1,26.1,492.5,492.5,518.6,0.0,47.3,2.8,56.6,0.0,82.7,57.5,8.8,149.0,724.2,381.0,0.0,8.8,0.0,0.0,389.8,0.1,0.0,11.0,487.2,69.1,17.9,76.6,11.8,45.6,237.0,724.2,163.2,17.8,0.0,531.5,20.88,0.1,0.0,69.1,6.5,86.3,16.0,62.0,26.7
2014-03-31,26.1,26.1,633.2,633.2,659.3,0.0,58.3,5.8,69.2,154.9,76.6,221.2,9.7,462.4,1190.9,394.1,0.0,45.3,0.0,0.0,439.4,0.1,0.0,14.3,556.9,352.0,14.9,94.3,91.6,54.3,634.0,1190.9,220.2,15.9,0.0,684.8,20.88,0.1,0.0,352.0,5.1,103.1,26.9,81.9,54.0
2015-03-31,199.1,199.1,645.8,645.8,844.9,18.6,64.7,13.2,101.4,136.4,69.2,260.2,9.4,475.2,1421.5,497.6,5.7,105.1,0.0,0.0,608.4,0.0,0.0,113.1,835.7,146.0,38.4,179.9,115.7,72.0,585.8,1421.5,319.9,26.9,0.0,816.8,192.81,0.0,0.0,146.0,4.9,114.2,33.8,119.5,94.3
2016-03-31,199.2,199.2,853.6,853.6,1052.8,725.2,52.6,18.1,800.7,165.8,74.4,276.4,19.4,536.0,2389.5,574.3,5.9,236.8,0.0,0.0,817.0,0.0,0.0,81.8,1041.1,276.4,37.7,185.2,719.9,97.3,1348.4,2389.5,268.1,31.2,0.01,1057.9,192.81,0.0,0.0,276.4,4.8,142.3,31.9,136.9,102.7
2017-03-31,200.0,200.0,1213.1,1213.1,1413.1,689.8,51.7,19.9,761.4,97.2,102.5,387.2,13.4,600.3,2774.8,794.4,16.0,174.9,0.0,0.0,985.3,0.0,63.7,201.7,1250.7,540.4,32.2,198.7,527.3,225.5,1524.1,2774.8,255.7,384.8,0.0,1140.7,192.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,200.0,200.0,1520.1,1520.1,1720.1,585.5,70.5,29.0,685.0,78.1,203.4,488.3,13.5,783.3,3188.4,1012.1,18.3,155.4,0.0,0.0,1185.8,0.3,72.4,210.6,1469.1,157.7,86.0,266.8,966.5,242.3,1719.3,3188.4,543.1,407.1,0.0,1282.8,192.81,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,200.0,200.0,1767.2,1767.2,1967.2,346.6,222.5,37.4,606.5,190.7,223.5,693.4,21.0,1128.6,3702.3,1322.7,14.1,273.7,0.0,40.0,1650.5,0.3,91.5,197.4,1939.7,716.0,43.4,338.7,435.4,229.1,1762.6,3702.3,768.9,618.8,0.0,1641.3,192.81,0.3,0.0,660.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,400.0,400.0,1774.1,1774.1,2174.1,0.0,407.0,40.9,447.9,308.9,222.8,966.8,41.5,1540.0,4162.0,1963.0,20.7,234.1,0.0,36.0,2253.8,38.3,122.7,135.8,2550.6,738.4,25.2,398.2,280.3,169.3,1611.4,4162.0,646.0,528.7,0.0,1847.6,392.81,38.3,0.0,721.3,0.0,0.0,0.0,0.0,0.0
