Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,51.38,0.05,51.43,3.45,1.32,7.64,3.22,4.92,2.16,24.88,3.84,2.04,5.88,0.58,5.3,0.0,5.3,0.35,4.95,4.95,17.4,2.84,2.84,0.78,45.04,0.96,100.0,54.96
2013-03-31,47.91,0.04,47.95,1.37,0.91,6.67,2.75,3.83,10.59,22.73,-0.9,5.72,4.82,0.61,4.21,0.0,4.21,1.89,2.32,2.32,17.4,1.33,1.33,0.78,45.04,0.96,100.0,54.96
2013-06-30,35.78,0.03,35.81,0.46,2.29,7.02,0.7,2.21,2.11,19.28,1.74,1.39,3.13,0.5,2.63,0.0,2.63,0.8,1.83,1.83,17.4,1.05,1.05,0.78,45.04,0.96,100.0,54.96
2013-09-30,45.45,0.08,45.53,0.7,0.24,8.71,0.69,1.49,3.36,28.41,1.93,2.38,4.31,0.85,3.46,0.0,3.46,0.97,2.49,2.49,17.4,1.43,1.43,0.74,42.45,1.0,100.0,57.55
2013-12-31,42.89,0.13,43.02,0.85,1.13,8.33,0.69,2.17,4.38,24.15,1.32,0.66,1.98,0.61,1.37,0.0,1.37,0.35,1.02,1.02,17.4,0.59,0.59,0.72,41.45,1.02,100.0,58.55
2014-03-31,43.22,0.13,43.35,0.46,1.06,5.75,0.73,2.13,-4.67,19.95,17.94,1.54,19.48,0.82,18.66,-8.86,9.8,3.05,6.75,6.75,17.4,3.88,3.88,0.71,40.86,1.03,100.0,59.14
2014-06-30,42.19,0.12,42.31,0.33,0.5,7.36,0.79,2.43,2.14,25.61,3.15,1.4,4.55,0.11,4.44,0.0,4.44,1.08,3.36,3.36,17.4,1.93,1.93,0.71,40.86,1.03,100.0,59.14
2014-09-30,41.13,0.07,41.2,0.22,-0.26,6.78,1.25,3.09,3.05,26.2,0.87,1.92,2.79,0.16,2.63,0.0,2.63,0.55,2.08,2.08,17.4,1.2,1.2,0.71,40.86,1.03,100.0,59.14
2014-12-31,39.19,0.02,39.21,0.33,-0.62,7.01,0.97,3.49,2.87,23.52,1.64,0.28,1.92,0.14,1.78,0.0,1.78,0.49,1.29,1.29,17.4,0.74,0.74,0.71,40.86,1.03,100.0,59.14
2015-03-31,59.13,0.03,59.16,1.16,-2.37,8.43,26.8,1.79,2.45,15.14,5.76,3.46,9.22,0.1,9.12,-2.61,6.51,-2.44,8.95,8.95,17.4,8.15,8.15,0.71,40.86,1.03,100.0,59.14
2015-06-30,51.95,0.02,51.97,0.13,1.02,8.8,1.04,2.13,3.21,32.67,2.97,0.8,3.77,0.11,3.66,0.0,3.66,1.03,2.63,2.63,17.4,1.51,1.51,0.71,40.86,1.03,100.0,59.14
2015-09-30,55.75,0.05,55.8,0.25,1.04,11.41,1.81,4.2,3.16,32.27,1.66,2.08,3.74,0.18,3.56,0.0,3.56,0.97,2.59,2.59,17.4,1.49,1.49,0.71,40.86,1.03,100.0,59.14
2015-12-31,53.82,0.04,53.86,1.05,1.42,11.34,2.05,4.99,5.9,24.94,2.17,2.08,4.25,0.03,4.22,0.0,4.22,0.93,3.29,3.29,17.4,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2016-03-31,53.14,0.07,53.21,0.95,0.35,8.81,0.36,6.0,1.58,32.13,3.03,4.96,7.99,0.04,7.95,-9.6,-1.65,-0.69,-0.96,-0.96,17.4,-0.55,-0.55,0.0,0.0,0.0,0.0,0.0
2016-06-30,48.26,0.07,48.33,1.07,-1.13,8.91,1.01,4.57,4.97,26.17,2.76,0.84,3.6,0.08,3.52,0.0,3.52,1.76,1.76,1.76,17.4,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2016-09-30,47.82,0.08,47.9,0.66,0.07,8.98,1.71,4.74,3.24,29.36,-0.86,3.21,2.35,0.04,2.31,0.0,2.31,1.16,1.15,1.15,17.4,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2016-12-31,54.19,0.04,54.23,0.0,0.14,9.57,1.06,9.1,2.68,30.37,1.31,0.99,2.3,0.08,2.22,0.0,2.22,1.12,1.1,1.1,17.4,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2017-03-31,57.67,0.03,57.7,2.26,-8.0,10.98,0.15,5.07,4.7,40.98,1.56,6.52,8.08,0.07,8.01,0.0,8.01,4.31,3.7,3.7,17.4,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2017-06-30,62.04,0.0,62.04,3.55,0.22,10.19,0.93,6.02,4.22,31.48,5.43,2.0,7.43,0.66,6.77,0.0,6.77,3.47,3.3,3.3,17.4,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2017-09-30,84.46,0.0,84.46,22.96,-7.49,12.65,0.97,8.29,5.37,35.21,6.5,3.32,9.82,0.81,9.01,0.0,9.01,4.55,4.46,4.46,17.41,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2017-12-31,93.74,0.0,93.74,0.0,-19.87,16.58,0.96,9.81,6.13,76.48,3.65,1.45,5.1,0.89,4.21,0.0,4.21,2.91,1.3,1.3,17.41,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2018-03-31,105.37,0.0,105.37,0.0,-10.22,9.21,0.93,15.98,5.6,69.18,14.69,7.45,22.14,1.01,21.13,0.0,21.13,-0.32,21.45,21.45,17.41,12.33,12.31,0.0,0.0,0.0,0.0,0.0
2018-06-30,111.28,0.0,111.28,0.0,11.73,11.26,0.87,22.19,4.47,88.54,-27.78,43.11,15.33,1.52,13.81,0.0,13.81,5.22,8.59,8.59,17.41,4.93,4.93,0.0,0.0,0.0,0.0,0.0
2018-09-30,138.42,0.0,138.42,0.0,-31.16,8.26,0.86,26.31,1.6,109.82,22.73,2.27,25.0,1.69,23.31,0.0,23.31,8.35,14.96,14.96,17.41,8.59,8.58,0.0,0.0,0.0,0.0,0.0
2018-12-31,150.64,0.0,150.64,0.0,-13.16,12.95,0.87,27.28,0.78,103.49,18.43,2.32,20.75,1.46,19.29,0.0,19.29,7.01,12.28,12.28,17.41,7.06,7.05,0.0,0.0,0.0,0.0,0.0
2019-03-31,124.03,0.0,124.03,0.0,-12.61,11.59,0.41,24.14,6.1,78.5,15.9,11.84,27.74,1.88,25.86,0.0,25.86,9.76,16.1,16.1,17.41,9.25,9.24,0.0,0.0,0.0,0.0,0.0
2019-06-30,120.83,0.0,120.83,0.0,4.9,12.54,1.13,29.59,4.09,67.9,0.68,3.18,3.86,1.9,1.96,0.0,1.96,1.46,0.5,0.5,17.42,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2019-09-30,150.18,0.0,150.18,0.0,-6.55,11.56,1.1,30.08,0.0,93.89,20.1,2.92,23.02,2.01,21.01,0.0,21.01,4.57,16.44,16.44,17.42,9.43,9.43,0.0,0.0,0.0,0.0,0.0
