Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Long Term Borrowings,Capital Work-In-Progress,"Stores, Spares And Loose Tools",Equity Share Application Money,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods,Capital Goods
2004-03-31,9.34,9.34,4.25,32.23,36.48,0.0,45.83,0.0,0.0,0.0,0.75,20.82,89.07,9.07,13.05,132.01,178.59,42.21,0.31,0.0,0.0,42.6,57.57,0.0,0.0,100.17,0.0,9.9,27.13,5.82,35.56,0.0,78.42,178.59,10.93,2.07,0.65,1.73,0.18,5.37,57.08,0.0,0.0,0.0,0.75,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,9.34,9.34,3.99,37.45,41.43,0.0,50.77,0.0,0.0,0.0,0.7,16.4,86.97,8.21,7.0,118.57,170.07,39.08,0.31,0.0,0.0,41.53,50.37,0.0,0.0,91.91,0.0,9.82,26.16,7.7,34.49,0.0,78.17,170.07,10.82,4.06,0.88,2.44,0.18,2.02,49.88,0.0,0.0,0.0,0.7,2.14,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,14.67,14.67,3.88,64.98,68.86,0.0,83.54,0.0,0.0,0.0,1.21,0.14,79.92,7.29,8.96,96.3,181.04,37.72,0.44,0.0,0.0,39.71,59.99,0.0,0.0,99.69,0.0,9.41,26.44,7.25,38.25,0.0,81.35,181.04,11.52,5.67,1.51,4.2,0.18,38.46,40.5,0.0,0.0,0.0,1.21,1.55,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,14.68,14.68,30.79,72.0,102.79,0.0,117.47,0.0,0.0,0.0,0.95,4.01,53.73,16.13,19.78,93.64,212.06,83.37,1.26,0.0,0.0,87.02,53.16,0.0,0.0,140.18,0.0,17.26,13.65,6.91,34.06,0.0,71.88,212.06,15.41,6.83,1.31,9.4,0.18,63.3,12.95,0.0,0.0,0.0,0.95,2.39,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,14.68,14.68,30.73,78.22,108.95,0.0,123.63,0.0,0.0,0.0,0.55,15.03,51.26,11.66,15.73,93.68,217.86,82.11,5.65,0.0,0.0,88.19,43.88,0.0,2.8,134.87,0.0,20.97,26.21,5.21,30.6,0.0,82.99,217.86,9.75,7.37,0.61,5.0,0.18,67.91,3.67,0.0,0.0,0.0,0.55,0.43,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,14.68,14.68,30.67,79.6,110.27,0.0,124.94,0.0,0.0,0.0,10.7,39.16,43.47,11.21,11.84,105.69,241.33,79.74,5.1,0.0,0.0,84.95,44.24,0.0,1.27,130.46,0.0,16.16,22.29,7.81,64.6,0.0,110.86,241.33,11.49,3.8,0.29,5.62,0.18,33.23,4.03,0.0,0.0,0.0,10.7,0.11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,17.4,17.4,30.61,105.43,136.04,0.0,153.45,0.0,0.0,0.0,17.68,29.78,37.6,8.56,14.07,90.01,261.13,76.82,5.27,0.0,0.0,82.16,41.68,0.0,0.0,123.84,0.0,11.53,16.03,6.94,102.8,0.0,137.29,261.13,12.91,1.13,0.26,5.57,0.18,59.73,1.47,0.0,0.0,0.0,17.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,17.4,17.4,30.56,111.78,142.34,0.0,159.74,0.0,0.18,1.32,10.11,35.25,37.14,25.31,11.61,109.31,279.16,78.83,19.18,0.0,0.0,98.01,41.68,1.83,0.0,146.28,0.0,11.53,26.02,17.47,77.87,0.0,132.88,279.16,32.75,1.44,0.11,7.29,0.18,48.32,11.78,0.0,0.0,4.76,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,17.4,17.4,30.53,110.38,140.91,0.0,158.32,0.0,0.18,1.32,1.55,39.15,30.23,22.93,14.29,106.6,266.46,79.15,11.6,0.0,0.0,90.76,41.68,2.07,0.0,135.17,0.0,11.66,30.57,40.07,48.8,0.2,131.29,266.46,34.26,1.18,0.07,5.84,0.18,42.33,11.78,0.0,0.0,0.66,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,17.4,17.4,30.5,118.21,148.71,0.0,166.11,0.0,0.18,1.33,1.51,11.63,26.02,13.39,20.85,71.9,239.53,79.08,5.83,0.0,0.0,84.91,41.68,2.19,0.0,134.28,0.0,6.83,38.17,17.43,42.49,0.33,105.25,239.53,16.75,0.47,0.04,16.97,0.18,41.2,11.78,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
