Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital
2011-03-31,481.71,1069.71,443.55,2457.67,2901.21,3970.93,66844.74,3076.56,2549.99,76442.22,3846.0,203.35,22491.08,46880.77,666.79,2354.22,76442.22,1536.0,13941.0,13.35,8.02,5.33,1173.7,2.0,618.95,1.32,1.0,3538.05,16516.55,588.0
2012-03-31,589.59,1177.59,375.03,3170.04,3545.07,4722.66,76528.65,3824.75,2941.33,88017.39,4535.48,1208.78,22911.36,56059.76,600.65,2701.35,88017.39,1589.0,13819.0,12.43,8.31,4.12,1297.03,2.0,469.57,0.84,1.0,3817.36,20833.48,588.0
2013-03-31,661.48,1249.48,1120.26,4027.21,5147.46,6396.94,94336.93,12877.49,3341.45,116952.81,5265.29,907.55,31430.31,75470.78,1429.47,2449.39,116952.81,1728.0,14401.0,12.59,7.57,5.02,1137.55,1.0,392.93,0.52,1.0,5266.58,26910.75,588.0
2014-03-31,839.1,1427.1,1065.58,4875.47,5941.05,7368.14,116803.09,8326.47,3822.35,136320.05,5991.39,110.91,37249.58,88920.4,1446.01,2601.76,136320.05,1890.0,14396.0,10.79,7.44,3.35,2859.85,3.0,1807.32,2.03,2.0,5651.93,28187.16,588.0
2015-03-31,1063.18,1063.18,1378.13,5626.02,7004.15,8067.33,122118.94,11126.72,4705.79,146018.79,6652.75,100.36,36714.79,98599.1,1432.17,2519.61,146018.79,1880.0,14189.0,11.94,8.76,3.18,6402.06,6.0,4126.57,4.19,4.0,6727.14,34340.61,0.0
2016-03-31,1168.33,1168.33,1295.78,6323.03,7618.81,8787.14,138989.82,9228.1,3952.26,160957.32,8382.29,937.86,36230.87,107562.67,1694.42,6149.22,160957.32,1895.0,13765.0,11.2,9.02,2.18,10385.85,9.0,6832.03,6.4,6.0,7910.19,33727.87,0.0
2017-03-31,1168.33,1168.33,1206.46,5004.73,6211.19,7379.52,139052.84,8136.65,4754.97,159323.98,15274.72,1367.3,38590.18,95515.23,1586.08,6990.47,159323.98,1880.0,12974.0,11.18,9.01,2.17,17188.72,17.0,11229.56,11.76,12.0,4021.47,0.0,0.0
2018-03-31,2598.45,2598.45,0.0,7345.51,7345.51,9943.96,138981.18,4063.71,3339.89,156328.75,15809.06,74.9,43622.8,85797.28,1516.68,9508.03,156328.75,1846.0,12932.0,11.0,9.0,2.0,18433.23,19.0,9641.19,11.24,11.0,4196.85,0.0,0.0
2019-03-31,2753.17,2753.17,1373.1,1613.17,2986.27,5739.44,140650.09,10149.17,7996.83,164535.53,7919.99,1234.92,59697.05,82666.21,1775.53,11241.84,164535.53,1832.0,12913.0,11.86,9.88,1.98,15324.49,16.0,4559.33,5.52,6.0,4390.31,27054.54,0.0
2020-03-31,5824.11,5824.11,1264.52,3666.65,4931.17,10755.28,150066.4,3670.03,4375.47,168867.18,10353.68,93.28,57740.85,86871.65,1676.19,12131.52,168867.18,1833.0,12532.0,13.52,10.67,2.85,12152.15,13.0,4145.38,4.77,5.0,7037.69,29491.85,0.0
2021-03-31,6560.16,6560.16,1172.62,4400.4,5573.02,12133.18,174005.62,4238.75,6287.46,196665.01,12882.48,59.25,68111.64,102405.17,1674.0,11532.47,196665.01,1915.0,13128.0,14.49,10.97,3.52,7779.68,7.0,2544.32,2.48,2.0,4988.84,31127.72,0.0
2022-03-31,6730.5,6730.5,0.0,7490.9,7490.9,14221.4,202294.29,7746.74,6348.94,230611.37,19721.93,194.05,68589.97,131170.44,2241.66,8693.32,230611.37,0.0,0.0,16.85,0.0,0.0,5327.21,4.0,1276.57,0.97,1.0,0.0,0.0,0.0
2023-03-31,6730.5,6730.5,0.0,8879.77,8879.77,15610.27,234082.68,10765.66,7192.78,267651.39,18507.72,21.19,68866.95,171220.67,2156.71,6878.15,267651.39,0.0,0.0,18.14,0.0,0.0,4334.0,2.0,435.18,0.25,1.0,0.0,0.0,0.0
2024-03-31,7081.37,7081.37,0.0,12592.53,12592.53,19673.9,270747.17,7718.86,8997.93,307137.86,21161.34,9150.32,68274.12,200239.88,2209.6,6102.6,307137.86,0.0,0.0,17.38,0.0,0.0,3833.05,1.88,408.99,0.2,1.5,0.0,0.0,0.0
2025-03-31,7691.56,7691.56,0.0,20797.71,20797.71,28489.27,307142.6,23852.51,9657.77,369142.15,37992.99,4201.87,82004.79,236083.8,2915.59,5943.11,369142.15,0.0,0.0,20.53,0.0,0.0,4184.52,1.74,431.78,0.18,1.75,0.0,0.0,0.0
