Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-06-30,219.1,0.0,219.1,0.0,0.0,125.1,33.2,0.0,149.5,-88.7,20.5,-68.2,1.6,-69.8,-8.9,-78.7,0.0,-78.7,-78.7,0.03,-2623.33,-0.16
2020-09-30,376.0,0.0,376.0,0.0,0.0,119.9,33.0,0.0,364.0,-140.9,20.7,-120.2,1.6,-121.8,-188.4,-310.2,0.0,-310.2,-310.2,0.03,-10006.45,-0.63
2020-12-31,448.86,78.04,526.89,0.0,0.0,168.83,32.27,0.0,406.51,-80.71,29.92,-50.79,1.53,-52.32,-336.29,-388.61,0.0,-388.61,-388.61,0.03,-12535.77,0.0
2021-03-31,591.9,0.0,591.9,0.0,0.0,164.6,30.4,215.8,334.0,-152.9,60.8,-92.1,3.2,-95.3,-13.2,-108.5,0.0,-108.5,-108.5,0.03,-3500.0,-0.18
2021-06-30,757.9,0.0,757.9,0.0,0.0,350.3,31.9,302.5,432.2,-359.0,70.4,-288.6,1.8,-290.4,-0.4,-290.8,0.0,-290.8,-290.8,638.11,-0.46,-0.46
2021-09-30,897.1,0.0,897.1,0.0,0.0,378.2,33.4,390.6,589.5,-494.6,135.0,-359.6,1.2,-360.8,-53.4,-414.2,0.0,-414.2,-414.2,756.54,-0.57,-0.57
2021-12-31,941.2,0.0,941.2,0.0,0.0,372.3,34.0,261.1,742.5,-468.7,145.1,-323.6,1.1,-324.7,225.4,-99.3,0.0,-99.3,-99.3,763.8,-0.13,-0.13
2022-03-31,1014.8,0.0,1014.8,0.0,0.0,378.2,34.1,272.9,768.1,-438.5,147.0,-291.5,1.4,-292.9,-0.6,-293.5,0.2,-293.7,-293.7,764.29,-0.38,-0.38
2022-06-30,1131.5,0.0,1131.5,0.0,0.0,319.4,37.6,277.8,804.0,-307.3,172.8,-134.5,3.6,-138.1,0.0,-138.1,0.0,-138.1,-138.1,765.2,-0.18,-0.18
2022-09-30,1177.9,0.0,1177.9,0.0,0.0,297.4,40.9,272.7,748.5,-181.6,197.6,16.0,4.2,11.8,0.0,11.8,0.1,11.7,11.7,833.7,0.01,0.01
2022-12-31,1191.2,0.0,1191.2,0.2,-0.1,284.0,40.0,293.2,732.7,-158.8,225.1,66.3,4.5,61.8,0.0,61.8,0.2,61.6,61.6,835.8,0.07,0.07
2023-03-31,1206.8,0.0,1206.8,0.5,-0.2,215.7,21.8,250.4,736.3,-17.7,204.0,186.3,4.6,181.7,0.0,181.7,0.0,181.7,181.7,836.4,0.22,0.2
2023-06-30,1420.0,0.0,1420.0,0.0,0.0,202.0,18.0,283.0,822.0,95.0,186.0,281.0,5.0,276.0,0.0,276.0,0.0,276.0,276.0,840.0,0.33,0.31
2023-09-30,1596.0,0.0,1596.0,1.0,0.0,253.0,17.0,303.0,932.0,90.0,229.0,319.0,4.0,315.0,0.0,315.0,0.0,315.0,315.0,845.0,0.37,0.35
2023-12-31,1782.0,0.0,1782.0,4.0,-1.0,251.0,19.0,0.0,1355.0,154.0,236.0,390.0,5.0,385.0,0.0,385.0,1.0,384.0,384.0,857.0,0.45,0.43
2024-03-31,1824.0,0.0,1824.0,0.0,1.0,259.0,19.0,330.0,1045.0,170.0,269.0,439.0,4.0,435.0,-39.0,396.0,0.0,396.0,396.0,868.0,0.46,0.44
2024-06-30,2048.0,0.0,2048.0,0.0,0.0,282.0,19.0,0.0,1549.0,198.0,279.0,477.0,4.0,473.0,-3.0,470.0,0.0,470.0,470.0,870.0,0.54,0.52
2024-09-30,2151.0,0.0,2151.0,0.0,0.0,311.0,22.0,0.0,1586.0,232.0,269.0,501.0,4.0,497.0,0.0,497.0,76.0,421.0,421.0,872.0,0.48,0.47
2024-12-31,2226.0,0.0,2226.0,0.0,0.0,333.0,27.0,0.0,1599.0,267.0,311.0,578.0,4.0,574.0,0.0,574.0,80.0,494.0,494.0,906.0,0.56,0.54
2025-03-31,2192.0,0.0,2192.0,0.0,0.0,340.0,29.0,389.0,1174.0,260.0,401.0,661.0,4.0,657.0,-8.0,649.0,74.0,575.0,575.0,907.0,0.63,0.61
