Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Employees Stock Options,Equity Share Application Money,Short Term Borrowings,Capital Work-In-Progress,Expenditure In Foreign Currency,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,0.02,0.02,9.68,9.68,9.71,0.0,0.0,0.01,0.05,0.06,0.11,0.46,0.0,0.58,10.34,0.72,0.06,0.0,0.78,0.0,0.29,0.02,1.09,0.0,0.0,0.55,8.37,0.32,0.01,9.25,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,0.03,0.03,56.46,56.46,56.49,0.0,0.0,0.0,0.17,0.17,0.93,0.66,0.0,1.6,58.26,1.4,0.3,0.0,1.7,5.0,0.34,16.27,23.31,15.01,0.35,1.54,16.68,1.31,0.05,34.95,58.26,0.0,0.0,0.0,5.0,0.0,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,0.03,0.11,233.08,233.08,233.18,0.0,0.0,0.51,0.38,0.89,3.42,3.42,0.01,6.88,240.95,3.08,0.43,0.0,3.71,3.28,3.88,0.0,10.87,176.45,0.0,2.2,49.12,2.1,0.22,230.09,240.95,0.0,9.45,0.0,3.28,0.0,176.45,0.08,0.0,0.0,0.03,0.2,31.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.03,0.14,512.53,512.53,512.67,0.0,0.0,2.09,0.9,2.99,8.35,9.83,0.05,18.27,683.12,13.53,0.45,0.0,16.09,469.69,3.97,0.21,489.97,164.24,0.0,8.95,13.03,6.93,0.0,193.16,683.12,0.0,33.01,0.0,469.69,0.0,164.24,0.11,0.0,149.19,0.03,2.1,48.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,0.03,0.03,1172.31,1172.31,1244.77,174.38,0.0,2.53,5.71,8.24,52.05,31.5,1.73,85.28,1512.66,3.72,0.48,0.54,5.48,417.59,0.0,50.69,473.77,819.66,0.0,19.05,146.65,0.02,53.52,1038.9,1512.66,0.07,0.0,0.0,417.59,0.0,0.0,0.0,72.43,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,0.03,0.03,2792.09,2792.09,2964.52,243.72,0.0,48.96,10.94,59.9,315.63,228.11,2.29,546.03,3814.16,34.32,0.13,0.42,35.19,664.24,0.0,10.33,709.76,2134.25,0.0,62.66,152.51,4.16,750.83,3104.41,3814.16,0.0,0.0,0.0,664.24,0.0,0.0,0.0,172.4,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,0.03,0.03,601.41,601.41,601.44,252.4,0.0,1456.06,12.87,1468.93,256.8,400.83,4.95,662.57,2985.35,93.39,1486.12,0.77,1580.28,200.31,0.0,22.7,1803.29,323.92,0.0,132.72,279.38,31.02,415.03,1182.06,2985.35,2.0,0.0,0.0,200.31,0.0,323.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.03,0.03,7754.5,7754.5,7754.53,454.93,0.0,46.69,19.73,66.41,274.07,193.45,4.85,472.37,8748.24,57.54,1392.97,0.13,1450.64,311.74,0.0,3009.91,4772.29,2194.11,0.0,123.71,765.18,40.0,852.95,3975.95,8748.24,92.94,0.0,0.0,311.74,0.0,2194.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,764.3,764.3,16002.9,16002.9,16767.2,0.0,0.0,18.4,52.0,70.4,393.7,252.9,16.5,663.1,17500.7,58.3,1289.2,0.0,1347.5,3535.6,0.0,5280.8,10163.9,1600.8,0.0,166.9,1464.7,375.0,3729.4,7336.8,17500.7,97.1,0.0,210.2,3066.7,0.0,1600.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,836.4,836.4,19970.4,19970.4,20806.8,0.0,0.0,126.1,57.0,183.1,366.0,549.6,21.4,937.0,21926.9,192.6,1209.7,0.0,1402.3,8861.9,958.0,1961.2,13183.4,3832.5,0.3,62.2,398.3,0.0,4450.2,8743.5,21926.9,0.0,0.0,211.5,0.0,0.0,3832.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
