Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,750.16,676.43,610.62,790.27,856.33,777.22,808.34,866.15,830.62,782.01,804.98,806.05,681.57,647.88,734.89,1116.71,836.73,683.41,467.84,853.81,890.61,723.73,734.9,612.61,577.0,681.41,573.32,509.71,473.42,429.09,375.36,442.93,325.01,338.89,341.82,301.82,368.37,449.44,391.39,488.54,398.33,390.64,435.49,494.83,420.4,465.18,443.19,513.47,604.77,667.73
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,750.16,676.43,610.62,790.27,856.33,777.22,808.34,866.15,830.62,782.01,804.98,806.05,681.57,647.88,734.89,1116.71,836.73,683.41,467.84,853.81,890.61,723.73,734.9,612.61,577.0,681.41,573.32,509.71,473.42,429.09,375.36,442.93,325.01,338.89,341.82,301.82,368.37,449.44,391.39,488.54,398.33,390.64,435.49,494.83,420.4,465.18,443.19,513.47,604.77,667.73
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,249.89,247.39,237.29,242.83,255.38,239.48,231.64,236.97,236.01,239.3,223.88,218.09,234.24,232.33,220.22,220.05,216.99,213.89,207.33,225.0,212.38,206.95,200.03,191.76,197.18,183.42,184.71,185.56,189.03,188.75,193.8,279.01,155.35,154.38,155.24,144.94,149.4,141.23,154.98,146.67,151.29,144.96,149.03,152.53,152.93,145.32,147.04,138.77,144.39,154.94
Depreciation,9.44,9.46,9.78,10.63,8.33,8.14,7.43,6.97,6.58,6.56,5.1,5.21,7.84,5.26,4.88,7.06,5.09,5.96,5.33,6.73,5.59,5.79,5.72,5.8,5.32,5.72,5.52,5.77,5.89,6.19,5.97,6.04,5.9,5.28,5.29,5.93,5.27,5.2,8.53,5.37,5.37,3.53,5.36,7.12,2.74,2.23,2.45,2.51,2.42,3.47
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,409.1,371.83,326.89,475.69,553.11,442.54,508.16,466.14,548.07,500.75,535.06,479.97,384.84,355.21,410.34,732.65,544.66,392.27,239.1,517.77,592.63,409.83,395.42,327.53,284.96,406.51,302.26,266.64,149.55,101.39,99.82,109.66,88.76,90.79,113.26,107.22,170.84,243.32,201.9,247.7,211.25,237.71,231.79,269.58,168.56,231.32,179.67,240.08,329.27,344.03
"P/L Before Other Inc. , Int., Excpt. Items & Tax",81.72,47.75,36.66,61.12,39.5,87.07,61.11,156.07,39.95,35.41,40.94,102.77,54.65,55.08,99.45,156.95,69.99,71.3,16.09,104.31,80.01,101.15,133.73,87.51,89.54,85.76,80.84,51.73,128.94,132.76,75.77,48.22,75.01,88.43,68.03,43.73,42.86,59.69,25.98,88.81,30.42,4.44,49.32,65.6,96.17,86.3,114.02,132.11,128.69,165.3
Other Income,37.05,52.95,37.7,56.12,29.24,46.63,92.62,49.27,25.73,66.87,27.24,47.71,38.18,28.37,22.47,43.99,47.97,53.26,49.66,68.51,65.7,65.54,58.29,59.6,51.86,61.43,52.2,47.9,39.3,46.65,45.62,57.11,55.86,56.1,54.59,67.98,61.19,60.89,57.73,79.91,61.68,83.93,69.29,76.79,108.36,82.81,68.04,105.25,66.93,70.99
"P/L Before Int., Excpt. Items & Tax",118.77,100.7,74.36,117.24,68.74,133.69,153.73,205.34,65.68,102.28,68.18,150.48,92.84,83.45,121.92,200.94,117.96,124.55,65.74,172.82,145.72,166.69,192.02,147.11,141.4,147.19,133.03,99.63,168.24,179.41,121.39,105.33,130.87,144.54,122.61,111.71,104.05,120.58,83.71,168.72,92.1,88.36,118.61,142.39,204.53,169.12,182.06,237.36,195.62,236.28
Interest,0.63,0.73,0.72,0.8,0.65,0.41,1.14,0.42,0.43,0.45,0.14,0.14,0.22,0.23,0.26,2.37,0.4,0.46,0.43,0.61,0.44,0.38,0.31,0.42,0.26,0.36,0.2,0.37,0.09,0.07,0.05,3.01,0.06,0.03,0.08,0.14,0.04,0.01,0.06,0.23,--,0.0,--,0.06,--,--,0.0,-0.12,--,0.12
P/L Before Exceptional Items & Tax,118.13,99.97,73.64,116.44,68.09,133.29,152.59,204.93,65.24,101.83,68.04,150.34,92.61,83.23,121.66,198.58,117.55,124.09,65.32,172.21,145.28,166.31,191.71,146.7,141.14,146.83,132.83,99.26,168.15,179.35,121.34,102.33,130.81,144.5,122.54,111.57,104.01,120.57,83.65,168.49,92.1,88.36,118.61,142.33,204.53,169.12,182.06,237.48,195.62,236.16
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-154.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,118.13,99.97,73.64,116.44,68.09,133.29,152.59,204.93,65.24,101.83,68.04,150.34,92.61,83.23,121.66,43.61,117.55,124.09,65.32,172.21,145.28,166.31,191.71,146.7,141.14,146.83,132.83,99.26,168.15,179.35,121.34,102.33,130.81,144.5,122.54,111.57,104.01,120.57,83.65,168.49,92.1,88.36,118.61,142.33,204.53,169.12,182.06,237.48,195.62,236.16
Tax,30.03,20.85,18.86,25.5,17.86,31.08,38.97,46.2,17.46,16.69,17.53,24.06,24.57,23.75,31.06,13.07,29.35,31.41,17.24,42.49,36.61,98.56,67.61,51.8,50.37,49.06,46.21,30.35,59.75,60.18,39.96,36.34,45.82,50.75,42.23,37.6,36.34,43.36,30.14,59.62,32.18,29.58,38.2,38.77,69.53,57.25,52.71,63.98,63.29,74.91
P/L After Tax from Ordinary Activities,88.1,79.12,54.78,90.94,50.22,102.2,113.62,158.72,47.78,85.14,50.51,126.29,68.04,59.47,90.61,30.54,88.2,92.68,48.08,129.72,108.67,67.75,124.1,94.9,90.77,97.77,86.62,68.92,108.4,119.17,81.38,65.99,84.99,93.75,80.3,73.98,67.67,77.21,53.51,108.87,59.92,58.79,80.4,103.55,135.0,111.86,129.35,173.5,132.33,161.25
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.82,--,--,--,--,--,--,--,--,--,--,--,7.2,--,-0.01
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,88.1,79.12,54.78,90.94,50.22,102.2,113.62,158.72,47.78,85.14,50.51,126.29,68.04,59.47,90.61,30.54,88.2,92.68,48.08,129.72,108.67,67.75,124.1,94.9,90.77,97.77,86.62,68.92,108.4,119.17,81.38,65.99,84.99,93.75,80.3,77.8,67.67,77.21,53.51,108.87,59.92,58.79,80.4,103.55,135.0,111.86,129.35,180.71,132.33,161.25
Equity Share Capital,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,281.02,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,315.96,336.94,336.94,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47,168.47
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.57,1.41,0.97,1.62,0.89,1.82,2.02,2.83,0.85,1.51,0.9,2.25,1.21,1.06,1.61,0.54,1.39,1.47,0.76,2.05,1.72,1.08,1.96,1.51,1.43,1.55,1.37,1.1,1.71,1.81,1.21,0.98,1.26,2.79,2.38,1.16,1.0,2.29,1.59,3.23,1.78,1.74,2.39,3.07,4.01,3.32,3.84,5.37,3.93,4.78
Diluted EPS,1.57,1.41,0.97,1.62,0.89,1.82,2.02,2.83,0.85,1.51,0.9,2.25,1.21,1.06,1.61,0.54,1.39,1.47,0.76,2.05,1.72,1.08,1.96,1.51,1.43,1.55,1.37,1.1,1.71,1.81,1.21,0.98,1.26,2.79,2.38,1.16,1.0,2.29,1.59,3.23,1.78,1.74,2.39,3.07,4.01,3.32,3.84,5.37,3.93,4.78
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.32,10.32,10.32,10.32,10.32,10.32,6.6,6.6,6.6,6.6,6.6,6.6
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30.63,30.63,30.63,30.63,30.63,30.63,19.59,19.59,19.59,19.59,19.6,19.6
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.37,23.37,23.37,23.37,23.37,23.37,27.09,27.09,27.09,27.09,27.09,27.09
