Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2009-12-31,63.72,63.72,265.81,265.81,329.53,2.35,0.0,0.0,2.35,0.0,48.36,6.0,5.02,59.38,391.27,56.76,0.0,10.86,0.0,67.62,169.09,0.0,0.0,239.51,0.0,67.27,50.73,7.54,26.21,0.0,151.75,391.27,33.42,12.37,104.98,4.98,32.33,138.69,0.0,0.0,0.0,2.8,27.32,0.0,0.0,1.39
2010-12-31,63.72,63.72,316.87,316.87,380.59,2.24,0.0,0.0,2.24,0.0,78.64,14.63,14.99,108.26,491.09,58.18,0.0,2.5,0.0,60.68,210.35,0.0,0.0,276.93,0.0,105.28,82.27,3.14,23.47,0.0,214.16,491.09,35.15,13.58,116.58,6.57,0.0,210.35,0.0,0.0,0.0,5.9,88.82,0.0,0.0,1.54
2012-03-31,63.72,63.72,249.4,249.4,313.13,0.0,1.2,7.37,8.56,14.78,97.39,18.71,6.77,137.64,459.33,79.49,0.16,10.22,0.0,89.88,0.03,12.55,0.0,105.15,65.87,147.58,109.35,11.78,12.95,6.64,354.18,459.33,35.47,54.94,197.39,7.96,0.0,0.03,27.73,38.84,0.0,2.69,109.94,3.67,62.44,29.0
2013-03-31,63.72,63.72,277.74,277.74,341.46,0.0,1.33,8.57,9.91,0.0,65.82,20.59,25.35,111.76,463.12,79.05,0.1,24.48,0.0,104.86,0.03,12.6,0.0,121.91,31.84,140.33,129.43,14.04,13.05,12.52,341.22,463.12,22.47,35.63,174.8,5.6,0.0,0.03,0.0,31.84,1.22,4.42,71.38,2.3,73.02,13.7
2014-03-31,67.99,67.99,314.34,314.34,382.32,0.0,1.6,7.35,8.96,3.24,73.02,22.14,10.01,108.41,499.69,95.12,1.4,25.57,0.0,122.08,0.03,16.29,0.0,142.91,23.32,136.76,148.57,20.15,20.17,7.82,356.78,499.69,23.96,35.85,234.13,3.8,0.0,0.03,0.0,23.32,0.0,4.5,52.81,2.1,88.15,9.81
2015-03-31,67.99,67.99,370.46,370.46,438.45,0.0,1.8,8.84,10.64,2.52,85.96,34.62,13.22,136.31,585.39,106.0,0.86,26.81,0.0,133.67,0.03,23.29,0.0,160.89,16.65,167.46,174.22,23.72,31.61,10.85,424.5,585.39,27.45,39.23,337.87,3.7,0.0,0.03,0.0,16.65,0.0,3.91,75.23,4.42,88.5,12.18
2016-03-31,67.99,67.99,462.04,462.04,530.03,0.0,1.82,3.04,4.86,4.31,113.0,29.28,20.84,167.42,702.31,136.8,0.37,21.01,0.0,158.23,0.03,2.77,37.46,201.93,38.36,185.94,192.95,33.38,0.18,49.58,500.38,702.31,84.01,248.4,0.0,361.2,0.0,0.03,0.0,38.36,0.05,3.44,0.0,0.0,0.0,0.0
2017-03-31,67.99,67.99,549.88,549.88,617.87,0.0,18.3,3.44,21.74,8.4,156.79,46.38,26.06,237.63,877.23,230.58,0.04,58.13,0.0,288.75,0.03,3.05,32.77,327.83,90.55,188.03,192.07,18.35,0.14,60.27,549.4,877.23,63.94,249.1,0.0,329.3,0.0,0.03,0.0,90.55,0.0,3.22,0.0,0.0,0.0,0.0
2018-03-31,67.99,67.99,634.34,634.34,702.33,2.18,22.46,3.03,27.67,15.94,196.57,23.32,13.05,248.87,978.88,250.98,0.12,53.83,0.0,304.93,0.03,3.33,22.61,330.9,55.17,245.45,223.18,26.78,0.09,97.31,647.98,978.88,39.68,334.8,0.0,346.7,0.0,0.03,0.0,55.17,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,75.21,75.21,1265.54,1265.54,1340.74,54.95,20.14,49.57,124.65,23.08,233.5,47.62,6.15,310.34,1775.74,438.23,356.37,63.51,0.0,858.1,0.03,6.29,35.14,899.56,175.72,317.08,301.89,24.0,0.13,57.36,876.18,1775.74,62.99,381.5,0.0,392.8,0.0,0.03,0.0,175.72,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,75.21,75.21,1501.46,1501.46,1576.67,37.7,27.22,50.23,115.15,19.96,215.69,45.85,7.11,288.61,1980.43,503.94,244.05,156.52,0.0,904.51,0.03,10.85,20.95,936.34,13.17,291.42,291.47,416.72,0.2,31.13,1044.09,1980.43,67.99,365.7,0.0,397.5,0.0,0.03,0.0,13.17,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,75.22,75.22,1268.29,1268.29,1343.51,32.29,25.04,50.38,107.71,32.69,335.45,63.41,5.72,437.27,1888.49,567.11,240.72,97.47,10.5,915.8,0.03,9.01,18.66,943.49,0.0,368.71,371.33,174.21,1.33,29.41,945.0,1888.49,36.42,314.0,0.0,317.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,75.22,75.22,1581.72,1581.72,1656.94,28.01,20.62,52.45,101.08,29.78,328.54,69.74,7.72,435.77,2193.79,613.55,236.33,49.54,10.28,909.7,0.03,2.3,21.78,933.82,98.96,558.49,538.76,18.19,3.12,42.47,1259.98,2193.79,47.33,596.7,0.0,537.0,0.0,0.03,0.0,98.96,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,75.22,75.22,1961.95,1961.95,2037.17,26.39,15.4,50.25,92.04,29.44,344.42,49.02,4.45,427.33,2556.53,602.19,231.06,53.45,10.06,896.76,0.03,0.08,47.97,944.85,235.89,569.49,575.74,161.71,3.89,64.97,1611.69,2556.53,265.61,718.5,0.0,863.4,0.0,0.03,0.0,235.89,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,75.22,75.22,2342.05,2342.05,2417.26,22.59,26.55,47.98,97.12,6.04,385.73,72.8,8.63,473.2,2987.58,616.78,226.29,104.13,9.84,957.03,0.03,0.07,181.71,1138.83,160.49,666.69,651.95,331.36,0.13,38.13,1848.75,2987.58,322.98,874.83,0.0,601.02,0.0,0.03,0.0,160.49,0.0,0.0,0.0,0.0,0.0,0.0
