Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,5022.75,4830.69,4205.44,4160.64,4121.36,4054.19,3930.71,3844.36,3770.17,3546.32,3354.19,3204.3,3148.13,2838.46,2181.91,1907.8,2916.82,2787.12,2123.27,763.32,2163.95,2345.54,2163.74,2335.46,2459.21,2333.38,2391.12,2531.45,2519.05,2245.88,2157.46,1991.04,1872.9,1827.12,1756.08,1551.52,1539.47,1280.23,1293.77,1091.05,956.7,822.78,816.01,742.53,633.39,525.44,457.59,376.02,331.04,295.21
Other Operating Income,83.85,77.45,--,70.64,70.72,--,--,56.82,61.18,43.84,43.0,43.64,46.56,--,--,--,5.62,17.0,--,5.89,15.55,17.99,18.12,17.12,40.39,12.54,12.93,13.46,10.72,18.36,6.14,8.86,11.52,6.47,6.41,5.95,5.46,4.11,5.97,4.84,4.46,5.37,5.14,3.66,2.34,2.44,1.38,5.8,2.76,1.49
Total Income From Operations,5106.6,4908.14,4205.44,4231.28,4192.08,4054.19,3930.71,3901.18,3831.35,3590.16,3397.19,3247.94,3194.69,2838.46,2181.91,1907.8,2922.44,2804.12,2123.27,769.21,2179.5,2363.53,2181.86,2352.58,2499.6,2345.92,2404.05,2544.91,2529.77,2264.24,2163.6,1999.9,1884.42,1833.59,1762.49,1557.47,1544.93,1284.34,1299.74,1095.89,961.16,828.15,821.15,746.19,635.73,527.88,458.97,381.82,333.8,296.7
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2680.64,2535.9,2372.53,2337.23,2151.04,2032.98,2274.16,2216.0,1894.17,1953.93,1992.95,1971.27,1826.65,1412.78,1380.68,1139.33,1789.61,1672.97,1260.93,329.06,1212.93,1096.37,1121.8,1240.62,1292.71,1252.28,1206.64,1304.26,1228.46,1149.04,1090.66,1047.44,932.29,920.81,928.25,834.1,809.42,691.97,736.59,623.76,561.67,493.39,495.3,448.56,381.83,329.05,287.71,245.24,213.52,203.63
Purchase of Traded Goods,59.64,48.44,59.32,67.62,71.85,76.32,71.39,68.11,67.56,67.94,64.32,52.93,56.24,61.11,59.17,49.66,69.38,61.42,54.75,19.03,47.3,46.94,66.67,42.79,51.1,52.24,53.21,48.78,48.06,41.22,37.9,27.79,32.1,26.9,25.51,21.11,20.05,16.08,13.57,12.5,11.84,10.35,8.87,6.54,5.97,4.5,4.35,--,--,--
Increase/Decrease in Stocks,120.52,141.93,-148.67,-153.51,30.04,74.82,-254.26,-73.07,225.89,71.28,-69.99,-162.79,-51.43,235.2,-151.86,-55.67,-114.41,-77.54,-90.64,127.83,-29.25,149.3,1.17,-10.87,-5.61,-107.34,-42.21,-43.3,22.35,-36.1,-1.57,-16.15,26.42,21.3,-37.68,-24.54,12.37,-15.52,-15.57,-9.35,-25.15,-14.2,-19.18,-11.56,1.77,-19.08,-10.24,-0.38,-2.26,-12.4
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,320.33,313.94,315.65,329.12,307.73,285.11,283.16,270.95,233.66,241.43,227.65,232.33,210.98,190.54,162.92,212.39,214.23,222.88,197.55,169.29,205.12,177.59,178.34,204.07,164.51,179.1,170.6,165.32,143.62,132.25,130.2,115.98,101.36,101.54,95.64,86.51,74.17,78.49,71.06,65.09,50.6,43.48,42.06,40.38,34.98,32.17,28.05,27.22,23.46,23.66
Depreciation,188.51,168.14,169.17,158.27,154.78,138.07,131.05,135.2,142.27,130.52,125.05,114.21,117.37,109.5,108.18,110.47,123.43,121.88,103.61,97.11,107.9,94.23,88.97,86.82,80.79,76.48,71.83,69.83,63.67,64.7,48.96,45.01,42.97,35.48,35.77,39.13,37.43,32.08,26.27,22.42,19.09,14.91,12.83,11.51,10.91,8.9,8.0,7.53,5.98,4.81
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,664.61,644.26,501.73,472.23,476.14,470.18,458.82,406.51,465.27,398.73,378.62,365.99,397.28,357.4,288.33,227.6,320.12,266.36,216.9,122.81,290.15,298.12,267.87,266.66,302.66,277.81,279.69,247.65,270.28,259.43,216.36,197.09,201.22,180.22,198.38,160.72,170.92,150.31,140.63,118.21,111.0,99.68,88.86,76.17,64.41,75.75,60.6,41.66,40.0,47.57
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1072.35,1055.53,935.71,1020.32,1000.5,976.71,966.39,877.48,802.53,726.33,678.59,674.0,637.6,471.93,334.49,224.02,520.08,536.15,380.17,-95.92,345.35,500.98,457.04,522.49,613.44,615.35,664.29,752.37,753.33,653.7,641.09,582.74,548.06,547.34,516.62,440.44,420.57,330.93,327.19,263.26,232.11,180.54,192.41,174.59,135.86,96.59,80.5,60.55,53.1,29.43
Other Income,353.84,300.03,337.49,417.29,307.47,249.55,275.96,335.16,202.55,191.08,153.4,92.81,113.27,94.79,112.27,133.95,112.88,124.08,99.81,115.26,146.19,135.83,144.96,188.36,142.21,144.55,95.29,125.99,84.84,48.24,69.92,129.43,55.04,58.99,66.46,46.82,109.87,34.54,42.02,26.16,64.91,5.13,12.79,13.52,84.86,2.08,2.12,7.71,68.19,10.55
"P/L Before Int., Excpt. Items & Tax",1426.19,1355.56,1273.2,1437.61,1307.97,1226.26,1242.35,1212.64,1005.08,917.41,831.99,766.81,750.87,566.72,446.76,357.97,632.96,660.23,479.98,19.34,491.54,636.81,602.0,710.85,755.65,759.9,759.58,878.36,838.17,701.94,711.01,712.17,603.1,606.33,583.08,487.26,530.44,365.47,369.21,289.42,297.02,185.67,205.2,188.11,220.72,98.67,82.62,68.26,121.29,39.98
Interest,8.6,5.56,5.34,4.5,5.85,5.13,4.79,3.43,3.45,3.58,3.43,2.51,1.9,4.9,1.56,1.89,2.22,2.19,1.79,3.0,2.47,2.72,2.73,2.94,0.8,0.72,0.75,0.72,0.72,0.94,0.72,0.66,0.68,0.71,0.75,0.65,0.57,0.38,0.35,0.27,0.55,0.48,0.08,0.06,1.05,0.14,0.05,0.03,0.05,0.1
P/L Before Exceptional Items & Tax,1417.59,1350.0,1267.86,1433.11,1302.12,1221.13,1237.56,1209.21,1001.63,913.83,828.56,764.3,748.97,561.82,445.2,356.08,630.74,658.04,478.19,16.34,489.07,634.09,599.27,707.91,754.85,759.18,758.83,877.64,837.45,701.0,710.29,711.51,602.42,605.62,582.33,486.61,529.87,365.09,368.86,289.15,296.47,185.19,205.12,188.05,219.67,98.53,82.57,68.23,121.24,39.88
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-17.52,--,-311.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,1417.59,1350.0,1267.86,1433.11,1302.12,1221.13,1237.56,1209.21,1001.63,913.83,828.56,764.3,748.97,561.82,445.2,356.08,630.74,658.04,478.19,16.34,489.07,634.09,599.27,707.91,754.85,759.18,741.31,877.64,525.47,701.0,710.29,711.51,602.42,605.62,582.33,486.61,529.87,365.09,368.86,289.15,296.47,185.19,205.12,188.05,219.67,98.53,82.57,68.23,121.24,39.88
Tax,292.46,293.77,257.98,345.09,318.81,307.4,299.06,295.33,254.77,233.13,213.7,184.13,195.59,139.55,101.84,88.87,162.66,169.58,117.33,4.04,142.89,145.15,28.81,209.67,274.41,257.77,259.94,286.42,265.34,228.99,223.85,217.18,190.86,190.43,186.17,149.51,148.93,112.69,111.93,90.38,83.02,61.11,64.14,54.81,59.05,24.1,20.78,15.61,24.04,5.72
P/L After Tax from Ordinary Activities,1125.13,1056.23,1009.88,1088.02,983.31,913.73,938.5,913.88,746.86,680.7,614.86,580.17,553.38,422.27,343.36,267.21,468.08,488.46,360.86,12.3,346.18,488.94,570.46,498.24,480.44,501.41,481.37,591.22,260.13,472.01,486.44,494.33,411.56,415.19,396.16,337.1,380.94,252.4,256.93,198.77,213.45,124.08,140.98,133.24,160.62,74.43,61.79,52.62,97.2,34.16
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,1125.13,1056.23,1009.88,1088.02,983.31,913.73,938.5,913.88,746.86,680.7,614.86,580.17,553.38,422.27,343.36,267.21,468.08,488.46,360.86,12.3,346.18,488.94,570.46,498.24,480.44,501.41,481.37,591.22,260.13,472.01,486.44,494.33,411.56,415.19,396.16,337.1,380.94,252.4,256.93,198.77,213.45,124.08,140.98,133.24,160.62,74.43,61.79,52.62,97.2,34.16
Equity Share Capital,27.42,27.41,27.41,27.4,27.38,27.38,27.37,27.37,27.35,27.35,27.35,27.34,27.34,27.34,27.34,27.34,27.33,27.32,27.32,27.3,27.3,27.3,27.29,27.29,27.28,27.27,27.27,27.27,27.26,27.24,27.22,27.22,27.21,27.2,27.2,27.16,27.16,27.15,27.14,27.14,27.11,27.1,27.1,27.09,27.05,27.04,27.01,27.01,27.0,27.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
