Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1089.95,1110.8,995.04,1032.72,941.77,975.42,976.85,986.47,932.22,924.98,889.77,849.18,763.69,776.89,688.54,769.23,683.78,647.83,319.52,627.21,694.09,701.58,742.0,689.23,736.0,682.86,700.66,678.67,645.77,567.35,664.35,623.91,575.99,565.5,581.57,561.97,510.82,507.78,511.3,469.79,435.08,448.51,455.09,431.4,417.11,446.45,413.46,403.41,368.4,377.42
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.24,0.09,15.68,--,6.72,6.98,7.29,7.65,7.63,9.02,7.53,7.14,10.67,8.19,7.91,5.67,5.68,5.68
Total Income From Operations,1089.95,1110.8,995.04,1032.72,941.77,975.42,976.85,986.47,932.22,924.98,889.77,849.18,763.69,776.89,688.54,769.23,683.78,647.83,319.52,627.21,694.09,701.58,742.0,689.23,736.0,682.86,700.66,678.67,645.77,567.35,664.35,623.91,576.23,565.6,597.25,561.97,517.54,514.76,518.59,477.44,442.71,457.53,462.62,438.55,427.78,454.64,421.37,409.08,374.08,383.1
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,490.08,452.77,406.92,379.93,375.45,338.67,404.66,384.3,361.25,393.57,426.7,363.72,294.75,308.79,333.57,342.11,292.97,185.35,117.78,285.81,280.38,246.36,216.01,267.93,295.98,166.29,137.21,275.26,204.41,158.12,173.84,198.62,133.65,162.65,186.28,143.61,151.96,160.05,173.47,173.71,150.6,138.01,146.61,170.27,156.87,158.43,144.07,138.3,161.54,156.9
Purchase of Traded Goods,154.63,258.03,206.5,225.47,168.77,215.45,211.93,222.05,201.13,186.6,203.32,171.99,139.06,116.99,193.89,175.95,120.82,146.55,92.02,137.4,119.96,165.27,168.94,120.47,102.6,188.6,221.49,102.07,112.22,81.34,244.08,179.0,151.87,135.84,178.72,175.59,147.4,131.37,128.8,101.47,139.98,155.41,132.22,109.05,121.02,116.19,124.57,116.4,52.21,55.17
Increase/Decrease in Stocks,22.35,-38.19,-37.32,10.08,15.75,33.11,-21.09,-2.47,12.09,14.86,-63.62,-21.13,27.61,54.18,-69.2,-30.3,-1.7,61.54,-8.67,-42.42,16.23,-5.06,23.03,-7.55,-9.94,0.06,3.55,-32.79,13.51,45.09,-45.81,-47.75,44.16,25.81,-30.94,-9.72,-1.7,0.88,0.13,1.0,-18.12,-16.66,1.91,-8.69,-4.07,21.56,-13.87,-8.49,22.61,37.44
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,110.86,107.75,98.55,84.87,87.99,86.51,99.19,89.85,88.78,93.27,93.64,79.65,93.06,88.63,88.06,86.33,93.61,73.42,83.42,71.96,74.37,70.5,80.99,78.92,64.44,89.56,68.14,73.97,86.92,78.41,84.78,60.19,72.17,72.04,75.63,62.11,61.6,63.33,67.09,58.22,66.1,59.98,58.95,55.89,63.71,61.9,61.55,56.27,52.98,52.13
Depreciation,14.01,13.99,13.32,12.72,12.85,12.61,13.66,14.1,13.88,14.25,13.88,12.94,13.22,12.84,14.28,13.83,15.2,16.14,14.5,15.35,14.24,13.32,14.47,10.34,10.3,10.85,10.39,10.33,10.3,10.2,10.97,11.46,11.73,11.8,11.76,12.39,12.05,12.07,12.39,12.86,12.22,12.34,12.18,12.44,12.84,12.06,10.26,9.66,9.35,8.8
