Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Borrowings,Short Term Borrowings,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,717.01,1593.51,-65.87,-65.87,0.0,1527.64,0.0,0.0,0.0,0.0,0.0,0.61,0.02,0.98,1528.63,0.04,0.0,0.0,0.0,0.0,0.04,0.0,1525.54,1.44,0.0,0.01,0.92,0.72,3.09,1528.63,0.0,0.0,53.85,1098.92,0.0,1.44,876.5,0.0,0.0,0.35,1525.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,757.01,1914.62,245.58,245.58,0.0,2160.2,0.0,0.0,0.0,0.0,0.0,26.76,1.92,31.71,2191.9,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2158.64,5.58,0.0,5.31,1.37,21.01,33.26,2191.9,0.0,0.0,99.3,1730.36,0.0,5.58,1157.61,0.0,0.0,3.02,2153.18,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,796.01,2533.62,596.09,596.09,0.0,3129.71,0.0,0.0,0.0,0.0,0.0,13.12,0.27,16.61,3146.32,0.8,0.34,0.0,0.0,0.0,1.14,0.0,3122.75,0.0,0.0,3.13,2.19,18.25,23.57,3146.32,0.0,0.0,83.31,2880.47,0.0,0.0,1737.61,0.0,0.0,3.22,3116.35,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1232.24,1232.24,3378.66,3378.66,0.0,4610.9,0.0,0.0,0.0,13.94,13.94,17.98,1.63,530.58,5155.42,2.48,1.28,0.0,4.67,0.0,8.43,0.0,5070.64,29.99,0.0,2.47,12.55,39.77,84.78,5155.42,1.02,0.0,131.09,4818.09,30.02,0.0,0.0,0.0,492.97,18.0,5053.97,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2201.04,2201.04,4927.85,4927.85,82.41,7211.3,0.0,103.26,7.75,42.63,828.6,20.63,23.22,43.85,8083.75,27.56,6.01,0.0,0.04,0.0,33.61,16.67,50.28,7923.12,26.2,1.96,82.19,0.0,8033.47,8083.75,0.0,1.01,0.0,0.0,208.58,7687.24,0.0,674.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2201.4,2201.4,4920.37,4920.37,173.23,7295.0,0.0,103.65,1.88,28.24,1573.65,8.62,22.04,30.66,8899.31,8.26,3.78,0.0,0.0,16.11,28.15,25.36,53.51,8709.18,11.26,4.52,120.84,0.0,8845.8,8899.31,2.0,1.57,0.0,0.0,195.91,8473.3,0.0,1439.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2413.76,2413.76,6869.96,6869.96,173.0,9456.72,0.0,101.44,4.88,34.95,141.27,8.74,19.68,28.42,9626.41,7.55,1.86,0.12,0.05,15.68,25.26,28.8,54.06,9528.14,14.83,6.47,20.07,2.84,9572.35,9626.41,303.05,0.17,0.0,0.0,81.02,9321.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2415.28,2415.28,6962.29,6962.29,172.02,9549.59,1.38,96.33,3.78,44.42,144.53,8.74,30.86,39.6,9735.1,15.05,0.3,0.12,0.0,15.24,30.71,32.0,62.71,9554.54,9.36,2.33,104.08,2.08,9672.39,9735.1,226.05,0.51,0.0,0.0,170.56,9347.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2416.31,2416.31,7324.74,7324.74,167.02,9908.07,0.12,100.26,3.59,29.1,132.95,4.57,32.17,36.74,10077.88,11.92,0.11,0.0,0.0,14.81,26.84,29.95,56.79,9845.72,10.96,1.73,160.36,2.32,10021.09,10077.88,5540.49,5540.49,0.0,0.0,0.0,9605.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2417.99,2417.99,7491.47,7491.47,187.3,10096.76,1.18,99.45,34.82,17.23,151.5,6.61,26.19,32.8,10282.24,10.68,0.03,0.0,0.0,14.37,25.08,13.37,38.45,10213.91,17.12,1.74,9.7,1.32,10243.79,10282.24,3500.37,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
