Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22
Net Sales/Income from operations,369.14,332.01,303.53,291.62,269.33,274.87,247.55,293.19,234.83,235.76
Other Operating Income,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,369.14,332.01,303.53,291.62,269.33,274.87,247.55,293.19,234.83,235.76
EXPENDITURE,,,,,,,,,,
Consumption of Raw Materials,175.83,148.12,138.35,113.07,120.43,94.16,100.3,121.48,115.86,113.69
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-17.83,0.28,0.41,15.71,-23.34,28.09,10.28,22.72,-12.73,-8.42
Power & Fuel,--,--,--,--,--,--,--,--,--,--
Employees Cost,28.34,26.06,25.95,24.63,30.35,24.09,22.11,19.99,19.67,17.12
Depreciation,6.79,6.01,5.63,5.32,5.08,4.64,3.81,3.39,3.3,3.43
Excise Duty,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--
Other Expenses,101.43,87.8,74.42,68.28,90.01,68.02,59.24,61.0,70.54,62.04
"P/L Before Other Inc. , Int., Excpt. Items & Tax",74.58,63.74,58.77,64.59,46.8,55.87,51.81,64.61,38.2,47.9
Other Income,12.13,8.63,12.53,5.79,11.9,4.57,7.28,8.15,6.94,5.38
"P/L Before Int., Excpt. Items & Tax",86.72,72.36,71.3,70.38,58.7,60.44,59.09,72.76,45.14,53.28
Interest,1.24,2.26,2.77,1.88,2.29,1.39,1.14,0.55,1.97,0.48
P/L Before Exceptional Items & Tax,85.48,70.11,68.53,68.5,56.41,59.05,57.95,72.21,43.17,52.8
Exceptional Items,0.54,7.17,--,--,--,--,--,--,--,--
P/L Before Tax,86.02,77.28,68.53,68.5,56.41,59.05,57.95,72.21,43.17,52.8
Tax,20.88,19.97,19.11,15.29,13.46,14.1,14.22,17.72,10.43,13.14
P/L After Tax from Ordinary Activities,65.13,57.31,49.43,53.21,42.95,44.95,43.73,54.5,32.74,39.66
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,65.13,57.31,49.43,53.21,42.95,44.95,43.73,54.5,32.74,39.66
Equity Share Capital,18.15,18.15,18.15,18.15,18.15,18.15,18.15,18.15,18.15,18.15
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,
Basic EPS,7.18,6.31,5.45,5.86,4.73,4.95,4.82,6.0,3.61,4.37
Diluted EPS,7.16,6.3,5.43,5.85,4.73,4.94,4.8,--,3.61,4.37
EPS After Extra Ordinary,,,,,,,,,,
Public Share Holding,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,
Notes,,,,,,,,,,
