Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,0.0,-1.74,-1.74,0.0,0.0,-1.96,0.81,0.83,0.04,4.48,-5.94,6.02,0.08,1.7,-1.62,0.0,-1.62,-3.38,1.75,0.0,0.0,1.75,243.26,0.07,0.07,9.09,37.37,5.43,35.64,22.32
2012-12-31,0.0,-1.61,-1.61,0.0,0.0,-2.72,2.22,0.84,0.41,4.81,-7.17,3.49,-3.68,6.05,-9.72,0.0,-9.72,-0.19,-9.54,0.0,0.0,-9.54,243.26,-0.39,-0.39,9.44,38.82,5.16,34.65,21.2
2013-03-31,43.0,-4.47,38.53,0.0,0.0,14.17,1.82,1.03,0.72,6.54,14.25,4.1,18.35,8.92,9.43,0.0,9.43,-0.43,9.86,0.0,0.0,9.86,243.26,0.41,0.41,9.44,38.82,2.79,18.72,11.45
2013-06-30,0.0,-3.94,-3.94,0.0,0.0,-1.79,1.99,1.05,0.27,2.99,-8.45,4.21,-4.24,11.13,-15.37,0.0,-15.37,0.11,-15.48,0.0,0.0,-15.48,243.26,-0.64,-0.64,9.4,38.64,2.83,18.95,11.63
2013-09-30,0.0,1.24,1.24,0.0,0.0,-1.09,1.92,1.06,0.23,2.49,-3.37,5.15,1.78,9.36,-7.59,0.0,-7.59,3.1,-10.69,0.0,0.0,-10.69,243.26,-0.44,-0.44,9.38,38.57,2.85,19.05,11.7
2013-12-31,0.0,1.49,1.49,0.0,0.0,-0.42,1.36,1.01,1.11,1.48,-3.05,4.83,1.78,9.16,-7.38,0.0,-7.38,0.3,-7.67,0.0,0.0,-7.67,243.26,-0.32,-0.32,9.38,38.57,2.84,19.05,11.7
2014-03-31,0.0,-0.07,-0.07,0.0,0.0,-22.39,1.54,1.03,0.0,25.11,-5.37,6.66,1.29,4.65,-3.36,0.0,-3.36,2.67,-6.03,-1.07,0.0,-7.1,243.26,-0.29,-0.29,9.38,38.58,2.84,19.03,11.69
2014-06-30,0.0,4.18,4.18,0.0,0.0,-0.79,1.36,0.52,0.0,3.32,-0.23,4.08,3.85,10.79,-6.94,0.0,-6.94,0.18,-7.13,0.0,0.0,-7.13,243.26,-3.23,-0.29,9.34,38.58,2.84,19.03,11.69
2014-09-30,0.0,0.06,0.06,0.0,0.0,-1.38,3.14,2.43,0.0,2.78,-6.91,10.41,3.5,10.9,-7.4,4.8,-2.6,-0.51,-2.1,0.0,0.0,-2.1,243.26,-0.09,-0.09,9.38,38.57,2.15,14.36,8.82
2014-12-31,0.0,-3.14,-3.14,0.0,0.0,-1.74,3.08,1.13,0.0,15.93,-21.54,15.03,-6.51,11.13,-17.64,0.0,-17.64,-2.35,-15.29,0.0,0.0,-15.29,243.26,-0.63,-0.63,9.32,38.29,2.14,14.24,8.79
2015-03-31,0.0,-0.02,-0.02,0.0,0.0,-24.19,3.68,1.01,0.0,19.89,-0.41,5.38,4.97,8.31,-3.34,-0.03,-3.37,-0.87,-2.49,-0.43,0.0,-2.93,243.26,-0.12,-0.12,9.22,37.92,2.3,15.26,9.47
2015-06-30,33.22,-3.9,29.32,0.0,47.45,-30.99,3.07,1.31,0.0,4.88,3.59,2.65,6.24,9.76,-3.52,0.0,-3.52,-0.57,-2.95,0.0,0.0,-2.96,243.26,-0.12,-0.12,9.21,37.85,2.32,15.36,9.54
2015-09-30,23.12,-0.67,22.45,0.0,0.0,-5.66,3.0,1.2,0.0,7.67,16.24,2.82,19.06,9.15,9.91,0.0,9.91,1.31,8.6,-0.01,0.0,8.59,243.26,0.35,0.35,9.2,37.8,2.33,15.42,9.59
2015-12-31,19.96,0.08,20.03,0.0,0.0,10.88,3.06,1.18,0.0,4.82,0.1,3.19,3.29,18.37,-15.08,-7.5,-22.58,-2.08,-20.49,-1.41,-0.19,-22.09,243.26,-0.91,-0.91,0.0,0.0,0.0,0.0,0.0
2016-03-31,31.86,4.42,36.28,0.0,9.54,-11.59,6.08,1.38,0.0,25.24,5.62,2.15,7.77,10.53,-2.75,0.0,-2.75,-1.64,-1.12,0.11,0.0,-1.0,243.26,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2016-06-30,4.5,0.63,5.13,0.0,3.23,-0.41,3.83,1.51,0.0,2.28,-5.3,13.22,7.92,12.55,-4.63,0.0,-4.63,4.17,-8.79,0.0,0.0,-8.79,243.26,-0.36,-0.36,0.0,0.0,0.0,0.0,0.0
2016-09-30,0.0,0.11,0.11,0.0,0.0,-3.02,3.72,1.27,0.0,6.22,-8.07,9.85,1.78,12.37,-10.59,0.0,-10.59,4.65,-15.24,0.0,0.0,-15.24,243.26,-0.63,-0.63,0.0,0.0,0.0,0.0,0.0
2016-12-31,0.0,0.08,0.08,0.0,0.0,-2.72,2.63,1.23,0.0,5.12,-6.17,16.46,10.29,11.89,-1.59,0.0,-1.59,13.69,-15.29,0.0,0.0,-15.29,243.26,-0.63,-0.63,0.0,0.0,0.0,0.0,0.0
2017-03-31,8.45,0.0,8.45,0.0,0.0,9.71,3.36,1.06,0.0,10.24,-15.91,85.49,69.58,16.05,53.54,0.0,53.54,12.78,40.75,0.0,0.0,40.75,243.26,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.84,0.0,0.84,0.0,0.0,-2.48,4.0,1.06,0.0,8.77,-10.5,6.91,-3.59,11.97,-15.55,0.0,-15.55,0.03,-15.58,0.0,0.0,-15.58,243.26,-0.64,-0.64,0.0,0.0,0.0,0.0,0.0
2017-09-30,2.44,0.0,2.44,0.0,0.0,-1.12,2.71,1.21,0.0,11.84,-12.19,7.98,-4.22,9.87,-14.09,0.0,-14.09,-1.69,-12.4,0.0,0.0,-12.4,243.26,-0.51,-0.51,0.0,0.0,0.0,0.0,0.0
2017-12-31,0.52,0.0,0.52,0.0,0.0,-1.49,5.6,1.05,0.0,92.26,-96.91,142.56,45.66,14.45,31.2,0.0,31.2,8.0,23.2,0.0,0.0,23.2,243.26,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2018-03-31,0.25,0.0,0.25,0.0,0.0,-13.44,3.2,0.63,0.0,69.25,-59.39,-45.78,-105.17,7.99,-113.17,0.0,-113.17,-30.83,-82.34,0.0,0.0,-82.34,243.26,-3.38,-3.38,0.0,0.0,0.0,0.0,0.0
2018-06-30,2.42,0.0,2.42,0.0,0.0,-0.88,2.18,0.34,0.0,10.13,-9.35,23.8,14.45,15.93,-1.48,0.0,-1.48,3.2,-4.68,0.0,0.0,-4.68,243.26,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0
2018-09-30,0.21,0.0,0.21,0.0,0.0,-2.7,2.77,0.35,0.0,12.12,-12.32,24.22,11.9,19.92,-8.02,0.0,-8.02,8.74,-16.76,0.0,0.0,-16.76,243.26,-0.69,-0.69,0.0,0.0,0.0,0.0,0.0
2018-12-31,0.21,0.0,0.21,0.0,0.0,-5.57,0.94,0.21,0.0,18.18,-13.57,28.68,15.12,23.56,-8.45,0.0,-8.45,2.38,-10.82,0.0,0.0,-10.82,243.26,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2019-03-31,1.35,0.0,1.35,0.0,0.0,-1.37,0.93,0.3,0.0,55.12,-53.64,-18.51,-72.14,26.48,-98.62,0.0,-98.62,-10.37,-88.25,0.0,0.0,-88.25,243.26,-3.63,-3.63,0.0,0.0,0.0,0.0,0.0
2019-06-30,0.21,0.0,0.21,0.0,0.0,-1.62,0.96,0.13,0.0,14.82,-14.08,24.25,10.17,29.67,-19.5,0.0,-19.5,0.42,-19.92,0.0,0.0,-19.92,243.26,-0.82,-0.82,0.0,0.0,0.0,0.0,0.0
