Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,205.27,193.12,159.73,122.38,382.89,214.74,165.86,76.61,141.67,154.14,123.61,114.69,236.16,99.88,105.37,224.89,-156.62,400.18,662.1,472.34,748.89,488.07,528.23,480.38,453.95,628.66,432.94,641.68,732.07,622.05,874.93,453.2,568.07,569.44,754.14,816.08,972.19,891.17,1051.1,879.83,813.74,827.23,848.36,713.8,792.54,782.86,734.36,540.57,704.04,632.4
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.26,4.75,5.51,6.52,9.46,7.84,8.73,5.97,5.43,5.98,6.59,6.3,22.23,6.4,7.09,12.36,8.19,7.78,7.34,10.87,6.81,6.03
Total Income From Operations,205.27,193.12,159.73,122.38,382.89,214.74,165.86,76.61,141.67,154.14,123.61,114.69,236.16,99.88,105.37,224.89,-156.62,400.18,662.1,472.34,748.89,488.07,528.23,480.38,453.95,628.66,432.94,641.68,734.33,626.8,880.44,459.72,577.53,577.28,762.87,822.05,977.62,897.15,1057.69,886.13,835.97,833.63,855.45,726.16,800.73,790.64,741.7,551.44,710.85,638.43
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,27.93,17.4,20.17,20.16,24.85,20.21,20.12,26.43,37.78,16.61,25.29,19.59,24.08,25.98,19.27,23.1,32.99,16.55,19.68,21.87,67.4,21.8,23.12,31.6,43.48,22.9,27.79,17.95,35.8,26.6,19.43,16.77,24.08,18.27,38.18,14.49,32.48,31.4,21.43,14.83,24.5,12.03,13.32,16.07,19.56,9.44,20.14,9.75,16.46,12.22
Depreciation,6.07,6.03,6.06,6.05,6.05,6.05,6.04,6.02,6.04,6.38,5.62,6.03,6.16,3.56,6.16,7.15,7.93,6.64,7.35,7.38,7.4,7.78,7.74,7.74,8.08,8.19,8.28,8.26,8.39,8.37,8.42,8.47,23.31,3.6,3.63,3.65,3.69,3.75,3.59,3.45,-0.99,3.33,-14.76,2.71,3.24,3.27,3.28,3.25,2.87,2.74
